# obs_wvl flux error
1.579000000000000000e+03 -1.053208169563302482e-13 1.182643233251479960e-13
1.582096707502229037e+03 -8.766785905123252180e-15 1.685485033954314824e-14
1.585193415004458075e+03 -1.553379355538879688e-15 6.204602599571352912e-15
1.588290122506687112e+03 -4.789130354170020229e-15 3.818929983377253871e-15
1.591386830008916149e+03 -2.268324449446949868e-15 2.864433319663186842e-15
1.594483537511145187e+03 1.009450026818274526e-16 2.261776339657895590e-15
1.597580245013374224e+03 3.012056268442090195e-15 1.876762967533406296e-15
1.600676952515603261e+03 4.114820781031751309e-16 1.450737967452234426e-15
1.603773660017832299e+03 -4.014006632685033178e-16 1.158121192500675615e-15
1.606870367520061336e+03 8.304647211300935634e-16 9.926543381615421825e-16
1.609967075022290373e+03 1.192976195569470163e-16 7.909996932388409026e-16
1.613063782524519411e+03 -5.852860439320255254e-16 6.677630911102044439e-16
1.616160490026748448e+03 -2.019419631565199485e-16 5.829290307718101354e-16
1.619257197528977485e+03 -1.100950086646016710e-15 4.654237628719308484e-16
1.622353905031206523e+03 -4.672938462057116173e-16 4.299650749400622623e-16
1.625450612533435560e+03 -4.418910771430738399e-16 3.834169814575006191e-16
1.628547320035664598e+03 1.771114887267852640e-16 3.613738306689832785e-16
1.631644027537893635e+03 3.671833319129884714e-17 3.281806982989824469e-16
1.634740735040122672e+03 1.687962121592927432e-16 3.016630118699910834e-16
1.637837442542351710e+03 -8.174838934156708010e-17 2.657200578067433824e-16
1.640934150044580747e+03 1.280420176679331163e-16 2.578206842044455523e-16
1.644030857546809784e+03 -4.254068600634043181e-16 2.128616578693584257e-16
1.647127565049038822e+03 -7.257550741760042170e-19 2.193089836656655613e-16
1.650224272551267859e+03 2.205369734324224799e-16 2.149630506985393533e-16
1.653320980053496896e+03 -2.221690033026578371e-16 1.849900421503910627e-16
1.656417687555725934e+03 -8.881674633695229260e-17 1.808925960415945528e-16
1.659514395057954971e+03 -4.837295031676563237e-17 1.724463057166006018e-16
1.662611102560184008e+03 1.956390970019477122e-16 1.771701392317389174e-16
1.665707810062413046e+03 1.726589803756993293e-17 1.628575391748321137e-16
1.668804517564642083e+03 -1.871379602065621358e-16 1.454714507212419281e-16
1.671901225066871120e+03 6.901573236588743585e-17 1.501634368457177602e-16
1.674997932569100158e+03 1.382530611456037199e-16 1.482768104295812050e-16
1.678094640071329195e+03 -1.049242977894246744e-16 1.334330213065863773e-16
1.681191347573558232e+03 -1.590827134487808273e-16 1.273301563046970136e-16
1.684288055075787270e+03 1.369354633443699075e-16 1.339104450287859382e-16
1.687384762578016307e+03 5.853048847123022288e-17 1.294863949968514028e-16
1.690481470080245344e+03 -2.090270231122762505e-16 1.117651401657460878e-16
1.693578177582474382e+03 1.841583762778119965e-16 1.276950994434635410e-16
1.696674885084703419e+03 2.983969428222586388e-16 1.275367158589279474e-16
1.699771592586932456e+03 2.954630232315511056e-17 1.128222191774386333e-16
1.702868300089161494e+03 1.593476116935158700e-16 1.157612111854451805e-16
