# SN1993J-STIS lbq908020 G230L NUV z=0.000113  cos default calcos x1dsum
# segment rest_wvl obs_wvl flux error gross dq mask
NUVA 2054.3277 2054.5598 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2054.7185 2054.9506 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2055.1092 2055.3414 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2055.5000 2055.7323 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2055.8908 2056.1231 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2056.2815 2056.5139 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2056.6723 2056.9047 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2057.0631 2057.2955 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2057.4538 2057.6863 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2057.8446 2058.0771 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2058.2354 2058.4679 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2058.6261 2058.8588 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2059.0169 2059.2496 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2059.4077 2059.6404 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2059.7984 2060.0312 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2060.1892 2060.4220 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2060.5800 2060.8128 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2060.9707 2061.2036 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2061.3615 2061.5944 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2061.7523 2061.9853 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2062.1430 2062.3761 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2062.5338 2062.7669 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2062.9246 2063.1577 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2063.3153 2063.5485 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2063.7061 2063.9393 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2064.0969 2064.3301 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2064.4877 2064.7209 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2064.8784 2065.1118 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2065.2692 2065.5026 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2065.6600 2065.8934 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2066.0507 2066.2842 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2066.4415 2066.6750 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2066.8323 2067.0658 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2067.2230 2067.4566 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2067.6138 2067.8474 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2068.0046 2068.2382 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2068.3953 2068.6291 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2068.7861 2069.0199 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2069.1769 2069.4107 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2069.5676 2069.8015 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2069.9584 2070.1923 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2070.3492 2070.5831 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2070.7399 2070.9739 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2071.1307 2071.3647 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2071.5215 2071.7556 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2071.9122 2072.1464 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2072.3030 2072.5372 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2072.6938 2072.9280 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2073.0845 2073.3188 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2073.4753 2073.7096 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2073.8661 2074.1004 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2074.2569 2074.4912 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2074.6476 2074.8821 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2075.0384 2075.2729 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2075.4292 2075.6637 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2075.8199 2076.0545 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2076.2107 2076.4453 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2076.6015 2076.8361 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2076.9922 2077.2269 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2077.3830 2077.6177 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2077.7738 2078.0086 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2078.1645 2078.3994 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2078.5553 2078.7902 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2078.9461 2079.1810 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2079.3368 2079.5718 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2079.7276 2079.9626 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2080.1184 2080.3534 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2080.5091 2080.7442 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2080.8999 2081.1350 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2081.2907 2081.5259 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2081.6814 2081.9167 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2082.0722 2082.3075 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2082.4630 2082.6983 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2082.8537 2083.0891 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2083.2445 2083.4799 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2083.6353 2083.8707 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2084.0261 2084.2615 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2084.4168 2084.6524 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2084.8076 2085.0432 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2085.1984 2085.4340 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2085.5891 2085.8248 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2085.9799 2086.2156 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2086.3707 2086.6064 0.000000e+00 0.000000e+00 0.0000e+00 128 0
