# obs_wvl flux error
1.650000000000000000e+03 4.143300373547077590e-17 6.904500660479559546e-16
1.650390527061006878e+03 5.697776202087339719e-17 6.620898099165996639e-16
1.650781054122013757e+03 4.124743167996061344e-16 6.330627021596118271e-16
1.651171581183020635e+03 4.006662246277485195e-16 6.358398931747806862e-16
1.651562108244027513e+03 -5.723021190204705894e-16 5.861855622075305845e-16
1.651952635305034391e+03 -3.267141490509802447e-16 5.816352328355989726e-16
1.652343162366041270e+03 3.475461681157541033e-16 5.833119198582490472e-16
1.652733689427048148e+03 -1.214822845196503050e-16 5.472786618967138252e-16
1.653124216488055026e+03 -1.387729532487168788e-16 5.388966218210805261e-16
1.653514743549061905e+03 2.118760676305378396e-16 5.306794798923047801e-16
1.653905270610068783e+03 6.199118273710246379e-18 4.844418736204551326e-16
1.654295797671075661e+03 -1.037735957483397106e-16 4.816026376137518637e-16
1.654686324732082539e+03 -6.218133764102989634e-18 4.708082321498413829e-16
1.655076851793089418e+03 -4.796248479532286750e-18 4.647903236245332962e-16
1.655467378854096296e+03 4.905316363168682695e-17 4.573835168000657150e-16
1.655857905915103174e+03 4.190711888992129482e-16 4.455727756246518694e-16
1.656248432976110053e+03 2.327085209607387663e-16 4.308223708085670793e-16
1.656638960037116931e+03 -3.266894453842110463e-16 4.020988204385243078e-16
1.657029487098123809e+03 -2.486834350349989015e-16 3.982883889286015144e-16
1.657420014159130687e+03 2.855847050340572345e-16 4.066743561270200500e-16
1.657810541220137566e+03 6.396668805872152079e-16 4.057677226979648911e-16
1.658201068281144444e+03 6.555210496264511476e-16 3.976613586005862330e-16
1.658591595342151322e+03 -8.138525515059013542e-18 3.724723710220159768e-16
1.658982122403158201e+03 -3.392324331055608382e-16 3.644573877895727309e-16
1.659372649464165079e+03 -3.052635069118399783e-17 3.655156519690690156e-16
1.659763176525171957e+03 2.295565356170597791e-16 3.662901926661227637e-16
1.660153703586178835e+03 1.166868321804497755e-17 3.601881140442160145e-16
1.660544230647185714e+03 -3.772243717684836701e-17 3.527204297522088913e-16
1.660934757708192592e+03 2.198002845066247850e-16 3.640839654209695751e-16
1.661325284769199470e+03 3.411961194470531116e-17 3.585363206524124985e-16
1.661715811830206349e+03 1.371905021164661570e-16 3.724329772095634787e-16
1.662106338891213227e+03 3.152205802493485947e-17 3.772311347882312377e-16
1.662496865952220105e+03 -2.407743720195066639e-16 3.675990710923687955e-16
1.662887393013226983e+03 -3.991692337146096544e-16 3.636241304184363044e-16
1.663277920074233862e+03 8.365198908961587363e-17 3.690412740543154643e-16
1.663668447135240740e+03 -5.324136472019305626e-17 3.731670719801509600e-16
1.664058974196247618e+03 1.609400498976255257e-16 3.989755368054095916e-16
1.664449501257254497e+03 -8.117784259426777000e-17 3.934843837153940878e-16
1.664840028318261375e+03 7.225329266905033010e-17 4.096072741781678756e-16
1.665230555379268253e+03 -4.895007424886589716e-16 3.893158872055613495e-16
1.665621082440275131e+03 2.219156095659585403e-16 4.170975076544325565e-16
1.666011609501282010e+03 -3.021890030515931576e-16 4.039437451567228764e-16
1.666402136562288888e+03 9.518955953773303645e-17 4.190282340617118782e-16
1.666792663623295766e+03 -1.205780054888423052e-16 4.377078192458971099e-16
1.667183190684302645e+03 -1.333015113824425138e-16 4.443495575427781452e-16
1.667573717745309523e+03 -3.483311293113390984e-16 4.260684780181089697e-16
1.667964244806316401e+03 1.806868440482003527e-16 4.544704474407305978e-16
1.668354771867323279e+03 3.020211828831859396e-16 4.387461579222931989e-16
1.668745298928330158e+03 -4.056781939314644813e-16 3.977778630046150109e-16
1.669135825989337036e+03 -4.598693329296232514e-16 3.915497671467492845e-16
1.669526353050343914e+03 4.207049710834553948e-16 4.055209986093822877e-16
1.669916880111350793e+03 1.726746940609278459e-16 3.799223418056429459e-16
1.670307407172357671e+03 2.472861046080428553e-16 3.713819900389215279e-16
1.670697934233364549e+03 3.599741189744553900e-16 3.693971678311757045e-16
1.671088461294371427e+03 1.374171510937179453e-16 3.457381973931084623e-16
