# SN1993J-STIS o48z35010 G230L MAMA z=0.000113 a2center=516.1 extrsize=11 exptime=3000.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1574.4819 1574.6598 0.000000e+00 0.000000e+00 3.570549e-03 2564 0
1576.0252 1576.2033 0.000000e+00 0.000000e+00 9.029199e-04 2564 0
1577.5686 1577.7469 0.000000e+00 0.000000e+00 -4.663829e-03 2564 0
1579.1120 1579.2904 0.000000e+00 0.000000e+00 -1.133091e-03 2564 0
1580.6554 1580.8340 1.315512e-14 3.381749e-14 8.751949e-04 2048 0
1582.1987 1582.3775 3.844076e-15 1.646577e-14 5.461891e-04 0 0
1583.7421 1583.9211 -4.623393e-15 1.058984e-14 -1.007158e-03 0 0
1585.2855 1585.4647 -1.362361e-14 6.001217e-15 -4.002480e-03 0 0
1586.8290 1587.0083 -5.745357e-16 6.135283e-15 -2.125423e-04 0 0
1588.3724 1588.5519 -8.822964e-15 4.361456e-15 -3.937530e-03 0 0
1589.9158 1590.0955 7.252075e-15 4.752862e-15 3.791589e-03 0 0
1591.4592 1591.6391 7.740911e-15 4.263976e-15 4.641613e-03 0 0
1593.0027 1593.1827 -6.065056e-15 2.692789e-15 -4.111520e-03 0 0
1594.5462 1594.7263 -4.182038e-16 2.824127e-15 -3.232969e-04 0 0
1596.0896 1596.2700 1.620319e-15 2.624004e-15 1.408581e-03 0 0
1597.6331 1597.8136 -3.334258e-15 1.956410e-15 -3.278698e-03 0 0
1599.1766 1599.3573 1.307683e-15 2.092315e-15 1.435853e-03 0 0
1600.7201 1600.9010 -5.690609e-16 1.733430e-15 -6.996063e-04 0 0
1602.2636 1602.4446 -7.967046e-16 1.619927e-15 -1.084439e-03 0 0
1603.8071 1603.9883 -2.537420e-15 1.243593e-15 -3.828794e-03 0 0
1605.3506 1605.5320 1.597884e-15 1.466848e-15 2.647976e-03 0 0
1606.8942 1607.0757 -3.698425e-16 1.162203e-15 -6.734951e-04 0 0
1608.4377 1608.6194 1.099868e-15 1.189304e-15 2.184111e-03 0 0
1609.9812 1610.1632 1.237821e-15 1.115269e-15 2.681227e-03 0 0
1611.5248 1611.7069 3.566907e-16 9.714187e-16 8.374164e-04 0 0
1613.0684 1613.2506 -1.050894e-15 7.670744e-16 -2.673599e-03 0 0
1614.6119 1614.7944 1.538042e-16 8.283349e-16 4.217717e-04 0 0
1616.1555 1616.3382 3.021244e-16 7.804061e-16 8.922673e-04 0 0
1617.6991 1617.8819 8.019631e-16 7.588264e-16 2.539315e-03 0 0
1619.2427 1619.4257 3.624567e-17 6.447182e-16 1.228789e-04 0 0
1620.7863 1620.9695 -7.750483e-16 5.485456e-16 -2.802633e-03 0 0
1622.3300 1622.5133 1.319549e-16 5.842216e-16 5.080707e-04 0 0
1623.8736 1624.0571 -5.916728e-17 5.362893e-16 -2.417956e-04 0 0
1625.4172 1625.6009 -1.368699e-16 4.925698e-16 -5.924885e-04 0 0
1626.9609 1627.1447 -8.734517e-16 4.164239e-16 -3.994159e-03 0 0
1628.5045 1628.6886 7.884899e-17 4.584154e-16 3.800958e-04 0 0
1630.0482 1630.2324 -5.340206e-16 3.967908e-16 -2.707331e-03 0 0
1631.5919 1631.7762 -3.657484e-16 3.795963e-16 -1.946036e-03 0 0
1633.1356 1633.3201 -3.338178e-16 3.703224e-16 -1.860267e-03 0 0
1634.6792 1634.8640 -2.979161e-16 3.535438e-16 -1.735362e-03 0 0
1636.2230 1636.4078 8.867305e-16 4.252575e-16 5.389412e-03 0 0
1637.7667 1637.9517 -4.001807e-16 3.204886e-16 -2.533060e-03 0 0
1639.3104 1639.4956 7.355317e-16 3.750816e-16 4.841116e-03 0 0
1640.8541 1641.0395 4.294534e-16 3.522242e-16 2.934085e-03 0 0
1642.3978 1642.5834 1.624175e-16 3.245307e-16 1.150263e-03 0 0
1643.9416 1644.1274 -1.443874e-16 2.914338e-16 -1.058373e-03 0 0
1645.4854 1645.6713 1.939006e-16 3.003461e-16 1.469259e-03 0 0
1647.0291 1647.2152 -8.210218e-17 2.765745e-16 -6.422590e-04 0 0
1648.5729 1648.7592 7.455632e-17 2.764422e-16 6.014587e-04 0 0
1650.1167 1650.3031 8.846080e-16 3.253861e-16 7.351161e-03 0 0
1651.6605 1651.8471 -1.998987e-17 2.547411e-16 -1.709641e-04 0 0
1653.2043 1653.3911 6.254379e-17 2.553567e-16 5.499623e-04 0 0
1654.7481 1654.9351 1.527157e-16 2.562671e-16 1.379473e-03 0 0
1656.2919 1656.4791 2.320369e-16 2.562714e-16 2.151135e-03 0 0
1657.8357 1658.0231 2.859499e-16 2.474082e-16 2.718531e-03 0 0
1659.3796 1659.5671 1.427857e-16 2.320733e-16 1.390918e-03 0 0
1660.9234 1661.1111 1.168483e-16 2.257459e-16 1.165440e-03 0 0
1662.4673 1662.6551 -1.632820e-16 1.973395e-16 -1.666222e-03 0 0
1664.0111 1664.1992 -1.461659e-16 1.989400e-16 -1.525001e-03 0 0
1665.5550 1665.7432 1.187915e-16 2.141337e-16 1.266353e-03 0 0
1667.0989 1667.2873 -4.025053e-18 2.004411e-16 -4.381413e-05 0 0
1668.6428 1668.8313 -2.768935e-16 1.721209e-16 -3.075965e-03 0 0
1670.1867 1670.3754 2.105679e-16 2.076413e-16 2.385840e-03 0 0
1671.7306 1671.9195 1.933168e-16 2.062624e-16 2.232998e-03 0 0
