# SN1993J-STIS o48z30050 G140L MAMA z=0.000113 a2center=651.3 extrsize=11 exptime=3600.0 mode=fixed flags=low_detect,center_mismatch(651vs426)
# rest_wvl obs_wvl flux error net dq mask
1120.7249 1120.8515 0.000000e+00 0.000000e+00 -7.020189e-05 2564 0
1121.3089 1121.4356 0.000000e+00 0.000000e+00 -7.020189e-05 2564 0
1121.8930 1122.0198 0.000000e+00 0.000000e+00 -7.020190e-05 2564 0
1122.4771 1122.6039 0.000000e+00 0.000000e+00 -7.020190e-05 2564 0
1123.0611 1123.1880 0.000000e+00 0.000000e+00 1.660148e-06 2560 0
1123.6452 1123.7722 0.000000e+00 0.000000e+00 -3.129257e-04 512 0
1124.2292 1124.3563 0.000000e+00 0.000000e+00 -3.842265e-05 512 0
1124.8133 1124.9404 0.000000e+00 0.000000e+00 -1.272940e-05 512 0
1125.3974 1125.5245 0.000000e+00 0.000000e+00 -2.887218e-04 512 0
1125.9814 1126.1087 0.000000e+00 0.000000e+00 2.661136e-04 512 0
1126.5655 1126.6928 0.000000e+00 0.000000e+00 -6.117055e-04 512 0
1127.1495 1127.2769 0.000000e+00 0.000000e+00 -6.184268e-04 512 0
1127.7336 1127.8610 0.000000e+00 0.000000e+00 -6.256601e-04 512 0
1128.3177 1128.4452 0.000000e+00 0.000000e+00 -6.335644e-04 512 0
1128.9017 1129.0293 0.000000e+00 0.000000e+00 -6.356683e-04 512 0
1129.4858 1129.6134 0.000000e+00 0.000000e+00 -3.675213e-04 512 0
1130.0698 1130.1975 0.000000e+00 0.000000e+00 -5.032504e-04 512 0
1130.6539 1130.7816 0.000000e+00 0.000000e+00 -3.743245e-04 512 0
1131.2379 1131.3658 0.000000e+00 0.000000e+00 -6.619187e-04 512 0
1131.8220 1131.9499 0.000000e+00 0.000000e+00 -5.223174e-04 512 0
1132.4060 1132.5340 0.000000e+00 0.000000e+00 -3.971960e-04 512 0
1132.9901 1133.1181 0.000000e+00 0.000000e+00 -6.763096e-04 512 0
1133.5741 1133.7022 0.000000e+00 0.000000e+00 -4.054136e-04 512 0
1134.1582 1134.2864 0.000000e+00 0.000000e+00 -6.906202e-04 512 0
1134.7422 1134.8705 0.000000e+00 0.000000e+00 -4.248280e-04 512 0
1135.3263 1135.4546 0.000000e+00 0.000000e+00 -7.019043e-04 512 0
1135.9104 1136.0387 0.000000e+00 0.000000e+00 -7.054994e-04 512 0
1136.4944 1136.6228 0.000000e+00 0.000000e+00 -4.396367e-04 512 0
1137.0784 1137.2069 0.000000e+00 0.000000e+00 -1.746285e-04 512 0
1137.6625 1137.7911 0.000000e+00 0.000000e+00 -7.233495e-04 512 0
1138.2465 1138.3752 -1.405818e-14 8.890183e-15 -4.480167e-04 0 0
1138.8306 1138.9593 -4.708295e-15 2.953996e-15 -4.514499e-04 0 0
1139.4146 1139.5434 -1.772469e-15 2.314220e-15 -2.835908e-04 0 0
1139.9987 1140.1275 -2.669897e-15 8.990901e-16 -5.988916e-04 0 0
1140.5827 1140.7116 -1.640840e-15 9.596025e-16 -4.742774e-04 0 0
1141.1668 1141.2957 -2.069537e-15 3.127257e-19 -7.548864e-04 0 0
1141.7508 1141.8798 -1.030185e-15 6.181018e-16 -4.764160e-04 0 0
1142.3349 1142.4640 -8.550651e-16 4.752459e-16 -4.900516e-04 0 0
1142.9189 1143.0481 -7.039207e-16 3.863894e-16 -5.000940e-04 0 0
1143.5030 1143.6322 -9.009880e-16 1.311322e-19 -7.749998e-04 0 0
1144.0870 1144.2163 -2.253696e-16 3.737054e-16 -2.334821e-04 0 0
1144.6710 1144.8004 -1.915321e-16 3.212581e-16 -2.335972e-04 0 0
1145.2551 1145.3845 -3.519575e-16 2.053796e-16 -4.996759e-04 0 0
1145.8391 1145.9686 -4.900125e-16 6.960876e-20 -7.952419e-04 0 0
1146.4232 1146.5527 -4.377351e-16 6.387012e-20 -8.019953e-04 0 0
1147.0072 1147.1368 -3.935958e-16 5.407508e-20 -8.039423e-04 0 0
1147.5912 1147.7209 9.506773e-17 2.418673e-16 2.143293e-04 0 0
1148.1753 1148.3050 -3.313141e-16 4.860196e-20 -8.177676e-04 0 0
1148.7593 1148.8891 -8.974282e-17 1.535394e-16 -2.409759e-04 0 0
1149.3434 1149.4732 1.214753e-17 1.712655e-16 3.531895e-05 0 0
1149.9274 1150.0573 -2.641216e-16 3.660257e-20 -8.298919e-04 0 0
1150.5114 1150.6414 6.699223e-19 1.427059e-16 2.267130e-06 0 0
1151.0955 1151.2255 7.306625e-17 1.519308e-16 2.662805e-04 0 0
1151.6795 1151.8096 1.641600e-16 1.603891e-16 6.418336e-04 0 0
1152.2635 1152.3938 -3.570952e-17 1.080932e-16 -1.495355e-04 0 0
1152.8476 1152.9779 -6.813685e-17 8.657649e-17 -3.043481e-04 0 0
1153.4316 1153.5620 -1.220460e-16 5.854554e-17 -5.794341e-04 0 0
1154.0156 1154.1461 -8.364849e-17 6.906173e-17 -4.203288e-04 0 0
1154.5997 1154.7302 -5.625471e-17 7.625719e-17 -2.975324e-04 0 0
1155.1837 1155.3142 4.318855e-17 9.990695e-17 2.394990e-04 0 0
1155.7677 1155.8983 9.030124e-17 1.082385e-16 5.215878e-04 0 0
1156.3518 1156.4824 -1.005947e-16 4.579803e-17 -6.035549e-04 0 0
1156.9358 1157.0665 -9.834491e-17 4.413421e-17 -6.097099e-04 0 0
1157.5198 1157.6506 -5.215223e-17 6.114962e-17 -3.335263e-04 0 0
1158.1039 1158.2347 -9.410757e-17 4.170419e-17 -6.187213e-04 0 0
1158.6879 1158.8188 2.529092e-17 7.890449e-17 1.707941e-04 0 0
1159.2719 1159.4029 8.938792e-17 9.488279e-17 6.191973e-04 0 0
1159.8560 1159.9870 -4.957708e-17 5.509689e-17 -3.521716e-04 0 0
1160.4400 1160.5711 -1.229305e-17 6.479848e-17 -8.958002e-05 0 0
1161.0240 1161.1552 -8.705043e-17 3.487208e-17 -6.505105e-04 0 0
1161.6080 1161.7393 -8.339845e-17 3.619680e-17 -6.392184e-04 0 0
1162.1921 1162.3234 -1.452694e-17 5.923666e-17 -1.141386e-04 0 0
