# SN1993J-STIS o5i235020 G230L MAMA z=0.000113 a2center=529.5 extrsize=11 exptime=3000.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1567.5454 1567.7225 0.000000e+00 0.000000e+00 -3.551635e-03 2564 0
1569.0887 1569.2660 0.000000e+00 0.000000e+00 6.760760e-04 2564 0
1570.6321 1570.8096 0.000000e+00 0.000000e+00 4.509587e-03 2564 0
1572.1755 1572.3531 0.000000e+00 0.000000e+00 4.774607e-03 2564 0
1573.7189 1573.8967 0.000000e+00 0.000000e+00 -5.016346e-04 2560 0
1575.2623 1575.4403 0.000000e+00 0.000000e+00 -3.972371e-04 512 0
1576.8057 1576.9838 0.000000e+00 0.000000e+00 6.039650e-05 512 0
1578.3491 1578.5274 0.000000e+00 0.000000e+00 -4.183676e-03 512 0
1579.8925 1580.0710 1.712307e-13 8.932318e-14 5.362300e-03 0 0
1581.4359 1581.6146 1.529515e-14 2.244615e-14 1.630813e-03 0 0
1582.9793 1583.1582 -5.267686e-15 1.360866e-14 -9.593814e-04 0 0
1584.5228 1584.7018 6.996533e-15 1.012550e-14 1.803881e-03 0 0
1586.0663 1586.2455 2.043197e-15 7.534992e-15 6.818568e-04 0 0
1587.6097 1587.7891 4.311675e-15 6.442978e-15 1.766980e-03 0 0
1589.1532 1589.3328 -2.130854e-15 4.973492e-15 -1.035812e-03 0 0
1590.6967 1590.8764 -6.421031e-15 3.992019e-15 -3.612595e-03 0 0
1592.2402 1592.4201 7.505351e-15 4.352115e-15 4.798644e-03 0 0
1593.7837 1593.9638 4.991302e-15 3.708205e-15 3.629456e-03 0 0
1595.3272 1595.5074 6.929047e-15 3.493122e-15 5.697427e-03 0 0
1596.8707 1597.0511 -1.600888e-15 2.526184e-15 -1.485986e-03 0 0
1598.4142 1598.5948 1.374437e-15 2.483059e-15 1.432392e-03 0 0
1599.9578 1600.1386 1.447490e-15 2.223587e-15 1.687342e-03 0 0
1601.5013 1601.6823 1.788865e-15 2.022057e-15 2.320173e-03 0 0
1603.0449 1603.2260 1.130037e-15 1.785358e-15 1.623861e-03 0 0
1604.5884 1604.7697 -1.374058e-16 1.549273e-15 -2.177529e-04 0 0
1606.1320 1606.3135 2.023784e-15 1.551532e-15 3.522988e-03 0 0
1607.6756 1607.8572 -5.685471e-16 1.273839e-15 -1.083082e-03 0 0
1609.2192 1609.4010 -1.049462e-15 1.135177e-15 -2.180047e-03 0 0
1610.7628 1610.9448 -1.988658e-15 9.670259e-16 -4.491068e-03 0 0
1612.3064 1612.4886 1.261567e-15 1.074266e-15 3.086932e-03 0 0
1613.8500 1614.0324 4.724152e-16 9.612558e-16 1.249246e-03 0 0
1615.3936 1615.5762 2.899508e-17 8.765092e-16 8.258753e-05 0 0
1616.9373 1617.1200 9.807622e-16 8.772720e-16 3.001796e-03 0 0
1618.4809 1618.6638 1.744925e-15 8.355287e-16 5.720426e-03 0 0
1620.0246 1620.2076 -1.559850e-16 7.022282e-16 -5.464891e-04 0 0
1621.5682 1621.7515 -7.929319e-16 6.124854e-16 -2.959786e-03 0 0
1623.1119 1623.2953 -3.776435e-17 6.225102e-16 -1.498576e-04 0 0
1624.6556 1624.8392 3.353034e-17 5.842444e-16 1.410506e-04 0 0
1626.1993 1626.3830 6.333365e-17 5.729853e-16 2.818247e-04 0 0
1627.7430 1627.9269 1.139987e-16 5.250334e-16 5.352179e-04 0 0
1629.2867 1629.4708 3.621028e-16 5.136055e-16 1.789973e-03 0 0
1630.8304 1631.0147 4.575026e-17 4.809273e-16 2.375686e-04 0 0
1632.3741 1632.5586 -2.806413e-16 4.384011e-16 -1.527780e-03 0 0
1633.9179 1634.1025 5.370361e-16 4.590553e-16 3.058732e-03 0 0
1635.4616 1635.6464 -4.449705e-18 4.230530e-16 -2.646499e-05 0 0
1637.0054 1637.1904 2.735448e-16 4.120458e-16 1.695895e-03 0 0
1638.5491 1638.7343 1.022984e-15 4.444998e-16 6.599130e-03 0 0
1640.0929 1640.2782 -2.770589e-16 3.494022e-16 -1.856826e-03 0 0
1641.6367 1641.8222 6.295472e-16 3.975242e-16 4.376035e-03 0 0
1643.1805 1643.3662 5.354677e-16 3.714089e-16 3.855408e-03 0 0
1644.7243 1644.9101 -3.676288e-16 2.980983e-16 -2.737564e-03 0 0
1646.2681 1646.4541 3.168872e-16 3.460003e-16 2.437787e-03 0 0
1647.8119 1647.9981 2.120985e-16 3.255546e-16 1.683341e-03 0 0
1649.3557 1649.5421 -2.232658e-16 2.827478e-16 -1.826389e-03 0 0
1650.8996 1651.0861 1.737944e-16 3.036271e-16 1.463575e-03 0 0
1652.4434 1652.6301 7.169441e-17 2.907211e-16 6.210357e-04 0 0
1653.9873 1654.1742 2.786217e-16 2.924078e-16 2.479827e-03 0 0
1655.5311 1655.7182 -2.613832e-16 2.456606e-16 -2.388652e-03 0 0
1657.0750 1657.2623 2.883840e-16 2.799887e-16 2.703066e-03 0 0
1658.6189 1658.8063 1.680002e-16 2.719784e-16 1.614140e-03 0 0
1660.1628 1660.3504 2.529677e-16 2.694902e-16 2.488908e-03 0 0
