# obs_wvl flux error
1.579000000000000000e+03 -1.498349083531898999e-14 4.005397616534635095e-14
1.580548196495231423e+03 6.383147523818713186e-15 3.250690325715703753e-14
1.582096392990462846e+03 1.536048733976674422e-14 9.439614056942844135e-15
1.583644589485694269e+03 3.493893515682422881e-15 5.887586180489551087e-15
1.585192785980925692e+03 3.448954199884817036e-15 4.188668439034717223e-15
1.586740982476157114e+03 6.665829187894938711e-16 3.189727398419878021e-15
1.588289178971388537e+03 1.611183761086364014e-15 2.695263628844977548e-15
1.589837375466619960e+03 -3.778248473111401211e-15 2.090071778887044797e-15
1.591385571961851383e+03 -1.190977273101935162e-15 1.844634205728411077e-15
1.592933768457082806e+03 3.191204247806748456e-15 1.753724298336071906e-15
1.594481964952314229e+03 2.392920005426088860e-15 1.534460414544437772e-15
1.596030161447545652e+03 1.837514765970035122e-15 1.371525033766789258e-15
1.597578357942777075e+03 4.929146311688105451e-16 1.136897448380140455e-15
1.599126554438008498e+03 1.266308247134977277e-15 1.064220240763814494e-15
1.600674750933239920e+03 1.133233677296359506e-15 9.473499138225692049e-16
1.602222947428471343e+03 9.856564879061168035e-17 8.118753541890177970e-16
1.603771143923702766e+03 -3.053366116196082701e-16 7.235255372496224115e-16
1.605319340418934189e+03 4.939950318800081304e-16 6.717282428473825833e-16
1.606867536914165612e+03 8.920458895923826727e-16 6.390914579936155428e-16
1.608415733409397035e+03 -1.310783996635801539e-15 5.172204197297094074e-16
1.609963929904628458e+03 -5.486623739278262991e-16 4.989934113413755591e-16
1.611512126399859881e+03 -4.705065017899737772e-16 4.479093791555206817e-16
1.613060322895091304e+03 1.694957463274074643e-16 4.279481156075637346e-16
1.614608519390322726e+03 -6.493965350333838234e-17 3.951379151275581459e-16
1.616156715885554149e+03 1.878936433268484142e-17 3.700624100324079365e-16
1.617704912380785572e+03 2.166578306836378804e-16 3.480029372335532050e-16
1.619253108876016995e+03 5.181135154393196063e-16 3.335067077147475327e-16
1.620801305371248418e+03 -4.896427450458765299e-17 3.007799466255673470e-16
1.622349501866479841e+03 -3.658335808135010415e-16 2.675926023943082684e-16
1.623897698361711264e+03 -2.266785556113010913e-17 2.644002087017440264e-16
1.625445894856942687e+03 5.455578093601325078e-17 2.499137681744968943e-16
1.626994091352174109e+03 1.800056786195162476e-16 2.427802995185187642e-16
1.628542287847405532e+03 1.033403901448338739e-16 2.246379849418938919e-16
1.630090484342636955e+03 1.333708048398267618e-16 2.138174075359213630e-16
1.631638680837868378e+03 -7.617510059538719148e-17 1.996448408247646936e-16
1.633186877333099801e+03 -3.039171446818027357e-16 1.805171961188000411e-16
1.634735073828331224e+03 -1.060783462107094559e-16 1.784661040676743658e-16
1.636283270323562647e+03 -5.898810610758273157e-17 1.745920495487155469e-16
1.637831466818794070e+03 3.995882495459470657e-16 1.786530396962225819e-16
1.639379663314025493e+03 1.646785155258169540e-16 1.665080790914697765e-16
1.640927859809256915e+03 -8.396149638689385737e-17 1.523969162422906689e-16
1.642476056304488338e+03 3.215813842249442971e-16 1.593182042247930160e-16
1.644024252799719761e+03 -8.890470155020009707e-17 1.401772665566182196e-16
1.645572449294951184e+03 -8.835335103074201209e-17 1.359042187110208091e-16
1.647120645790182607e+03 3.737335824904501056e-16 1.466676473974508231e-16
1.648668842285414030e+03 2.256376695720700067e-16 1.372620090594371924e-16
1.650217038780645453e+03 -5.736609345999182628e-17 1.245280702404810683e-16
1.651765235275876876e+03 -6.563260230560545022e-17 1.211577796362862734e-16
1.653313431771108299e+03 -6.939115391806460341e-17 1.169463125413048857e-16
1.654861628266339721e+03 1.240111836509674387e-16 1.193390303728790534e-16
1.656409824761571144e+03 1.817621825607983932e-16 1.166722684019503200e-16
1.657958021256802567e+03 1.981174561142779034e-16 1.154872739539155169e-16
1.659506217752033990e+03 1.759158468009660600e-16 1.132384286798983479e-16
1.661054414247265413e+03 2.831916061488797459e-17 1.062329704887036550e-16
1.662602610742496836e+03 -3.237428558197938798e-18 1.019062565651007111e-16
1.664150807237728259e+03 1.246201279586991165e-16 1.027567245967668116e-16
1.665699003732959682e+03 6.212091703741131845e-17 9.992343990090781816e-17
1.667247200228191105e+03 -2.678981606469962627e-17 9.513868354066834510e-17
1.668795396723422527e+03 -2.505688396197625998e-17 9.273791515391844508e-17
1.670343593218653950e+03 2.687862327873713912e-17 9.230687555613809873e-17
1.671891789713885373e+03 -1.327414716493879236e-18 8.963084753708802109e-17
1.673439986209116796e+03 5.182780338029180435e-17 9.034889753633141316e-17
1.674988182704348219e+03 5.662556549360135431e-17 8.870198709070444111e-17
1.676536379199579642e+03 -1.506920678890713376e-17 8.473474909602640965e-17
1.678084575694811065e+03 -1.088437271226161329e-16 7.991689289105241943e-17
1.679632772190042488e+03 -8.374326743934376698e-18 8.103884088393487091e-17
1.681180968685273911e+03 9.522155397168963680e-17 8.236160221332464724e-17
1.682729165180505333e+03 6.744269368086467449e-17 8.149727732464499942e-17
1.684277361675736756e+03 -3.171897462011432475e-17 7.731485812035859483e-17
1.685825558170968179e+03 -2.402256159790917223e-17 7.539705349885310519e-17
1.687373754666199602e+03 1.471972261145819056e-17 7.541037174149343557e-17
1.688921951161431025e+03 5.273324109375460784e-17 7.641111664171584846e-17
1.690470147656662448e+03 1.116273824757476098e-16 7.612931833240976555e-17
1.692018344151893871e+03 4.112580784659263827e-18 7.205976606708293839e-17
1.693566540647125294e+03 -3.688914839786099615e-17 7.012161627588831791e-17
1.695114737142356717e+03 -7.499672646390119604e-17 6.734160289203911504e-17
1.696662933637588139e+03 -1.438925950237047607e-18 6.890676939412770454e-17
1.698211130132819562e+03 8.919883761640078962e-17 6.981980377998913095e-17
1.699759326628050985e+03 8.292897391334770050e-17 6.868771969732175390e-17
1.701307523123282408e+03 1.054271057935498185e-16 6.905305102748233207e-17
1.702855719618513831e+03 2.004648646574566580e-17 6.559307650799472576e-17
1.704403916113745254e+03 -4.757108383125230126e-17 6.323996090868752129e-17
