# obs_wvl flux error
2.277400768708593660e+03 1.909302612559656429e-15 3.013641897304869191e-15
2.277480922450312391e+03 7.059311227729714815e-15 2.265623975486641190e-15
2.277561076192031123e+03 4.852240325821377038e-15 2.084991200870090075e-15
2.277641229933749855e+03 5.062788548065370142e-16 1.976480581227094453e-15
2.277721383675468587e+03 -5.530303982873883609e-16 1.959780216880476003e-15
2.277801537417187319e+03 7.249296220825574068e-15 2.395878453753894878e-15
2.277881691158906051e+03 4.027254780915327182e-15 2.236891665838707491e-15
2.277961844900624783e+03 1.641872852476713490e-15 1.995615153762634158e-15
2.278041998642343515e+03 5.206322514775534464e-15 2.064802325493241908e-15
2.278122152384062247e+03 1.515564608146482041e-15 1.850931545921805268e-15
2.278202306125780979e+03 2.016046014333828284e-15 1.900937689735936013e-15
2.278282459867499711e+03 -5.193759357535151177e-16 1.800796050065815766e-15
2.278362613609218442e+03 3.778393127309118615e-15 2.083749273415862108e-15
2.278442767350937174e+03 5.158864693539807340e-16 1.919465821603658346e-15
2.278522921092655906e+03 3.025237152433799531e-15 1.996977745650459176e-15
2.278603074834374638e+03 2.311325266262153087e-15 1.866741192153476498e-15
2.278683228576093370e+03 4.303908884147272286e-16 1.703614283578348901e-15
2.278763382317812102e+03 3.781674478526850930e-15 1.921546304305133163e-15
2.278843536059530834e+03 -4.767097935025952215e-16 1.707725468675985984e-15
2.278923689801249566e+03 5.246782255166155427e-15 2.058262683070261979e-15
2.279003843542968298e+03 8.748417460366619492e-16 1.847256533952429594e-15
2.279083997284687030e+03 5.990351998673459823e-16 1.815525202680246647e-15
2.279164151026405762e+03 2.648966726424775415e-15 1.802067335324948571e-15
2.279244304768124493e+03 5.372345043081757628e-15 1.889509256138309668e-15
2.279324458509843225e+03 4.996831172830398386e-15 1.796182669523120412e-15
2.279404612251561957e+03 3.802694134710030030e-15 1.817595510927509729e-15
2.279484765993280689e+03 4.416869198165730041e-15 1.889015349771493941e-15
2.279564919734999421e+03 5.122372466913671636e-15 2.018449320920135658e-15
2.279645073476718153e+03 9.886590263886564580e-16 1.764962201711368640e-15
2.279725227218436885e+03 4.935297129033248665e-16 1.662473705235081040e-15
2.279805380960155617e+03 2.815424469646425922e-16 1.552388872831999580e-15
2.279885534701874349e+03 2.622944250252493868e-15 1.650003676647179947e-15
2.279965688443593081e+03 3.164823445837945992e-15 1.676769954953426083e-15
2.280045842185311813e+03 1.585952502838851068e-15 1.665028617512490244e-15
2.280125995927030544e+03 -1.085531435668804335e-16 1.641389723610071936e-15
2.280206149668749276e+03 -1.629897261742696310e-15 1.545232734174329431e-15
2.280286303410468008e+03 7.023009902970951856e-16 1.583357528011821640e-15
2.280366457152186740e+03 3.386336036924609236e-15 1.649450359502844618e-15
2.280446610893905472e+03 2.469579695981571976e-15 1.606120909549242107e-15
2.280526764635624204e+03 1.623750078359829784e-15 1.573756170057156381e-15
2.280606918377342936e+03 1.014799291046238581e-15 1.588841188482303780e-15
2.280687072119061668e+03 1.141996151178712338e-15 1.659866929665669360e-15
2.280767225860780400e+03 3.855164780517429684e-15 1.793418718928358981e-15
2.280847379602499132e+03 1.493064865428167233e-15 1.602910350299454542e-15
2.280927533344217863e+03 1.723712495646778678e-15 1.530848762565062923e-15
2.281007687085936595e+03 1.892093532260874665e-15 1.515359315525600430e-15
2.281087840827655327e+03 3.416387501824452199e-15 1.596124196164468569e-15
2.281167994569374059e+03 2.624094311211820533e-15 1.586086909181580937e-15
2.281248148311092791e+03 8.418838623131871669e-16 1.532422630214661950e-15
2.281328302052811523e+03 2.751776777145263950e-15 1.631407276903761686e-15
2.281408455794530255e+03 4.096166347825367973e-15 1.661789361637966770e-15
2.281488609536248987e+03 6.687729466279806128e-16 1.393539741145954184e-15
2.281568763277967719e+03 2.936969780806329950e-15 1.486815282592075283e-15
2.281648917019686451e+03 4.437601373344955538e-15 1.549895597576869175e-15
2.281729070761405183e+03 5.485231617238491325e-15 1.622398276521203486e-15
2.281809224503123914e+03 2.714083679783414141e-15 1.500278008718023679e-15
2.281889378244842646e+03 2.426168309571808319e-15 1.566541534897755275e-15
2.281969531986561378e+03 1.821836408034992739e-15 1.499564499903305802e-15
2.282049685728280110e+03 2.340530120616329304e-16 1.313438534146526621e-15
2.282129839469998842e+03 3.369621513730889489e-15 1.433844161291773226e-15
2.282209993211717574e+03 5.010285330143517920e-15 1.501072903241130308e-15
2.282290146953436306e+03 4.588715238278400426e-15 1.522114066841701544e-15
2.282370300695155038e+03 3.119752788027437678e-15 1.507294771465401639e-15
2.282450454436873770e+03 3.579559398736796481e-15 1.565906282764752485e-15
2.282530608178592502e+03 4.470231721665427121e-15 1.620514196780725907e-15
2.282610761920311234e+03 2.144356938477151511e-15 1.407890513130060437e-15
2.282690915662029965e+03 1.179584689934217356e-15 1.307641359135242823e-15
2.282771069403748697e+03 1.218746535017835717e-15 1.290080792324886789e-15
2.282851223145467429e+03 2.848032056112694893e-15 1.428955928599917236e-15
2.282931376887186161e+03 2.936846899242504354e-15 1.444329346455891180e-15
2.283011530628904893e+03 2.735712671975622016e-15 1.498734878617664154e-15
2.283091684370623625e+03 1.891085098908485335e-15 1.406397447331739915e-15
2.283171838112342357e+03 5.069212954936241549e-15 1.493288216108123543e-15
2.283251991854061089e+03 3.848862328985025096e-15 1.391909018891147874e-15
2.283332145595779821e+03 1.193683573623233652e-15 1.232246204136957523e-15
2.283412299337498553e+03 3.969270998558247561e-15 1.414309981152896452e-15
2.283492453079217285e+03 2.839396145928689512e-15 1.393446070275437599e-15
2.283572606820936016e+03 3.474083617029105240e-15 1.461192200199266248e-15
2.283652760562654748e+03 6.013955534006721985e-15 1.596866499830203697e-15
2.283732914304373480e+03 3.686091616928025369e-15 1.407330930358673324e-15
2.283813068046092212e+03 4.642757595650120950e-15 1.386230497975418418e-15
2.283893221787810944e+03 2.969027029644897212e-15 1.303722004654351568e-15
2.283973375529529676e+03 7.830078606797405055e-16 1.184931735065284740e-15
2.284053529271248408e+03 2.681331627823973173e-15 1.335542944239244697e-15
2.284133683012967140e+03 3.234514017335770836e-15 1.418359780085924975e-15
2.284213836754685872e+03 3.279145696215790881e-15 1.417917294743556966e-15
2.284293990496404604e+03 2.189278368377584335e-15 1.291391400607560564e-15
2.284374144238123336e+03 1.569875432730914394e-15 1.237196140320611977e-15
2.284454297979842067e+03 1.823645946625194180e-15 1.213509802825236807e-15
2.284534451721560799e+03 2.230193223901701175e-15 1.235551121790396271e-15
2.284614605463279531e+03 3.078584158227672184e-15 1.334027570636122790e-15
2.284694759204998263e+03 -3.672255917476382795e-17 1.213747656406101846e-15
2.284774912946716995e+03 3.679553277032542530e-15 1.436509694590324023e-15
2.284855066688435727e+03 3.033943834855513668e-15 1.349219262283671853e-15
2.284935220430154459e+03 3.541395779740981356e-15 1.306548232356225192e-15
2.285015374171873191e+03 4.100918762727156651e-15 1.298727986207828552e-15
2.285095527913591923e+03 3.890336807947863361e-15 1.298133119350368986e-15
2.285175681655310655e+03 1.685396669023508471e-15 1.212597511915013171e-15
2.285255835397029387e+03 4.142871946587463308e-15 1.401104260237983608e-15
2.285335989138748118e+03 3.755787806673334748e-15 1.415760451894635311e-15
2.285416142880466850e+03 3.510816808094962745e-15 1.350725579225814439e-15
2.285496296622185582e+03 2.799355216927438708e-15 1.281692727108633117e-15
2.285576450363904314e+03 -5.019273644132975546e-16 1.076530028669802386e-15
2.285656604105623046e+03 2.696999678966496665e-15 1.228907777570983174e-15
2.285736757847341778e+03 4.489941214570028527e-15 1.325564695099436046e-15
2.285816911589060510e+03 3.036529226149484528e-15 1.320649785200267834e-15
2.285897065330779242e+03 6.044273080349697442e-15 1.501077568330125994e-15
2.285977219072497974e+03 1.007894664692893139e-15 1.213156049664554350e-15
2.286057372814216706e+03 1.599625213196022031e-15 1.185082482001928279e-15
2.286137526555935438e+03 1.937461464933349008e-15 1.142469095030184352e-15
2.286217680297654169e+03 3.684430291411790189e-15 1.231637763524265322e-15
2.286297834039372901e+03 1.364111997293308215e-15 1.151850329648764524e-15
2.286377987781091633e+03 1.080552063232079190e-16 1.144418947370539799e-15
2.286458141522810365e+03 3.271591170381617936e-15 1.344456137030514426e-15
2.286538295264529097e+03 3.590661818856291633e-15 1.354541024688526880e-15
2.286618449006247829e+03 2.574313765461579011e-15 1.233481450061569226e-15
2.286698602747966561e+03 1.843409200796459862e-15 1.153730648517710436e-15
2.286778756489685293e+03 3.014690505540606371e-15 1.202336217371437188e-15
2.286858910231404025e+03 5.442950322201804429e-15 1.322473767962093304e-15
2.286939063973122757e+03 5.695623812348140873e-15 1.388000205249687922e-15
2.287019217714841488e+03 4.597055707587779099e-15 1.395470997330428226e-15
2.287099371456560220e+03 2.886481413577678324e-15 1.282771978730332095e-15
2.287179525198278952e+03 4.403190985793681127e-15 1.299625281930835516e-15
2.287259678939997684e+03 5.016747229807361573e-15 1.313951806335180463e-15
2.287339832681716416e+03 3.482806150287419686e-15 1.244745096122708278e-15
2.287419986423435148e+03 4.165460456096203049e-15 1.278957322522344158e-15
2.287500140165153880e+03 4.190654975633341177e-15 1.298032250422609847e-15
2.287580293906872612e+03 2.020972319043389556e-15 1.232126319037700765e-15
2.287660447648591344e+03 3.661930024439967056e-15 1.294507963649813065e-15
2.287740601390310076e+03 5.114340120501730694e-15 1.308735415711122883e-15
2.287820755132028808e+03 3.985764646212544940e-15 1.209672017493301016e-15
2.287900908873747539e+03 5.035945833407332507e-15 1.240596451209103805e-15
