# SN1998S o4sz23010 E230M ECHELLE z=0.002729 a2center=nan extrsize=11 exptime=1780.0 mode=echelle flags=echelle
# rest_wvl obs_wvl flux error net dq mask
3058.7744 3067.1218 -1.113669e-14 1.146093e-14 -3.049039e-03 2628 0
3058.8246 3067.1721 -4.435474e-15 6.926355e-15 -1.217051e-03 2628 0
3058.8748 3067.2225 6.910572e-15 8.529769e-15 1.900385e-03 2628 0
3058.9250 3067.2728 -3.908054e-16 8.269624e-15 -1.077072e-04 2628 0
3058.9752 3067.3231 -6.328480e-15 7.634155e-15 -1.747986e-03 2624 0
3059.0254 3067.3735 -8.081172e-15 7.440450e-15 -2.236996e-03 2624 0
3059.0756 3067.4238 -1.750995e-15 8.335960e-15 -4.857648e-04 2624 0
3059.1258 3067.4741 1.957062e-14 1.072112e-14 5.441191e-03 2624 0
3059.1760 3067.5245 -9.739048e-15 7.021416e-15 -2.713638e-03 2624 0
3059.2262 3067.5748 -1.039558e-14 7.440873e-15 -2.902876e-03 2624 0
3059.2763 3067.6251 3.438018e-15 8.493727e-15 9.621215e-04 2624 0
3059.3265 3067.6754 -4.180677e-16 8.354106e-15 -1.172488e-04 2624 0
3059.3767 3067.7258 -7.284880e-15 7.094903e-15 -2.047492e-03 2624 0
3059.4269 3067.7761 -3.506844e-15 8.012825e-15 -9.877622e-04 2624 0
3059.4771 3067.8264 -2.355842e-15 7.740370e-15 -6.649916e-04 2624 0
3059.5273 3067.8767 -8.511665e-15 6.974996e-15 -2.407779e-03 2624 0
3059.5775 3067.9271 -4.274747e-15 7.760400e-15 -1.211833e-03 2624 0
3059.6277 3067.9774 -7.149516e-16 7.941592e-15 -2.031126e-04 2624 0
3059.6779 3068.0277 -1.635511e-15 7.994818e-15 -4.656290e-04 2624 0
3059.7280 3068.0780 3.213505e-16 8.231767e-15 9.168318e-05 2624 0
3059.7782 3068.1284 -6.809194e-15 7.345033e-15 -1.946833e-03 2624 0
3059.8284 3068.1787 -7.904869e-15 7.187380e-15 -2.264895e-03 2624 0
