# obs_wvl flux error
1.580000000000000000e+03 -2.904583103033384149e-15 3.723470199771672277e-14
1.581548199080998529e+03 9.992339180741097278e-15 1.600211070009411730e-14
1.583096398161997058e+03 5.279161050354116886e-16 8.365846758907496909e-15
1.584644597242995587e+03 -1.911600704303855507e-15 5.706338621068907909e-15
1.586192796323994116e+03 -5.636347641368641920e-15 4.259978364510096621e-15
1.587740995404992645e+03 3.083008073130753784e-15 3.839844100296226483e-15
1.589289194485991175e+03 2.578109372550895247e-16 3.063179601332573702e-15
1.590837393566989704e+03 -2.611965343329348176e-15 2.576491237381751286e-15
1.592385592647988233e+03 -2.166706574693091578e-15 2.299647014836887971e-15
1.593933791728986762e+03 -2.419225680014141177e-15 1.975411736188064331e-15
1.595481990809985291e+03 -1.962444886410574316e-15 1.758367911701267482e-15
1.597030189890983820e+03 -6.409492493043286426e-16 1.602842216438652757e-15
1.598578388971982349e+03 7.518884758753808566e-16 1.489366669205870479e-15
1.600126588052980878e+03 1.003793519382701792e-15 1.338271739603040492e-15
1.601674787133979407e+03 8.308566219307271779e-16 1.204836008605277155e-15
1.603222986214977936e+03 -1.122383249980161444e-16 1.037515199631413638e-15
1.604771185295976466e+03 -1.108650155563054550e-15 9.114756526367726701e-16
1.606319384376974995e+03 -1.570161681590701483e-15 8.140371269470653378e-16
1.607867583457973524e+03 3.765413017547982940e-17 8.219946036741974986e-16
1.609415782538972053e+03 -5.517019730030518771e-16 7.108359709902615964e-16
1.610963981619970582e+03 -9.895336227708130565e-16 6.207350689049910573e-16
1.612512180700969111e+03 -2.067873805257978144e-16 6.152440956768586969e-16
1.614060379781967640e+03 -8.353152420676849971e-16 5.534303185795667431e-16
1.615608578862966169e+03 7.922842519620631776e-17 5.518926869492487617e-16
1.617156777943964698e+03 6.955032504846706848e-16 5.252704780927643494e-16
1.618704977024963227e+03 3.524902554324710393e-16 4.770630205233726804e-16
1.620253176105961757e+03 -1.096716736681825119e-16 4.370113985111987582e-16
1.621801375186960286e+03 -1.604717377292772749e-16 4.128665458280447825e-16
1.623349574267958815e+03 3.441176760019065812e-16 4.048856358438219835e-16
1.624897773348957344e+03 8.746767400756204439e-16 4.115665950219120137e-16
1.626445972429955873e+03 8.686075540488891165e-16 3.863247700495156780e-16
1.627994171510954402e+03 4.869255859892221208e-16 3.469400638862366841e-16
1.629542370591952931e+03 3.785537659240692195e-16 3.331122246338887142e-16
1.631090569672951460e+03 -4.124545719104798494e-16 2.802836431176372905e-16
