# SN1998S o5i245010 G230L MAMA z=0.002729 a2center=535.4 extrsize=11 exptime=2449.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1560.8549 1565.1145 0.000000e+00 0.000000e+00 -2.350025e-03 2564 0
1562.3943 1566.6581 0.000000e+00 0.000000e+00 5.076522e-03 2564 0
1563.9337 1568.2016 0.000000e+00 0.000000e+00 8.052802e-04 2564 0
1565.4730 1569.7452 0.000000e+00 0.000000e+00 -4.032268e-04 2564 0
1567.0124 1571.2888 0.000000e+00 0.000000e+00 -6.526950e-04 2560 0
1568.5518 1572.8324 0.000000e+00 0.000000e+00 3.290662e-03 512 0
1570.0912 1574.3760 0.000000e+00 0.000000e+00 3.479546e-03 512 0
1571.6306 1575.9196 0.000000e+00 0.000000e+00 4.915177e-03 512 0
1573.1700 1577.4632 0.000000e+00 0.000000e+00 -2.550071e-03 512 0
1574.7095 1579.0069 0.000000e+00 0.000000e+00 -1.447332e-03 512 0
1576.2489 1580.5505 5.013971e-14 5.088190e-14 2.775942e-03 0 0
1577.7884 1582.0941 -2.709389e-14 1.710536e-14 -3.575045e-03 0 0
1579.3278 1583.6378 3.550170e-15 1.213273e-14 7.410473e-04 0 0
1580.8673 1585.1815 7.475279e-15 9.448124e-15 2.135842e-03 0 0
1582.4068 1586.7252 -3.071232e-15 6.871642e-15 -1.114567e-03 0 0
1583.9462 1588.2688 4.723242e-15 6.071940e-15 2.079597e-03 0 0
1585.4857 1589.8125 -5.265801e-15 4.413167e-15 -2.727024e-03 0 0
1587.0252 1591.3562 6.983026e-15 4.766588e-15 4.159850e-03 0 0
1588.5648 1592.8999 1.404575e-15 3.928203e-15 9.463463e-04 0 0
1590.1043 1594.4437 -2.860659e-15 3.051830e-15 -2.198840e-03 0 0
1591.6438 1595.9874 4.316372e-16 3.039012e-15 3.735236e-04 0 0
1593.1833 1597.5311 3.307791e-15 2.854782e-15 3.237884e-03 0 0
1594.7229 1599.0749 -3.399009e-16 2.307459e-15 -3.721056e-04 0 0
1596.2624 1600.6186 1.229518e-16 2.062268e-15 1.506918e-04 0 0
1597.8020 1602.1624 3.101017e-15 2.108491e-15 4.214780e-03 0 0
1599.3416 1603.7062 1.972600e-15 1.819091e-15 2.971618e-03 0 0
1600.8812 1605.2500 2.521650e-15 1.749632e-15 4.177641e-03 0 0
1602.4208 1606.7938 -2.687534e-16 1.383383e-15 -4.892142e-04 0 0
1603.9604 1608.3376 -2.052046e-15 1.109752e-15 -4.078057e-03 0 0
1605.5000 1609.8814 8.279612e-16 1.199131e-15 1.794631e-03 0 0
1607.0396 1611.4252 6.730823e-16 1.125522e-15 1.582856e-03 0 0
1608.5792 1612.9690 2.379606e-15 1.189205e-15 6.063850e-03 0 0
1610.1189 1614.5129 2.069425e-17 9.315045e-16 5.689054e-05 0 0
1611.6585 1616.0567 8.298191e-17 8.406090e-16 2.456957e-04 0 0
1613.1982 1617.6006 5.119652e-16 8.494470e-16 1.626410e-03 0 0
1614.7378 1619.1445 -3.843319e-16 7.057015e-16 -1.307417e-03 0 0
1616.2775 1620.6883 2.547046e-16 7.210048e-16 9.247755e-04 0 0
1617.8172 1622.2322 6.532904e-18 6.549905e-16 2.526131e-05 0 0
1619.3569 1623.7761 2.633492e-16 6.479668e-16 1.081393e-03 0 0
1620.8966 1625.3200 -1.303376e-16 5.708840e-16 -5.670719e-04 0 0
1622.4363 1626.8639 1.372108e-16 5.535866e-16 6.309116e-04 0 0
1623.9760 1628.4078 -2.602661e-16 5.094266e-16 -1.261925e-03 0 0
1625.5157 1629.9518 -1.239232e-16 4.840256e-16 -6.321503e-04 0 0
1627.0555 1631.4957 -3.154599e-16 4.402136e-16 -1.689387e-03 0 0
1628.5952 1633.0397 -7.798213e-16 3.810889e-16 -4.375383e-03 0 0
1630.1350 1634.5836 3.409544e-16 4.511484e-16 2.000232e-03 0 0
1631.6748 1636.1276 -6.945268e-17 4.109719e-16 -4.252489e-04 0 0
1633.2145 1637.6716 -1.480964e-16 3.834756e-16 -9.446439e-04 0 0
1634.7543 1639.2156 1.427824e-16 3.926681e-16 9.472199e-04 0 0
1636.2941 1640.7595 -2.746094e-16 3.409695e-16 -1.891590e-03 0 0
1637.8339 1642.3036 5.464575e-16 3.844694e-16 3.902635e-03 0 0
1639.3737 1643.8476 9.100293e-17 3.570227e-16 6.728452e-04 0 0
1640.9135 1645.3916 -2.343963e-16 3.064826e-16 -1.791802e-03 0 0
1642.4534 1646.9356 1.816677e-16 3.386271e-16 1.434013e-03 0 0
1643.9932 1648.4797 3.320492e-16 3.332624e-16 2.703356e-03 0 0
1645.5330 1650.0237 7.981914e-16 3.541444e-16 6.695348e-03 0 0
1647.0729 1651.5678 1.920824e-16 3.069084e-16 1.658375e-03 0 0
1648.6128 1653.1118 -1.597256e-16 2.692927e-16 -1.418046e-03 0 0
1650.1526 1654.6559 5.178898e-17 2.737055e-16 4.723530e-04 0 0
1651.6925 1656.2000 2.134927e-16 2.849172e-16 1.998742e-03 0 0
1653.2324 1657.7441 -2.699659e-17 2.594694e-16 -2.592046e-04 0 0
1654.7723 1659.2882 4.889394e-16 2.891740e-16 4.810827e-03 0 0
1656.3122 1660.8323 1.075943e-16 2.537132e-16 1.083993e-03 0 0
1657.8522 1662.3764 1.296635e-16 2.556593e-16 1.336704e-03 0 0
1659.3921 1663.9206 4.141833e-16 2.705299e-16 4.365731e-03 0 0
1660.9320 1665.4647 2.076801e-16 2.451577e-16 2.236924e-03 0 0
1662.4720 1667.0088 -1.189848e-16 2.226432e-16 -1.308685e-03 0 0
1664.0119 1668.5530 1.847533e-16 2.382519e-16 2.073969e-03 0 0
1665.5519 1670.0972 8.392042e-17 2.217410e-16 9.608800e-04 0 0
1667.0919 1671.6414 3.401436e-16 2.410387e-16 3.970692e-03 0 0
1668.6318 1673.1855 -4.317836e-17 2.091568e-16 -5.136071e-04 0 0
1670.1718 1674.7297 1.494724e-16 2.163467e-16 1.811028e-03 0 0
1671.7118 1676.2739 -5.557654e-17 2.024154e-16 -6.855611e-04 0 0
1673.2518 1677.8182 -3.579852e-17 1.903626e-16 -4.494339e-04 0 0
1674.7919 1679.3624 2.152288e-16 2.113824e-16 2.748866e-03 0 0
1676.3319 1680.9066 1.243891e-16 2.006499e-16 1.615684e-03 0 0
1677.8719 1682.4508 1.521367e-16 1.996613e-16 2.008818e-03 0 0
1679.4120 1683.9951 -1.412797e-16 1.724605e-16 -1.895832e-03 0 0
1680.9520 1685.5394 7.991752e-17 1.901471e-16 1.089419e-03 0 0
1682.4921 1687.0836 3.016716e-16 2.027477e-16 4.176498e-03 0 0
1684.0322 1688.6279 1.794037e-16 1.880542e-16 2.521507e-03 0 0
1685.5723 1690.1722 2.409344e-16 1.930338e-16 3.437020e-03 0 0
1687.1123 1691.7165 -5.933617e-17 1.684090e-16 -8.587979e-04 0 0
1688.6524 1693.2608 -8.669340e-17 1.639284e-16 -1.272797e-03 0 0
1690.1926 1694.8051 -3.990501e-17 1.653601e-16 -5.940798e-04 0 0
1691.7327 1696.3494 -4.114873e-17 1.647304e-16 -6.210703e-04 0 0
1693.2728 1697.8937 1.522327e-16 1.736445e-16 2.328689e-03 0 0
1694.8129 1699.4381 -1.293578e-16 1.495522e-16 -2.005157e-03 0 0
1696.3531 1700.9824 -5.087242e-17 1.546768e-16 -7.987857e-04 0 0
1697.8932 1702.5268 2.577009e-16 1.786407e-16 4.098032e-03 0 0
1699.4334 1704.0712 9.753216e-17 1.637492e-16 1.570361e-03 0 0
1700.9736 1705.6155 5.380413e-17 1.573195e-16 8.770074e-04 0 0
1702.5138 1707.1599 1.830054e-16 1.664252e-16 3.019112e-03 0 0
1704.0540 1708.7043 8.365487e-17 1.532126e-16 1.396635e-03 0 0
1705.5942 1710.2487 -1.166636e-16 1.364630e-16 -1.970651e-03 0 0
1707.1344 1711.7931 -7.004454e-17 1.384863e-16 -1.196970e-03 0 0
1708.6746 1713.3376 -5.048405e-17 1.396731e-16 -8.726151e-04 0 0
1710.2148 1714.8820 -5.942292e-17 1.385929e-16 -1.038810e-03 0 0
1711.7551 1716.4264 -2.197223e-16 1.195332e-16 -3.884288e-03 0 0
1713.2953 1717.9709 -1.114319e-16 1.281061e-16 -1.991857e-03 0 0
1714.8356 1719.5153 3.932443e-17 1.406101e-16 7.106945e-04 0 0
1716.3758 1721.0598 4.528426e-17 1.398905e-16 8.273667e-04 0 0
1717.9161 1722.6043 2.086623e-16 1.534334e-16 3.853911e-03 0 0
1719.4564 1724.1488 4.718045e-17 1.365040e-16 8.808214e-04 0 0
1720.9967 1725.6933 5.335040e-17 1.358965e-16 1.006755e-03 0 0
1722.5370 1727.2378 1.228689e-16 1.381361e-16 2.343436e-03 0 0
1724.0773 1728.7823 3.160026e-17 1.318422e-16 6.091382e-04 0 0
1725.6176 1730.3268 -5.553730e-17 1.235805e-16 -1.081906e-03 0 0
1727.1579 1731.8713 3.169809e-16 1.501586e-16 6.240215e-03 0 0
1728.6983 1733.4159 1.404576e-16 1.349592e-16 2.794085e-03 0 0
1730.2386 1734.9604 -1.791695e-16 1.080123e-16 -3.601301e-03 0 0
1731.7790 1736.5050 -1.321775e-17 1.195019e-16 -2.684229e-04 0 0
1733.3193 1738.0496 -2.752233e-17 1.190791e-16 -5.646517e-04 0 0
1734.8597 1739.5941 1.947128e-16 1.326319e-16 4.035420e-03 0 0
1736.4001 1741.1387 -8.840242e-18 1.167058e-16 -1.850608e-04 0 0
1737.9405 1742.6833 5.281631e-17 1.285645e-16 1.116704e-03 0 0
1739.4809 1744.2279 1.565706e-16 1.310044e-16 3.343133e-03 0 0
1741.0213 1745.7725 7.155088e-17 1.221349e-16 1.542746e-03 0 0
1742.5617 1747.3172 -9.795153e-18 1.109740e-16 -2.132416e-04 0 0
1744.1021 1748.8618 -8.952306e-17 1.031104e-16 -1.967600e-03 0 0
1745.6426 1750.4064 1.531418e-16 1.234531e-16 3.398015e-03 0 0
1747.1830 1751.9511 -6.445684e-17 1.050249e-16 -1.444060e-03 0 0
1748.7235 1753.4958 5.325408e-17 1.126311e-16 1.204471e-03 0 0
1750.2639 1755.0404 2.369825e-16 1.277896e-16 5.410598e-03 0 0
1751.8044 1756.5851 3.410616e-16 1.339411e-16 7.859475e-03 0 0
1753.3449 1758.1298 1.586754e-17 1.062163e-16 3.690294e-04 0 0
1754.8854 1759.6745 2.936836e-16 1.264833e-16 6.892405e-03 0 0
1756.4259 1761.2192 1.212274e-16 1.117034e-16 2.870722e-03 0 0
1757.9664 1762.7639 5.110335e-17 1.064471e-16 1.220934e-03 0 0
1759.5069 1764.3086 9.454868e-17 1.101373e-16 2.278831e-03 0 0
1761.0475 1765.8534 -1.548434e-16 8.591394e-17 -3.764605e-03 0 0
1762.5880 1767.3981 1.185490e-16 1.118060e-16 2.907083e-03 0 0
1764.1285 1768.9428 4.458157e-17 1.034320e-16 1.102574e-03 0 0
1765.6691 1770.4876 1.651162e-16 1.109466e-16 4.118113e-03 0 0
1767.2097 1772.0324 2.122843e-16 1.150291e-16 5.338832e-03 0 0
1768.7502 1773.5772 1.380155e-16 1.057270e-16 3.499786e-03 0 0
1770.2908 1775.1219 7.493711e-17 1.031969e-16 1.915854e-03 0 0
1771.8314 1776.6667 5.723911e-17 9.923223e-17 1.475289e-03 0 0
1773.3720 1778.2115 -9.406562e-17 8.364705e-17 -2.444027e-03 0 0
1774.9126 1779.7564 -6.300019e-18 9.369580e-17 -1.649981e-04 0 0
1776.4532 1781.3012 1.707695e-16 1.048065e-16 4.508038e-03 0 0
1777.9939 1782.8460 2.564386e-16 1.105403e-16 6.823051e-03 0 0
1779.5345 1784.3909 -1.763450e-17 8.989632e-17 -4.728891e-04 0 0
1781.0752 1785.9357 -2.127517e-17 8.751567e-17 -5.749810e-04 0 0
1782.6158 1787.4806 1.207410e-16 9.760308e-17 3.288577e-03 0 0
1784.1565 1789.0254 -6.346841e-17 8.164587e-17 -1.742103e-03 0 0
1785.6971 1790.5703 1.660818e-17 9.179377e-17 4.594030e-04 0 0
1787.2378 1792.1152 1.430786e-16 9.893848e-17 3.988410e-03 0 0
1788.7785 1793.6601 1.196498e-16 9.568093e-17 3.361141e-03 0 0
1790.3192 1795.2050 2.044988e-16 1.028204e-16 5.789232e-03 0 0
1791.8599 1796.7499 1.800662e-18 8.550915e-17 5.137094e-05 0 0
1793.4007 1798.2948 1.089447e-16 9.364854e-17 3.132288e-03 0 0
1794.9414 1799.8398 7.117449e-18 8.410792e-17 2.062296e-04 0 0
1796.4821 1801.3847 2.179414e-16 1.004926e-16 6.364424e-03 0 0
1798.0229 1802.9297 1.470427e-16 9.413051e-17 4.327644e-03 0 0
1799.5636 1804.4746 -3.597749e-17 7.870812e-17 -1.067195e-03 0 0
1801.1044 1806.0196 7.875322e-17 8.843791e-17 2.354378e-03 0 0
1802.6452 1807.5646 4.584762e-17 8.541266e-17 1.381415e-03 0 0
1804.1859 1809.1096 1.499200e-16 9.019204e-17 4.552514e-03 0 0
1805.7267 1810.6546 -1.563277e-17 7.830355e-17 -4.784133e-04 0 0
1807.2675 1812.1996 1.503744e-17 8.036600e-17 4.637649e-04 0 0
1808.8083 1813.7446 1.762959e-17 7.812010e-17 5.478979e-04 0 0
1810.3492 1815.2896 -1.632135e-16 6.245683e-17 -5.111228e-03 0 0
1811.8900 1816.8346 2.566170e-16 9.495483e-17 8.097082e-03 0 0
1813.4308 1818.3797 -3.307080e-17 7.353477e-17 -1.051326e-03 0 0
1814.9717 1819.9247 -4.898373e-17 7.135850e-17 -1.568696e-03 0 0
1816.5125 1821.4698 -6.349868e-18 7.425746e-17 -2.048427e-04 0 0
1818.0534 1823.0149 -4.583081e-17 7.018187e-17 -1.489056e-03 0 0
1819.5943 1824.5599 1.724421e-17 7.506630e-17 5.642473e-04 0 0
1821.1352 1826.1050 8.804450e-17 7.952258e-17 2.900777e-03 0 0
1822.6760 1827.6501 1.438205e-16 8.368018e-17 4.770870e-03 0 0
1824.2169 1829.1952 -6.267959e-17 6.840012e-17 -2.093071e-03 0 0
1825.7579 1830.7403 -2.011894e-17 6.971313e-17 -6.762801e-04 0 0
1827.2988 1832.2855 9.346461e-17 7.813567e-17 3.161998e-03 0 0
1828.8397 1833.8306 -3.178672e-17 6.794774e-17 -1.082279e-03 0 0
1830.3806 1835.3757 2.326367e-17 7.357966e-17 7.970639e-04 0 0
1831.9216 1836.9209 6.851512e-17 7.649725e-17 2.362172e-03 0 0
1833.4625 1838.4661 8.819060e-17 7.645450e-17 3.059249e-03 0 0
1835.0035 1840.0112 -1.083865e-16 5.887011e-17 -3.782901e-03 0 0
1836.5445 1841.5564 -3.842004e-18 6.872156e-17 -1.349075e-04 0 0
1838.0855 1843.1016 5.338225e-17 7.255205e-17 1.885795e-03 0 0
