ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,2.1925,0.0918,0.1437,0.1705,yes,139.18,yes
Al III,1862.790,0.2780,1.6293,0.0733,0.1145,0.1360,yes,69.52,yes
Zn II,2026.137,0.5010,0.4977,0.0634,0.0386,0.0742,yes,2.25,no
Cr II,2056.254,0.1050,0.1366,0.2106,0.2203,0.3048,no,14.16,yes
Cr II,2062.234,0.0780,0.7488,0.4428,0.4295,0.6169,no,10.55,yes
Zn II,2062.664,0.2460,1.0213,0.4575,0.5107,0.6856,yes,1.13,no
Cr II,2066.161,0.0510,0.0000,0.2541,0.2434,0.3519,no,6.91,yes
Fe II,2249.877,0.0018,0.3477,0.0437,0.0777,0.0891,yes,0.27,no
Fe II,2260.780,0.0024,0.2602,0.0477,0.0715,0.0860,yes,0.36,no
Fe II,2344.214,0.1140,1.8239,0.0391,0.3327,0.3349,yes,17.53,yes
Fe II,2374.461,0.0313,1.3018,0.0406,0.1922,0.1965,yes,4.88,no
Fe II,2382.765,0.3200,2.2116,0.0331,0.2136,0.2161,yes,50.02,yes
Mn II,2576.877,0.3610,0.5664,0.0538,0.1937,0.2010,yes,1.48,no
Fe II,2586.650,0.0691,2.0362,0.0518,0.0973,0.1102,yes,11.73,yes
Mn II,2594.499,0.2800,1.3242,0.0661,0.0813,0.1048,yes,1.16,no
Fe II,2600.173,0.2390,2.7268,0.0683,0.1151,0.1339,yes,40.77,yes
Mn II,2606.462,0.1980,0.0000,0.0222,0.1125,0.1146,no,0.82,no
Mg II,2796.352,0.6150,4.8976,0.0640,0.8784,0.8808,yes,8359.83,yes
Mg II,2803.531,0.3060,3.0035,0.0429,0.0828,0.0933,yes,4170.20,yes
Mg I,2852.964,1.8300,0.7489,0.0350,0.2261,0.2288,yes,0.88,no
