# obs_wvl flux error
1.140515210604910408e+03 -6.446231303652812815e-11 3.152378996341060564e-14
1.140543833416294319e+03 -3.888604641625694876e-11 1.567089921293703805e-14
1.140572456227678231e+03 -1.240778658061438342e-11 4.961238896332880224e-15
1.140601079039062142e+03 -6.670445200436232732e-13 4.570607682575174970e-12
1.140629701850446054e+03 1.570007212749236969e-11 1.146192042001833176e-11
1.140658324661829965e+03 -4.260564187364127271e-12 1.803864718887545618e-15
1.140686947473213877e+03 -3.831672964081670773e-12 1.048122069187292403e-15
1.140715570284597788e+03 -2.894906443021375047e-12 1.181445947670446256e-15
1.140744193095981700e+03 -2.895970248992228625e-12 7.543112312251880559e-16
1.140772815907365612e+03 -2.884929552500000779e-12 9.757300836325095866e-16
1.140801438718749523e+03 1.935834180700727468e-12 2.433061656686087439e-12
1.140830061530133435e+03 -1.815164426688808614e-12 6.974396030517270428e-14
1.140858684341517346e+03 -2.107501127695812615e-12 7.292223165806947531e-16
1.140887307152901258e+03 -1.975853281142392590e-12 6.799714313018691051e-16
1.140915929964285169e+03 -1.875194559043133075e-12 5.917668720087730807e-16
1.140944552775669081e+03 -1.807835231598298950e-12 5.853951273483999617e-16
1.140973175587052992e+03 -1.564088689348204320e-12 3.791345420299702756e-16
1.141001798398436904e+03 -1.495066934974869277e-12 3.484012549603002516e-16
1.141030421209820815e+03 4.574268478112099422e-12 2.983895632479191542e-12
1.141059044021204727e+03 -1.501674910589175637e-12 4.518789030996259524e-16
1.141087666832588638e+03 -1.257708749546171260e-12 2.913472141092550954e-16
1.141116289643972550e+03 -1.425827787261892273e-12 4.021609747828991020e-16
1.141144912455356462e+03 -9.482822576335932282e-13 3.720567559497418565e-16
1.141173535266740373e+03 -9.090646786585146731e-13 3.622414123915640057e-16
1.141202158078124285e+03 -8.710680067229521306e-13 3.479270255883872975e-16
1.141230780889508196e+03 -1.069975921097931487e-12 2.282566843697529320e-16
1.141259403700892108e+03 -8.267685101908486500e-13 3.082276586834347914e-16
1.141288026512276019e+03 -8.224052247013266051e-13 3.027946323462199874e-16
1.141316649323659931e+03 1.534503026407887155e-12 1.372748221687300143e-12
1.141345272135043842e+03 6.884504299456377100e-14 6.962250578943820732e-13
1.141373894946427754e+03 -9.480080016100220149e-13 1.883471495085719886e-16
1.141402517757811665e+03 1.579007371067433828e-13 7.415651095327157806e-13
1.141431140569195577e+03 -1.048266051045388755e-12 2.430172393799401494e-16
1.141459763380579489e+03 -8.906146267845106252e-13 1.679845505853673217e-16
1.141488386191963400e+03 -7.169982678445688129e-13 2.254413733861774197e-16
1.141517009003347312e+03 -6.821439676172530211e-13 2.174935708529358445e-16
1.141545631814731223e+03 -5.956948219482915303e-13 9.822924466230335574e-14
1.141574254626115135e+03 -8.856799355145627465e-13 2.078022888800628268e-16
1.141602877437499046e+03 6.544779273422414397e-13 9.393897948053675337e-13
1.141631500248882958e+03 5.485719186493502857e-13 8.544681242166366564e-13
1.141660123060266869e+03 -7.717670328478274439e-13 1.875100986196556211e-16
1.141688745871650781e+03 -7.457352468389100995e-13 1.781732019030176123e-16
1.141717368683034692e+03 -1.793048385904910675e-13 2.372347406712175556e-13
1.141745991494418604e+03 -5.554450168762299992e-13 1.232346590528658459e-16
1.141774614305802515e+03 -6.445028275260821061e-13 1.577472531421048474e-16
1.141803237117186427e+03 -6.129704283305722618e-13 1.514202482487070549e-16
1.141831859928570339e+03 8.132540058064934462e-13 7.982433504984896673e-13
1.141860482739954250e+03 -4.472155227915934918e-13 1.041201445877896602e-16
1.141889105551338162e+03 -2.637687475441309337e-13 7.026982932442391848e-14
1.141917728362722073e+03 1.556077616861386121e-12 9.308402024299373737e-13
1.141946351174105985e+03 -1.257035514892753206e-13 2.899538277034438697e-13
1.141974973985489896e+03 -4.755805723275141483e-13 1.305606553659707186e-16
1.142003596796873808e+03 -3.277416997844735545e-13 1.367692404581800927e-16
1.142032219608257719e+03 -3.832487072772025864e-13 9.149740071815835422e-17
1.142060842419641631e+03 -4.361448890130009271e-13 1.225674344730830268e-16
1.142089465231025542e+03 -3.200303096826890517e-13 1.283823211726043672e-16
1.142118088042409454e+03 -3.208943864011675664e-13 1.196034306823059223e-16
1.142146710853793365e+03 -3.533520387991247838e-13 8.395391635324051767e-17
1.142175333665177277e+03 -1.598583537094784001e-13 1.755118391507981505e-13
1.142203956476561189e+03 -3.460724376852215135e-13 1.136512388186711619e-16
1.142232579287945100e+03 -2.704847847288596869e-13 1.508484113063497255e-13
1.142261202099329012e+03 3.398518035879813714e-13 4.686654431593595762e-13
1.142289824910712923e+03 -3.126562939693197236e-13 1.031348201935213668e-16
1.142318447722096835e+03 1.794486037401580345e-13 3.519976866211706748e-13
1.142347070533480746e+03 -2.988548526584360642e-13 9.991214240250764064e-17
1.142375693344864658e+03 -2.924488226720673885e-13 9.709814802405882853e-17
1.142404316156248569e+03 -2.878241492617390838e-13 8.976326362358954604e-17
1.142432938967632481e+03 -2.931646874700829257e-13 1.029067064592330846e-16
1.142461561779016392e+03 -2.801146072565115804e-13 6.361785805042785939e-17
1.142490184590400304e+03 2.739915235108153418e-13 3.870975006328029704e-13
1.142518807401784215e+03 -2.717838074952692235e-13 8.654460590654575738e-17
1.142547430213168127e+03 -2.447210389131930768e-13 4.083793650418695356e-14
1.142576053024552039e+03 -2.645320873214514978e-13 5.790984726142203900e-17
1.142604675835935950e+03 -2.325839491212400645e-13 8.212351782726699439e-17
1.142633298647319862e+03 -2.204889247878408078e-13 7.630208093329510995e-17
1.142661921458703773e+03 -2.456500258022284071e-13 5.367657893754163210e-17
1.142690544270087685e+03 -2.696960105039133914e-13 7.419703446764693746e-17
1.142719167081471596e+03 -2.060380000737386332e-13 7.220055944176434798e-17
1.142747789892855508e+03 -2.020669763604584725e-13 7.623554086163486118e-17
1.142776412704239419e+03 -3.105642567577536157e-14 1.263279320184644157e-13
1.142805035515623331e+03 -2.002430002804545195e-13 6.129844605756206035e-14
1.142833658327007242e+03 -1.249134576295658538e-13 1.345397146559113256e-13
1.142862281138391154e+03 -1.484009241444697537e-13 1.635762528503261464e-14
1.142890903949775065e+03 3.234346746981361156e-13 3.232134575045002480e-13
1.142919526761158977e+03 2.841675102302283446e-14 1.419789181481766510e-13
1.142948149572542889e+03 -1.557380957851155418e-13 6.528217769775749438e-17
1.142976772383926800e+03 3.815133808301044510e-13 3.275913922349693998e-13
1.143005395195310712e+03 -1.795561214205426873e-13 5.869524117178326158e-17
1.143034018006694623e+03 -1.667509795749732771e-13 6.037433300163517474e-17
1.143062640818078535e+03 -1.489999638481518262e-13 4.205958991651894208e-17
1.143091263629462446e+03 3.316508451848140285e-13 2.895963952300160344e-13
1.143119886440846358e+03 1.299462304401493831e-14 1.016618538544369371e-13
1.143148509252230269e+03 4.092328653751840863e-13 2.977413728241251656e-13
1.143177132063614181e+03 -1.235482361598192846e-13 5.540145201648160094e-17
1.143205754874998092e+03 -9.890011558287201679e-14 5.298632496964034437e-17
1.143234377686382004e+03 -9.453114465796054325e-14 5.247364268341238784e-17
1.143263000497765915e+03 1.995676604917355179e-13 2.188336234504220556e-13
1.143291623309149827e+03 -8.862474447096805666e-14 4.927606577699043081e-17
1.143320246120533739e+03 -8.793117635936462638e-14 4.881632270833343826e-17
1.143348868931917650e+03 -1.066772618269270668e-13 3.351445607494901035e-17
1.143377491743301562e+03 -8.909543483403941925e-14 4.721240999612200731e-17
1.143406114554685473e+03 1.289797560893736898e-13 1.771276364438900826e-13
1.143434737366069385e+03 -1.110124829036551424e-13 3.188124227915002444e-17
1.143463360177453296e+03 -1.145252935609886768e-13 3.210185625995158391e-17
1.143491982988837208e+03 -1.201284900840856515e-13 3.098966047618618369e-17
1.143520605800221119e+03 -1.286660399679696745e-13 4.392620319776319787e-17
1.143549228611605031e+03 1.317734183549776442e-13 1.752159620652577215e-13
1.143577851422988942e+03 -5.098439846778484643e-14 7.133962063863773904e-14
1.143606474234372854e+03 2.353860470349706515e-13 1.933399539021457885e-13
1.143635097045756766e+03 2.005402747017285908e-13 1.852648718260892309e-13
1.143663719857140677e+03 -1.091415494882805731e-13 3.931053621520782607e-17
1.143692342668524589e+03 -1.057102005533280671e-13 4.015324987485205234e-17
1.143720965479908500e+03 -1.348993197419543406e-13 2.757357904717086731e-17
1.143749588291292412e+03 -1.328821295442351884e-13 2.636257221635266217e-17
1.143778211102676323e+03 -1.359406016126758887e-13 2.562368636075541438e-17
1.143806833914060235e+03 9.126948691276404683e-14 1.591116484768298108e-13
1.143835456725444146e+03 -7.768480911718318164e-14 5.032270871350097125e-14
1.143864079536828058e+03 -5.603557495283291647e-14 4.254702721664768308e-14
1.143892702348211969e+03 -7.051471633439982002e-14 7.395693593914307048e-14
1.143921325159595881e+03 -8.129602900382136210e-14 3.440531974927933915e-17
1.143949947970979792e+03 -7.878591007723810559e-14 3.487684595175561651e-17
1.143978570782363704e+03 -7.869899529821814261e-14 3.481670137286983798e-17
1.144007193593747616e+03 -7.760433595846308506e-14 3.280390118278081537e-17
1.144035816405131527e+03 -1.130778490444751308e-13 2.249747742650048910e-17
1.144064439216515439e+03 3.737658726650953872e-13 2.161828847436769766e-13
1.144093062027899350e+03 -1.269804547005366675e-13 2.633471843788929534e-15
1.144121684839283262e+03 -9.761541712886044449e-14 2.115853927172946948e-17
1.144150307650667173e+03 -1.149107481250082039e-13 3.024713059568041032e-17
1.144178930462051085e+03 -1.067479646878869492e-13 2.981017875545694787e-17
1.144207553273434996e+03 -8.397657391836259991e-14 2.073193379388004880e-17
1.144236176084818908e+03 -9.781479688287983096e-15 4.823749138745872894e-14
1.144264798896202819e+03 4.291951558078567126e-14 8.639711543496581002e-14
1.144293421707586731e+03 6.473080619005678603e-14 1.084790746950089352e-13
1.144322044518970642e+03 -7.626657324304528522e-14 2.745933027843084844e-17
1.144350667330354554e+03 -7.233516416090229025e-14 2.653586593892934882e-17
1.144379290141738466e+03 -7.107167186744940196e-14 2.494561819203028206e-17
1.144407912953122377e+03 3.133362516400177895e-14 8.648244076436526303e-14
1.144436535764506289e+03 -6.914387000509660306e-14 2.591792817163734053e-17
1.144465158575890200e+03 -6.279847140807133326e-14 1.811960059134463937e-17
1.144493781387274112e+03 -6.151473780773229485e-14 1.835550194384172524e-17
1.144522404198658023e+03 -5.362321488336394095e-14 2.519201286212219253e-17
1.144551027010041935e+03 6.866067012444804613e-14 8.778528548439046598e-14
1.144579649821425846e+03 -6.482703231533793714e-14 2.429724066195293420e-17
1.144608272632809758e+03 5.341948864272523523e-14 7.786922178409062727e-14
1.144636895444193669e+03 -6.005010151004633080e-14 2.261704925481796503e-17
1.144665518255577581e+03 -5.749587506887387964e-14 2.309667539917677563e-17
1.144694141066961492e+03 -5.566885845462418884e-14 2.240426379823525505e-17
1.144722763878345404e+03 8.941063354293768695e-15 3.691888363586355521e-14
1.144751386689729316e+03 -7.703264975021347716e-15 3.397609983072155614e-14
1.144780009501113227e+03 -4.503858570461084351e-14 2.152700105431928620e-17
1.144808632312497139e+03 -4.536326766671951449e-14 2.211127196829821798e-17
1.144837255123881050e+03 -4.348227372537838005e-14 1.504242150868437911e-17
1.144865877935264962e+03 -3.974207874880760452e-14 2.032395446253291468e-17
1.144894500746648873e+03 6.243518809573549556e-14 8.031921464280149886e-14
1.144923123558032785e+03 -4.612891853883048257e-14 2.042323877575031509e-17
1.144951746369416696e+03 5.956092514442725914e-14 7.230096121948131362e-14
1.144980369180800608e+03 -1.826535153853170404e-14 2.452749613735005863e-14
1.145008991992184519e+03 -5.127551370828458583e-14 1.949794278590335743e-17
1.145037614803568431e+03 -4.387449471686521691e-14 1.330067960474993725e-17
1.145066237614952342e+03 -4.469939514399941104e-14 1.334792656513049934e-17
1.145094860426336254e+03 -5.641158058329541178e-14 1.857160933247417153e-17
1.145123483237720166e+03 -5.739831654619776188e-14 1.838327235441493897e-17
1.145152106049104077e+03 -5.837322618237798454e-14 1.888152156802823091e-17
1.145180728860487989e+03 -4.849283835416821995e-14 1.274296411044374203e-17
1.145209351671871900e+03 5.801403355096666845e-14 7.611489420466639565e-14
1.145237974483255812e+03 -3.760445914660029885e-14 1.981001199986832083e-14
1.145266597294639723e+03 4.334521017512781884e-14 6.879415535463338486e-14
1.145295220106023635e+03 -4.150513147966341252e-14 1.678379911873172651e-17
1.145323842917407546e+03 -4.328337199752380815e-14 1.681239375768243552e-17
1.145352465728791458e+03 -5.208079172768656606e-14 1.191735634954201083e-17
1.145381088540175369e+03 -4.690616329847999632e-14 1.636170285021729265e-17
1.145409711351559281e+03 -4.827043257436558943e-14 1.654802434990258475e-17
1.145438334162943192e+03 5.920483657927273302e-14 6.761674655034844334e-14
1.145466956974327104e+03 5.015732131826451908e-14 6.455694330485103661e-14
1.145495579785711016e+03 -5.294169319848157296e-14 1.591228739795718765e-17
1.145524202597094927e+03 3.960091087853219161e-14 6.603287883400967079e-14
1.145552825408478839e+03 -4.898046408457507928e-14 1.096407758338830256e-17
1.145581448219862750e+03 -4.828300522697176542e-14 1.113765734897260936e-17
1.145610071031246662e+03 -6.026319465199633334e-14 1.554054558784654582e-17
1.145638693842630573e+03 -3.215589748224415053e-14 1.530577619626353960e-17
1.145667316654014485e+03 -2.940606602617596927e-14 1.525292385800652596e-17
1.145695939465398396e+03 -2.733384034240128153e-14 1.414901625512873694e-17
1.145724562276782308e+03 -6.311656504604368438e-14 1.412999949432324655e-17
1.145753185088166219e+03 4.046007150359479031e-14 6.084376441096324813e-14
1.145781807899550131e+03 -4.475325267154088668e-14 1.010614730023997276e-17
1.145810430710934043e+03 1.501168070952897675e-14 4.788641587002930300e-14
1.145839053522317954e+03 -3.084640907832640833e-14 1.440493365209247277e-17
1.145867676333701866e+03 -3.219288305755197021e-14 1.362535562718451168e-17
1.145896299145085777e+03 -3.330967566804162650e-14 1.413513559032226715e-17
1.145924921956469689e+03 -3.423783992662640501e-14 1.374679934864882872e-17
1.145953544767853600e+03 -1.928042238454689071e-14 2.720932339200401468e-14
1.145982167579237512e+03 -3.765746330891501151e-14 1.375675777397640500e-17
1.146010790390621423e+03 -4.615892497277138683e-14 9.358826019416314597e-18
1.146039413202005335e+03 -4.587796278891173010e-14 8.947502505550422913e-18
1.146068036013389246e+03 -4.690982778964428059e-14 9.064524124778117233e-18
1.146096658824773158e+03 -4.722918275533022103e-14 9.083419605884834452e-18
1.146125281636157069e+03 -4.740135684038281897e-14 8.812662079565668939e-18
1.146153904447540981e+03 -4.462402972475651288e-14 1.205667355004738172e-17
1.146182527258924893e+03 -4.265695403485943912e-14 1.218674792500936750e-17
1.146211150070308804e+03 -4.110380069371387366e-14 1.177038889549566174e-17
1.146239772881692716e+03 2.036324703151492084e-14 4.686900057354490271e-14
1.146268395693076627e+03 -5.495002688426845398e-14 1.222215667079060620e-17
1.146297018504460539e+03 -4.610676426416495585e-14 8.238726379924975682e-18
1.146325641315844450e+03 -2.600909393499212169e-14 3.132028218493952730e-14
1.146354264127228362e+03 2.152512478251955046e-14 4.676327483931255961e-14
1.146382886938612273e+03 -5.794656552887185320e-14 1.198315067432583531e-17
1.146411509749996185e+03 -5.810254334473326586e-14 1.195955997353661802e-17
1.146440132561380096e+03 -5.505998158786891542e-15 3.393801568439552901e-14
1.146468755372764008e+03 -4.139341548004555637e-14 1.104704522168891889e-17
1.146497378184147919e+03 -4.211077989113626887e-14 1.143629662610746217e-17
1.146526000995531831e+03 6.739927429842227737e-16 3.671327283355348525e-14
1.146554623806915743e+03 -4.247413315486721184e-14 1.071503601660872809e-17
1.146583246618299654e+03 -4.641008709532023856e-14 7.785843668940941684e-18
1.146611869429683566e+03 -4.509863849983738794e-14 7.485862765133407896e-18
1.146640492241067477e+03 -4.127800668054863165e-14 1.037542590745091323e-17
1.146669115052451389e+03 -4.079828409817383437e-14 1.068193971726809683e-17
1.146697737863835300e+03 -4.128680657958792813e-14 7.396418375421607895e-18
1.146726360675219212e+03 -3.995273984003573390e-14 1.078083121070175330e-17
1.146754983486603123e+03 -1.156111895362977522e-14 1.775957983248205596e-14
1.146783606297987035e+03 8.414295768036093158e-15 3.191134597913773764e-14
1.146812229109370946e+03 -3.385607231265067589e-14 7.337820781631955511e-18
1.146840851920754858e+03 -2.549064341932849770e-14 5.113582495254238926e-15
1.146869474732138769e+03 3.519028225956761819e-14 3.894861050993211373e-14
1.146898097543522681e+03 -2.808662532687169975e-14 9.629317470538450283e-18
1.146926720354906593e+03 -2.712868024986589329e-14 9.875747233811268640e-18
1.146955343166290504e+03 -2.624903025669650891e-14 6.931350805476273115e-18
1.146983965977674416e+03 3.308618720777920296e-14 4.114848952640955233e-14
1.147012588789058327e+03 -2.328003149118157980e-14 9.795234770056872934e-18
1.147041211600442239e+03 8.850147046765591588e-15 2.481035852515133012e-14
1.147069834411826150e+03 5.193482449397128995e-14 4.000413908188171037e-14
1.147098457223210062e+03 4.221731187749440751e-14 3.907087935954443960e-14
1.147127080034593973e+03 -2.734335821890052174e-14 9.123840972634835003e-18
1.147155702845977885e+03 -2.832079728802773997e-14 9.370739786504740993e-18
1.147184325657361796e+03 -2.109261785819899304e-14 6.531747540873748123e-18
1.147212948468745708e+03 -2.139521300264040844e-14 6.539205328844177638e-18
1.147241571280129619e+03 3.382242458880012543e-14 3.846708182722630426e-14
1.147270194091513531e+03 -9.196520564734971620e-15 8.808233371322191347e-18
1.147298816902897443e+03 -2.018935960295675050e-14 6.416514963960372722e-18
1.147327439714281354e+03 -8.402985709595459191e-15 9.399015137297790269e-18
1.147356062525665266e+03 -8.047957949817406605e-15 8.821114137173740239e-18
1.147384685337049177e+03 1.748261510230662394e-14 2.909033524982126952e-14
1.147413308148433089e+03 1.458791392962378524e-14 1.814384154916623705e-14
1.147441930959817000e+03 -2.762537491982222958e-14 8.898242003200500046e-18
1.147470553771200912e+03 -1.816844701435180184e-14 6.252014559379143626e-18
1.147499176582584823e+03 -9.481125487805834198e-15 8.796653681968779793e-18
1.147527799393968735e+03 -1.016835947621300176e-14 8.341895283312249311e-18
1.147556422205352646e+03 -1.115535890564155384e-14 8.622923379650220750e-18
1.147585045016736558e+03 -1.200349650118095726e-14 8.345937317295573268e-18
1.147613667828120469e+03 -1.313239117053404165e-14 8.359207259528489965e-18
1.147642290639504381e+03 -1.427039009761958493e-14 8.692823335926685167e-18
1.147670913450888293e+03 -1.853285013392807033e-14 5.983886232707243319e-18
1.147699536262272204e+03 -1.588614791396452143e-14 8.393341159764185666e-18
1.147728159073656116e+03 4.491320274085521564e-14 3.833241959723129924e-14
1.147756781885040027e+03 -1.775753074350183985e-14 8.329076231424214134e-18
1.147785404696423939e+03 -1.721597378364270455e-14 9.919284127321362622e-15
1.147814027507807850e+03 -2.061712554247130383e-14 5.919725412614034961e-18
1.147842650319191762e+03 1.481994173839083859e-14 2.509738467099243507e-14
1.147871273130575673e+03 -2.317822841754137205e-14 8.018284457368311729e-18
1.147899895941959585e+03 -2.342967690858692045e-14 8.356641662825703784e-18
1.147928518753343496e+03 -2.345412784343982044e-14 8.441812090858347001e-18
1.147957141564727408e+03 -2.296506077340091183e-14 7.970086572511798689e-18
1.147985764376111320e+03 -1.678124645933208896e-14 8.144067856898659530e-18
1.148014387187495231e+03 1.996777466233702468e-14 2.736131743281141262e-14
1.148043009998879143e+03 -2.110069421379741483e-14 7.741930006395017628e-18
1.148071632810263054e+03 -1.849068136464804328e-14 5.689300491932018289e-18
1.148100255621646966e+03 -1.827354907426943263e-14 5.492176325271893836e-18
1.148128878433030877e+03 -1.816983170387012808e-14 5.524839113914754409e-18
1.148157501244414789e+03 -1.425953632554036148e-14 6.348627472898693498e-15
1.148186124055798700e+03 -1.326773213336064641e-14 7.658480189063627918e-18
1.148214746867182612e+03 -1.740701466512894599e-14 5.562019155336752605e-18
1.148243369678566523e+03 -2.237752798691974759e-14 8.055752887222112058e-18
1.148271992489950435e+03 -1.742562335667015533e-14 5.450574667851786774e-18
1.148300615301334346e+03 2.766785458108333172e-14 3.200464333657007965e-14
1.148329238112718258e+03 -8.648067941587803950e-15 1.023638865792069451e-14
1.148357860924102170e+03 6.942697726883514474e-15 1.653694345836426480e-14
1.148386483735486081e+03 2.472472644263458597e-14 3.091013209462613677e-14
1.148415106546869993e+03 3.041245576993141124e-14 3.094230087171383754e-14
1.148443729358253904e+03 1.679061864899164735e-14 2.695326507212582430e-14
1.148472352169637816e+03 -1.932992034255644564e-14 5.544124793375915427e-18
1.148500974981021727e+03 -2.515510878491390023e-14 7.740568253648921519e-18
1.148529597792405639e+03 4.060117957466257113e-14 3.539591918387261170e-14
1.148558220603789550e+03 -9.584499707463912665e-15 5.702137909276719845e-15
1.148586843415173462e+03 -8.271451143654595088e-15 7.836116743170054718e-15
1.148615466226557373e+03 -1.244460605459557942e-14 7.608972300190091980e-18
1.148644089037941285e+03 -1.295764266068216981e-14 7.341930701644560827e-18
1.148672711849325196e+03 -1.327264053297332656e-14 7.178350293351755801e-18
1.148701334660709108e+03 -1.934306568570616201e-14 7.313374145845666024e-18
1.148729957472093020e+03 -1.597808770303333316e-14 5.210416911175791844e-18
1.148758580283476931e+03 -2.186720946625030972e-15 1.414172350088772640e-14
1.148787203094860843e+03 -1.499651006216197072e-14 7.511162635974878365e-18
1.148815825906244754e+03 -1.065707591854907964e-14 4.327490940215874416e-15
1.148844448717628666e+03 3.486796441821618145e-14 2.828232967905875075e-14
1.148873071529012577e+03 2.742164452864134840e-14 2.249202486213091417e-14
1.148901694340396489e+03 -1.385382321527894533e-14 7.610236940043090854e-18
1.148930317151780400e+03 -1.359953271957541675e-14 7.154380519790833506e-18
1.148958939963164312e+03 3.538846237003983307e-14 3.301442979518548127e-14
1.148987562774548223e+03 -1.664620304890901250e-14 5.203096288429759952e-18
1.149016185585932135e+03 -1.682792104606193351e-14 2.397136306960068899e-15
1.149044808397316046e+03 2.464048577528318977e-14 2.854398388734849780e-14
1.149073431208699958e+03 -3.551133261022348415e-14 9.609787953851217167e-18
1.149102054020083870e+03 -3.841109082721714306e-14 9.898330832064524304e-18
1.149130676831467781e+03 -1.556344325852999609e-14 9.735955903960390585e-18
1.149159299642851693e+03 -3.461103115282952659e-14 8.963519303973033012e-18
1.149187922454235604e+03 -7.188135139834435624e-15 8.320648397316643400e-15
1.149216545265619516e+03 9.769931722426946613e-15 1.965982312623132142e-14
1.149245168077003427e+03 -2.398222541957703727e-14 5.926058755416949246e-18
1.149273790888387339e+03 -5.995852555400554506e-15 9.413977860815225794e-15
1.149302413699771250e+03 2.149307462447112828e-14 3.045351773422178941e-14
1.149331036511155162e+03 -3.929455111109670766e-15 1.496398167314142510e-14
1.149359659322539073e+03 -1.090173506194992337e-14 7.198352722794079273e-15
1.149388282133922985e+03 -1.953721232950747290e-14 1.010842899968154577e-14
1.149416904945306896e+03 2.430820342958768235e-15 1.841676235098486393e-14
1.149445527756690808e+03 -1.502239485746438002e-14 5.914177901492749435e-15
1.149474150568074720e+03 -2.972154429366247587e-14 6.770800410510858521e-18
1.149502773379458631e+03 -3.135696384291186460e-14 1.579832629347834091e-15
1.149531396190842543e+03 -2.293790168927175708e-14 8.717972296060086589e-15
1.149560019002226454e+03 2.561025383412866850e-15 1.926509684347954750e-14
1.149588641813610366e+03 -2.964162887556560836e-14 7.384529228796529211e-18
1.149617264624994277e+03 -2.804821080547218740e-14 7.049064898159258008e-18
1.149645887436378189e+03 1.655083759405475944e-14 2.695798369553650786e-14
1.149674510247762100e+03 -2.881251072188643300e-14 6.982483311665101836e-18
