# SN1999EM o5i250040 G230L MAMA z=0.002 a2center=502.2 extrsize=11 exptime=2852.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1578.6037 1581.7609 8.880436e-14 4.774055e-14 9.511120e-03 2580 0
1580.1442 1583.3045 1.120477e-14 1.834009e-14 2.053676e-03 2564 0
1581.6847 1584.8481 -1.197810e-14 6.232788e-15 -3.110330e-03 2564 0
1583.2252 1586.3917 8.271254e-15 7.701248e-15 2.781197e-03 2564 0
1584.7657 1587.9353 -1.182995e-15 6.538241e-15 -4.886093e-04 2048 0
1586.3063 1589.4789 4.678369e-15 5.326375e-15 2.292423e-03 0 0
1587.8468 1591.0225 3.020390e-15 4.912038e-15 1.713201e-03 0 0
1589.3874 1592.5662 2.714311e-15 4.106268e-15 1.749775e-03 0 0
1590.9279 1594.1098 1.148478e-14 4.154508e-15 8.419479e-03 0 0
1592.4685 1595.6534 2.077753e-15 3.190669e-15 1.722568e-03 0 0
1594.0091 1597.1971 -6.818322e-16 3.152881e-15 -6.380863e-04 0 0
1595.5497 1598.7408 -2.847455e-16 2.784268e-15 -2.992130e-04 0 0
1597.0903 1600.2845 -2.050524e-15 2.361948e-15 -2.410032e-03 0 0
1598.6309 1601.8281 -4.909893e-15 1.953102e-15 -6.421233e-03 0 0
1600.1715 1603.3718 -2.522124e-15 1.847749e-15 -3.654402e-03 0 0
1601.7121 1604.9156 -2.831245e-15 1.656949e-15 -4.524375e-03 0 0
1603.2528 1606.4593 -1.976140e-15 1.526010e-15 -3.468795e-03 0 0
1604.7934 1608.0030 -1.695828e-15 1.420659e-15 -3.257730e-03 0 0
1606.3341 1609.5467 -2.657940e-15 1.254308e-15 -5.567697e-03 0 0
1607.8747 1611.0905 -2.621271e-15 1.102394e-15 -5.969719e-03 0 0
1609.4154 1612.6342 -1.250072e-15 1.101096e-15 -3.084600e-03 0 0
1610.9561 1614.1780 -7.831941e-16 1.042137e-15 -2.088618e-03 0 0
1612.4967 1615.7217 -1.211024e-15 9.241705e-16 -3.478610e-03 0 0
1614.0374 1617.2655 2.012328e-15 1.053025e-15 6.211485e-03 0 0
1615.5781 1618.8093 1.649894e-15 9.679198e-16 5.454896e-03 0 0
1617.1189 1620.3531 1.735375e-16 8.234509e-16 6.131758e-04 0 0
1618.6596 1621.8969 1.286274e-15 8.553349e-16 4.842317e-03 0 0
1620.2003 1623.4407 -4.356098e-17 7.086743e-16 -1.743417e-04 0 0
1621.7411 1624.9845 6.343932e-16 7.214332e-16 2.691576e-03 0 0
1623.2818 1626.5284 1.261038e-15 7.062185e-16 5.659703e-03 0 0
1624.8226 1628.0722 1.307925e-15 6.811190e-16 6.193557e-03 0 0
1626.3633 1629.6161 6.102216e-16 6.036462e-16 3.042547e-03 0 0
1627.9041 1631.1599 4.167286e-16 5.655450e-16 2.182680e-03 0 0
1629.4449 1632.7038 1.234431e-16 5.151024e-16 6.778357e-04 0 0
1630.9857 1634.2477 9.909598e-16 5.561290e-16 5.693105e-03 0 0
1632.5265 1635.7915 1.484588e-15 5.507564e-16 8.906509e-03 0 0
1634.0673 1637.3354 2.111185e-15 5.692223e-16 1.320276e-02 0 0
1635.6081 1638.8793 1.613233e-15 5.217694e-16 1.049754e-02 0 0
1637.1489 1640.4232 1.425971e-15 5.038120e-16 9.640276e-03 0 0
1638.6898 1641.9672 1.558680e-15 4.877180e-16 1.092932e-02 0 0
1640.2306 1643.5111 1.047693e-15 4.514613e-16 7.609588e-03 0 0
1641.7715 1645.0550 1.469337e-15 4.628685e-16 1.103748e-02 0 0
1643.3124 1646.5990 2.947198e-15 5.071724e-16 2.287177e-02 0 0
1644.8532 1648.1429 1.764690e-15 4.412514e-16 1.412879e-02 0 0
1646.3941 1649.6869 1.891660e-15 4.426296e-16 1.561066e-02 0 0
1647.9350 1651.2309 1.894624e-15 4.309586e-16 1.609622e-02 0 0
1649.4759 1652.7749 1.419939e-15 4.024173e-16 1.240917e-02 0 0
1651.0168 1654.3188 2.426006e-15 4.395505e-16 2.178500e-02 0 0
1652.5577 1655.8628 1.328213e-15 3.806549e-16 1.224680e-02 0 0
1654.0987 1657.4069 1.741049e-15 3.898534e-16 1.646620e-02 0 0
1655.6396 1658.9509 1.983975e-15 3.887051e-16 1.923466e-02 0 0
1657.1805 1660.4949 1.302833e-15 3.515438e-16 1.293501e-02 0 0
1658.7215 1662.0389 1.726805e-15 3.635592e-16 1.754793e-02 0 0
1660.2625 1663.5830 2.097724e-15 3.814288e-16 2.179849e-02 0 0
1661.8034 1665.1270 1.986303e-15 3.659608e-16 2.109729e-02 0 0
1663.3444 1666.6711 1.640922e-15 3.447760e-16 1.779909e-02 0 0
1664.8854 1668.2152 2.268629e-15 3.663470e-16 2.512097e-02 0 0
1666.4264 1669.7593 2.130153e-15 3.529609e-16 2.406085e-02 0 0
1667.9674 1671.3033 2.418146e-15 3.565388e-16 2.785241e-02 0 0
1669.5084 1672.8474 2.011961e-15 3.405599e-16 2.361541e-02 0 0
1671.0494 1674.3915 1.805111e-15 3.291158e-16 2.158439e-02 0 0
1672.5905 1675.9357 1.312220e-15 2.961997e-16 1.597591e-02 0 0
1674.1315 1677.4798 1.648756e-15 3.036295e-16 2.043211e-02 0 0
1675.6726 1679.0239 2.056092e-15 3.254073e-16 2.592288e-02 0 0
1677.2136 1680.5681 2.988363e-15 3.555113e-16 3.832139e-02 0 0
1678.7547 1682.1122 2.579969e-15 3.346739e-16 3.363459e-02 0 0
1680.2958 1683.6564 2.907000e-15 3.465291e-16 3.851863e-02 0 0
1681.8369 1685.2005 2.391141e-15 3.211046e-16 3.218804e-02 0 0
1683.3780 1686.7447 2.641809e-15 3.281052e-16 3.612026e-02 0 0
1684.9191 1688.2889 3.065952e-15 3.415140e-16 4.255952e-02 0 0
1686.4602 1689.8331 2.909587e-15 3.365504e-16 4.099647e-02 0 0
1688.0013 1691.3773 2.540253e-15 3.083367e-16 3.631707e-02 0 0
1689.5424 1692.9215 2.832861e-15 3.258961e-16 4.108514e-02 0 0
1691.0836 1694.4658 3.087559e-15 3.222108e-16 4.540974e-02 0 0
1692.6247 1696.0100 3.005310e-15 3.245334e-16 4.481351e-02 0 0
1694.1659 1697.5542 3.223802e-15 3.274547e-16 4.872328e-02 0 0
1695.7071 1699.0985 3.229437e-15 3.256976e-16 4.946063e-02 0 0
1697.2482 1700.6427 2.203119e-15 2.821655e-16 3.418264e-02 0 0
1698.7894 1702.1870 3.119287e-15 3.203975e-16 4.901677e-02 0 0
1700.3306 1703.7313 2.871245e-15 3.044092e-16 4.568522e-02 0 0
1701.8718 1705.2756 3.197368e-15 3.109103e-16 5.150405e-02 0 0
1703.4130 1706.8199 3.334565e-15 3.133393e-16 5.436726e-02 0 0
