# SN1999EM o5i260040 G140L MAMA z=0.002 a2center=413.8 extrsize=11 exptime=2901.0 mode=fixed flags=low_detect
# rest_wvl obs_wvl flux error net dq mask
1116.5114 1118.7444 0.000000e+00 0.000000e+00 -1.687344e-04 2580 0
1117.0941 1119.3283 0.000000e+00 0.000000e+00 -7.080008e-05 2564 0
1117.6768 1119.9121 0.000000e+00 0.000000e+00 -7.080007e-05 2564 0
1118.2595 1120.4960 0.000000e+00 0.000000e+00 -7.080007e-05 2564 0
1118.8422 1121.0799 0.000000e+00 0.000000e+00 -3.946583e-04 2560 0
1119.4249 1121.6637 0.000000e+00 0.000000e+00 -3.638287e-04 512 0
1120.0076 1122.2476 0.000000e+00 0.000000e+00 1.726276e-04 512 0
1120.5903 1122.8315 0.000000e+00 0.000000e+00 -1.184793e-05 512 0
1121.1730 1123.4153 0.000000e+00 0.000000e+00 2.964225e-08 512 0
1121.7557 1123.9992 0.000000e+00 0.000000e+00 3.519705e-04 512 0
1122.3384 1124.5830 0.000000e+00 0.000000e+00 -1.857701e-04 512 0
1122.9211 1125.1669 0.000000e+00 0.000000e+00 -1.905709e-04 512 0
1123.5037 1125.7508 0.000000e+00 0.000000e+00 -1.944477e-04 512 0
1124.0864 1126.3346 0.000000e+00 0.000000e+00 3.458534e-04 512 0
1124.6691 1126.9185 0.000000e+00 0.000000e+00 -1.992293e-04 512 0
1125.2518 1127.5023 0.000000e+00 0.000000e+00 -2.073799e-04 512 0
1125.8345 1128.0862 0.000000e+00 0.000000e+00 -2.070729e-04 512 0
1126.4172 1128.6700 0.000000e+00 0.000000e+00 -2.105477e-04 512 0
1126.9999 1129.2539 0.000000e+00 0.000000e+00 -2.152121e-04 512 0
1127.5825 1129.8377 0.000000e+00 0.000000e+00 -2.176200e-04 512 0
1128.1652 1130.4215 0.000000e+00 0.000000e+00 -2.210844e-04 512 0
1128.7479 1131.0054 0.000000e+00 0.000000e+00 -2.237027e-04 512 0
1129.3306 1131.5892 0.000000e+00 0.000000e+00 -2.272354e-04 512 0
