# obs_wvl flux error
2.977000000000000000e+03 -2.172792107986684152e-16 2.985809138521537849e-16
2.979747765923179031e+03 3.131929418818721419e-16 2.936326141166006956e-16
2.982495531846358062e+03 5.157640126634983158e-16 2.817253504843956445e-16
2.985243297769537094e+03 8.386480111060704475e-16 2.795649173936771822e-16
2.987991063692716125e+03 2.819540624986505395e-16 2.636990685137534601e-16
2.990738829615895156e+03 1.324403755653294467e-16 2.581353711840865643e-16
2.993486595539074187e+03 4.337302008625583251e-16 2.570592661756619529e-16
2.996234361462253219e+03 5.830205730003146676e-16 2.578434738150843090e-16
2.998982127385432250e+03 6.854607043834890022e-16 2.662835744892244039e-16
3.001729893308611281e+03 7.227737260098150272e-14 1.624386462721950946e-15
3.004477659231790312e+03 8.506587662489460593e-17 2.412720857320597579e-16
3.007225425154969344e+03 4.637810584011387102e-16 2.433941726603794501e-16
3.009973191078148375e+03 2.485420090701761834e-16 2.376687000353156381e-16
3.012720957001327406e+03 -1.415753710539536636e-16 2.352342762723828411e-16
3.015468722924506437e+03 4.839569338913220044e-16 2.585494396078507190e-16
3.018216488847685468e+03 4.941155777005538217e-16 2.319376722606647813e-16
3.020964254770864500e+03 2.958360750450467263e-16 2.290746813598215550e-16
3.023712020694043531e+03 7.052989117332054483e-16 2.332662665645712763e-16
3.026459786617222562e+03 2.993495211340418945e-16 2.298694520829050075e-16
3.029207552540401593e+03 5.330633691546115722e-18 2.272444712235868703e-16
3.031955318463580625e+03 1.118365010066543749e-15 2.248680159942971035e-16
3.034703084386759656e+03 1.783728398867784514e-16 2.088137010714866040e-16
3.037450850309938687e+03 1.787613644202170837e-16 2.041761135956612189e-16
3.040198616233117718e+03 6.629766823990373243e-16 2.047803674460616153e-16
3.042946382156296750e+03 4.256260275645232026e-16 2.003530773412291256e-16
3.045694148079475781e+03 6.062417377509001187e-16 1.961450834594250724e-16
3.048441914002654812e+03 5.974085360654414019e-16 2.381405905468608645e-16
3.051189679925833843e+03 -8.628297396311113182e-17 2.350008190121468339e-16
3.053937445849012875e+03 3.158115714638628403e-17 1.823262527888063958e-16
3.056685211772191906e+03 7.129443920797451033e-16 1.879899512776299595e-16
3.059432977695370937e+03 9.070623457656626143e-17 1.957005577740405687e-16
3.062180743618549968e+03 -3.241272883824603349e-16 4.240596344091981051e-16
3.064928509541728999e+03 3.454529790531244164e-16 1.743345978409480255e-16
3.067676275464908031e+03 4.346722758091529399e-17 1.681629609663881253e-16
3.070424041388087062e+03 5.077861535904579267e-16 1.742494121675291271e-16
3.073171807311266093e+03 3.138030613460029247e-16 1.668512753841902065e-16
3.075919573234445124e+03 3.138398421868427965e-17 1.671992494607964847e-16
3.078667339157624156e+03 3.743964284188357302e-16 1.625154031719176655e-16
3.081415105080803187e+03 2.325427197920206003e-16 1.670087437426301217e-16
3.084162871003982218e+03 3.054608833058023602e-16 1.620574677297444253e-16
3.086910636927161249e+03 4.341695834690709418e-16 1.596624588014575853e-16
3.089658402850340281e+03 -6.335482622923738089e-17 1.605225391245962014e-16
3.092406168773519312e+03 2.054084005273566322e-16 1.562350933799962767e-16
3.095153934696698343e+03 5.075150339284560332e-16 1.617430593639307607e-16
3.097901700619877374e+03 -1.104438315792786414e-17 1.530313322683825501e-16
3.100649466543056405e+03 1.153979778708895178e-16 1.517570693001344968e-16
3.103397232466235437e+03 2.131291635290767443e-16 1.530048691993179718e-16
3.106144998389414468e+03 1.682287769506905605e-16 1.495439543420052154e-16
3.108892764312593499e+03 3.148354289466420585e-16 1.499258661867466994e-16
3.111640530235772530e+03 2.416953034205650008e-16 1.513429320840739007e-16
3.114388296158951562e+03 -1.275067661913540989e-16 1.462769746838782014e-16
3.117136062082130593e+03 1.305657923644183163e-16 1.460364673608991188e-16
3.119883828005309624e+03 4.392715064589600454e-16 1.544116996593160885e-16
3.122631593928488655e+03 6.275209674396689160e-16 1.548034663494732776e-16
3.125379359851667687e+03 2.627639697942828540e-16 1.493490990526293687e-16
3.128127125774846718e+03 1.278553597434699457e-16 1.421609734170607115e-16
3.130874891698025749e+03 3.699621579603500429e-16 1.447638357026221225e-16
3.133622657621204780e+03 2.241406827707525489e-16 2.184614483727485116e-16
3.136370423544383812e+03 3.398132528940468688e-16 1.815852230993449916e-16
3.139118189467562843e+03 -4.180330314344860875e-17 1.579118664512222408e-16
3.141865955390741874e+03 2.552076238505765542e-16 1.612522463381005747e-16
3.144613721313920905e+03 3.019610719894255900e-16 1.442702405837934379e-16
3.147361487237099936e+03 -5.240713009380364417e-17 1.397510916516263221e-16
