# SN2001EH o6gl32020 G430L CCD z=0.037 a2center=519.1 extrsize=17 exptime=1181.0 mode=adaptive_clamphi flags=none
# rest_wvl obs_wvl flux error net dq mask
2792.4308 2895.7507 2.040988e-15 2.414404e-15 2.468847e-02 16896 0
2795.0773 2898.4952 -2.129207e-15 2.046056e-15 -2.967879e-02 16896 0
2797.7239 2901.2397 1.814729e-15 1.850254e-15 2.863126e-02 528 0
2800.3705 2903.9842 -4.369030e-16 1.618504e-15 -7.704519e-03 16896 0
2803.0171 2906.7288 1.401360e-15 1.463542e-15 2.751060e-02 16896 0
2805.6638 2909.4734 4.553558e-16 1.371939e-15 9.973651e-03 16912 0
2808.3105 2912.2180 1.463154e-16 1.187461e-15 3.561628e-03 16896 0
2810.9572 2914.9626 9.191635e-17 1.092673e-15 2.499815e-03 16912 0
2813.6039 2917.7073 -1.834420e-15 9.763720e-16 -5.547132e-02 16912 0
2816.2507 2920.4520 -1.676956e-16 8.447707e-16 -5.689654e-03 16896 0
2818.8975 2923.1967 1.677528e-15 8.096341e-16 5.475621e-02 528 0
2821.5443 2925.9414 9.182613e-16 7.366420e-16 3.502873e-02 512 0
2824.1911 2928.6862 1.021000e-15 6.461167e-16 4.282514e-02 768 0
2826.8380 2931.4310 -1.030449e-16 5.221514e-16 -5.663732e-03 16896 0
2829.4848 2934.1758 3.639277e-16 4.879100e-16 2.182336e-02 512 0
2832.1317 2936.9206 -1.902875e-18 4.570642e-16 -1.355335e-04 16912 0
2834.7787 2939.6655 -3.045190e-17 3.620510e-16 -2.449144e-03 16896 0
2837.4256 2942.4104 4.512618e-16 3.453704e-16 3.633979e-02 528 0
2840.0726 2945.1553 2.250107e-16 4.973762e-16 2.195886e-02 512 0
2842.7196 2947.9002 6.561897e-17 2.543822e-16 7.431882e-03 16896 0
2845.3666 2950.6452 2.575709e-16 2.407289e-16 2.925731e-02 528 0
2848.0137 2953.3902 5.402882e-16 2.583373e-16 6.393309e-02 528 0
2850.6607 2956.1352 -8.754586e-17 1.960099e-16 -1.322447e-02 16896 0
2853.3078 2958.8802 -2.173721e-17 1.970772e-16 -3.564572e-03 16912 0
2855.9549 2961.6253 1.270227e-16 2.047333e-16 2.155366e-02 528 0
2858.6021 2964.3704 2.896525e-16 1.560063e-16 4.727636e-02 512 0
2861.2492 2967.1155 3.598175e-16 1.477530e-16 6.164568e-02 512 0
2863.8964 2969.8606 1.384427e-16 1.421654e-16 2.661909e-02 528 0
2866.5436 2972.6058 -4.133227e-16 4.056003e-16 -9.042521e-02 16912 0
2869.1909 2975.3509 3.338100e-16 1.570220e-16 6.482121e-02 512 0
2871.8381 2978.0962 2.264161e-16 1.431922e-16 4.584262e-02 16 0
2874.4854 2980.8414 -1.570366e-16 1.923590e-16 -3.769680e-02 16400 0
2877.1327 2983.5866 2.304091e-16 1.259884e-16 4.878826e-02 16 0
2879.7801 2986.3319 1.730647e-17 1.137950e-16 4.329979e-03 16384 0
2882.4274 2989.0772 1.921444e-16 1.157468e-16 4.243748e-02 0 0
2885.0748 2991.8225 2.762112e-16 1.147436e-16 6.103630e-02 0 0
2887.7222 2994.5679 -3.067776e-17 1.146843e-16 -8.015947e-03 16384 0
2890.3696 2997.3133 1.986306e-16 1.147243e-16 4.543276e-02 16 0
2893.0170 3000.0587 2.888749e-16 1.194188e-16 6.615958e-02 16 0
2895.6645 3002.8041 2.698535e-14 1.296430e-15 7.189890e+00 272 0
2898.3120 3005.5495 6.897065e-16 1.144497e-16 1.652460e-01 0 0
2900.9595 3008.2950 2.032155e-16 1.043170e-16 4.868995e-02 0 0
2903.6070 3011.0405 9.738779e-17 1.034535e-16 2.516786e-02 16 0
2906.2546 3013.7860 2.136108e-16 1.035994e-16 5.249072e-02 0 0
2908.9022 3016.5315 2.327058e-16 1.128771e-16 5.790708e-02 16 0
2911.5498 3019.2771 -2.164516e-16 1.764533e-16 -6.387487e-02 16400 0
