# obs_wvl flux error
1.593000000000000000e+03 1.390636814592498673e-17 2.769708125514263293e-15
1.594548197701840309e+03 1.201848681372916792e-15 1.954018548235473968e-15
1.596096395403680617e+03 2.199826547456721437e-15 1.782402810406828012e-15
1.597644593105520926e+03 3.631741987095125975e-15 1.573880129912093111e-15
1.599192790807361234e+03 1.261483203460159837e-15 1.397064692981836053e-15
1.600740988509201543e+03 -1.471216922985895555e-15 1.152634972540211049e-15
1.602289186211041851e+03 -2.825948870720990966e-16 1.090275676442979465e-15
1.603837383912882160e+03 7.079834774288276712e-16 1.007131048657675335e-15
1.605385581614722469e+03 1.498766906035082006e-15 9.426294873602802983e-16
1.606933779316562777e+03 -3.780513491887176004e-16 7.911340079777388650e-16
1.608481977018403086e+03 -9.994343988059106629e-16 7.065490054539334367e-16
1.610030174720243394e+03 -2.686213246150955089e-16 6.747180433819816003e-16
1.611578372422083703e+03 3.296238297634662407e-16 6.407802961912677054e-16
1.613126570123924012e+03 5.232175217315494926e-16 6.000465812033207162e-16
1.614674767825764320e+03 4.569249707723951398e-16 5.585900077687500892e-16
1.616222965527604629e+03 3.144254878720485334e-16 5.056398525857757998e-16
1.617771163229444937e+03 -3.493220626083549242e-16 4.487326594479190588e-16
1.619319360931285246e+03 -3.363391873663762878e-16 4.299799660469289544e-16
1.620867558633125554e+03 -7.146951946678595178e-16 3.735453256658619882e-16
1.622415756334965863e+03 -9.042110441006932072e-16 3.541789488118667226e-16
1.623963954036806172e+03 4.960980975573776007e-17 3.695864821033142420e-16
1.625512151738646480e+03 -3.570399592678924841e-17 3.365742713292699053e-16
1.627060349440486789e+03 -8.535386180212654947e-17 3.244608459812134908e-16
1.628608547142327097e+03 2.980263950746358967e-16 3.213149986282363375e-16
1.630156744844167406e+03 -8.070277536772281791e-17 2.891930766882959111e-16
1.631704942546007715e+03 -4.111457630609348273e-17 2.797015403503389537e-16
1.633253140247848023e+03 2.337683416919417238e-16 2.730270918850760239e-16
1.634801337949688332e+03 4.700344949425917292e-17 2.556354124287352290e-16
1.636349535651528640e+03 2.681246597740168954e-16 2.590635052658570932e-16
1.637897733353368949e+03 -3.521749489255136088e-17 2.316669011444406403e-16
1.639445931055209257e+03 5.789302283539178258e-17 2.341297205596188346e-16
1.640994128757049566e+03 -3.470555748187882308e-17 2.145038331804068387e-16
1.642542326458889875e+03 -1.350879338596719981e-16 2.062533394899919968e-16
1.644090524160730183e+03 -1.635797177095359164e-16 1.986663819984080121e-16
1.645638721862570492e+03 -1.329016522819075928e-16 1.974495780854639784e-16
1.647186919564410800e+03 -1.551917489776510765e-16 1.889851186878018986e-16
1.648735117266251109e+03 2.815503296948498658e-16 1.993329064497654372e-16
1.650283314968091418e+03 -1.519319261132933722e-16 1.715570083683722099e-16
1.651831512669931726e+03 -2.352095338496195887e-16 1.692897197883621647e-16
1.653379710371772035e+03 -1.143011578174924464e-16 1.672931173433502285e-16
1.654927908073612343e+03 -5.073715879880634931e-17 1.677418302521157111e-16
1.656476105775452652e+03 -9.223908954121877337e-17 1.603431298025960256e-16
1.658024303477292960e+03 1.386245019863420472e-16 1.662899029060051415e-16
1.659572501179133269e+03 3.260025438448508678e-16 1.697589096501366095e-16
1.661120698880973578e+03 1.277365111477366013e-16 1.567806288419770802e-16
1.662668896582813886e+03 -9.508258947290419044e-19 1.485746532737015050e-16
1.664217094284654195e+03 -5.396051623040568014e-17 1.435685459179265607e-16
1.665765291986494503e+03 -1.897336173114646034e-16 1.373036128286646207e-16
1.667313489688334812e+03 -4.792887196138986764e-17 1.409064659019213884e-16
1.668861687390175121e+03 -1.276639995783590550e-16 1.342508451815776938e-16
1.670409885092015429e+03 -1.043581209122771974e-16 1.321908817963895161e-16
1.671958082793855738e+03 4.276648831094298354e-17 1.374073208722582079e-16
1.673506280495696046e+03 3.721288066311239466e-17 1.324105505704639408e-16
1.675054478197536355e+03 -9.606435051435066682e-17 1.242304680301138270e-16
1.676602675899376663e+03 2.865811292194326564e-17 1.288644565773552111e-16
1.678150873601216972e+03 -1.132809062586916184e-16 1.208829563721756602e-16
1.679699071303057281e+03 7.573107799480556725e-18 1.246776255937778666e-16
1.681247269004897589e+03 1.807607670928532699e-16 1.298668211658363891e-16
1.682795466706737898e+03 6.207256542269787554e-17 1.213426387838571298e-16
1.684343664408578206e+03 1.876558321776231039e-16 1.261458329342862444e-16
1.685891862110418515e+03 2.679449355331736091e-17 1.162488587537768678e-16
1.687440059812258824e+03 3.193597867595936832e-17 1.165049863536114411e-16
1.688988257514099132e+03 2.595013779179265512e-16 1.258873483199921864e-16
1.690536455215939441e+03 4.968662458922284917e-17 1.119393535033098520e-16
1.692084652917779749e+03 -1.227790781798845671e-16 1.048168170551145106e-16
1.693632850619620058e+03 -1.850218502815820171e-17 1.094267507696098062e-16
1.695181048321460366e+03 -1.229369995526807424e-16 1.029943709702483280e-16
1.696729246023300675e+03 -1.368388721665332130e-16 1.019925184469738589e-16
1.698277443725140984e+03 -2.426244654342240192e-16 9.499668130701447468e-17
1.699825641426981292e+03 -7.162735538171396890e-18 1.050924980793418935e-16
1.701373839128821601e+03 -5.560424208392872191e-18 1.048950395936866834e-16
1.702922036830661909e+03 1.715624358801716859e-17 1.025734117325285136e-16
1.704470234532502218e+03 -1.188076136995269907e-16 9.446773894916828332e-17
1.706018432234342526e+03 8.272726152089139871e-17 1.047888809033751243e-16
1.707566629936182835e+03 1.028277158288097989e-16 1.042181705061529568e-16
1.709114827638023144e+03 2.888312499030056551e-17 1.004568590059404189e-16
1.710663025339863452e+03 -1.158876547840416594e-16 9.250278160516382029e-17
1.712211223041703761e+03 7.446478248795194463e-17 1.005340893899009977e-16
1.713759420743544069e+03 1.500647187628099969e-16 1.006297093800120015e-16
1.715307618445384378e+03 9.841489985588111389e-17 9.676795788273103213e-17
1.716855816147224687e+03 -1.959680594848413938e-18 9.145306412972693839e-17
1.718404013849064995e+03 -7.831417575970069605e-17 8.909251354651010022e-17
1.719952211550905304e+03 -7.101715368456332281e-17 8.862466898299066830e-17
1.721500409252745612e+03 -6.283117500800724666e-17 8.798886249530957718e-17
1.723048606954585921e+03 1.111530983986973135e-16 9.649665920201282463e-17
1.724596804656426229e+03 -3.674712561953091896e-17 8.742901903893737986e-17
1.726145002358266538e+03 3.190199576039839964e-17 8.953788040144776094e-17
1.727693200060106847e+03 -7.825737980751589746e-17 8.425307596462810239e-17
1.729241397761947155e+03 -1.562436904508325548e-16 8.248195727561274702e-17
1.730789595463787464e+03 2.363133798118238708e-17 8.589060949466698481e-17
1.732337793165627772e+03 -4.432530007788182069e-17 8.312324187469480037e-17
1.733885990867468081e+03 -3.923493345572445958e-18 8.559521468663681292e-17
1.735434188569308390e+03 6.994768873456288418e-17 8.846898450013845622e-17
1.736982386271148698e+03 3.374761868901989678e-17 8.483914565480396131e-17
1.738530583972989007e+03 1.422920268630807512e-16 9.046473569418454848e-17
1.740078781674829315e+03 4.867827778651024928e-19 8.110649676054009404e-17
1.741626979376669624e+03 -7.770242294408456517e-18 8.176755134165947921e-17
1.743175177078509932e+03 -6.123035000213700900e-17 7.914388612464950229e-17
1.744723374780350241e+03 -6.862495416487791394e-17 7.746745090427203978e-17
