# SN2001EH o6gl30040 G230L MAMA z=0.037 a2center=491.6 extrsize=11 exptime=2703.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1530.6839 1587.3192 -4.843589e-15 8.460975e-15 -1.778453e-03 2564 0
1532.1724 1588.8628 6.924398e-15 8.313006e-15 3.055065e-03 2564 0
1533.6609 1590.4063 -3.070801e-15 3.666147e-15 -1.582786e-03 2564 0
1535.1494 1591.9499 1.015945e-15 4.582359e-15 5.993001e-04 2564 0
1536.6379 1593.4935 -1.961206e-15 3.836334e-15 -1.309692e-03 2048 0
1538.1264 1595.0371 4.930790e-15 3.946409e-15 3.747746e-03 0 0
1539.6149 1596.5807 -9.892082e-16 3.216313e-15 -8.462181e-04 0 0
1541.1035 1598.1243 4.508261e-15 2.916480e-15 4.355001e-03 0 0
1542.5920 1599.6679 4.341073e-15 3.004959e-15 4.684281e-03 0 0
1544.0806 1601.2115 -2.733517e-15 2.171771e-15 -3.297894e-03 0 0
1545.5691 1602.7552 6.895922e-16 2.169946e-15 9.212247e-04 0 0
1547.0577 1604.2988 -1.907067e-15 1.756578e-15 -2.821034e-03 0 0
1548.5463 1605.8425 2.146137e-15 1.842813e-15 3.485943e-03 0 0
1550.0349 1607.3861 -9.181716e-16 1.523159e-15 -1.637665e-03 0 0
1551.5234 1608.9298 -1.078121e-15 1.364472e-15 -2.096187e-03 0 0
1553.0121 1610.4735 -1.084319e-15 1.249747e-15 -2.298711e-03 0 0
1554.5007 1612.0172 -3.449023e-17 1.208412e-15 -7.921064e-05 0 0
1555.9893 1613.5609 4.539326e-16 1.142750e-15 1.129485e-03 0 0
1557.4779 1615.1046 5.771202e-16 1.080627e-15 1.546956e-03 0 0
1558.9666 1616.6483 3.279907e-16 9.614931e-16 9.467495e-04 0 0
1560.4552 1618.1920 4.502139e-16 9.253228e-16 1.392561e-03 0 0
1561.9439 1619.7358 5.317176e-16 8.849512e-16 1.760724e-03 0 0
1563.4325 1621.2795 2.728019e-16 7.877404e-16 9.631112e-04 0 0
1564.9212 1622.8233 -4.973748e-16 7.215393e-16 -1.869430e-03 0 0
1566.4099 1624.3670 7.315993e-17 6.947357e-16 2.917421e-04 0 0
1567.8986 1625.9108 -2.298571e-16 6.357479e-16 -9.707504e-04 0 0
1569.3873 1627.4546 -1.865880e-16 6.135935e-16 -8.321586e-04 0 0
1570.8760 1628.9984 4.566356e-16 6.163970e-16 2.146407e-03 0 0
1572.3647 1630.5422 3.053203e-16 5.772027e-16 1.508916e-03 0 0
1573.8534 1632.0860 2.767538e-16 5.546041e-16 1.435137e-03 0 0
1575.3421 1633.6298 4.131352e-16 5.315768e-16 2.243308e-03 0 0
1576.8309 1635.1736 -8.720965e-17 4.842322e-16 -4.948754e-04 0 0
1578.3196 1636.7174 6.869069e-16 5.149578e-16 4.066295e-03 0 0
1579.8084 1638.2613 -4.409272e-16 4.169980e-16 -2.717776e-03 0 0
1581.2971 1639.8051 -1.492027e-16 4.270419e-16 -9.561093e-04 0 0
1582.7859 1641.3490 9.466116e-18 4.096887e-16 6.295451e-05 0 0
1584.2747 1642.8929 -6.315372e-17 3.973299e-16 -4.353134e-04 0 0
1585.7635 1644.4367 -1.410114e-16 3.722778e-16 -1.005822e-03 0 0
1587.2523 1645.9806 3.180426e-18 3.812116e-16 2.344830e-05 0 0
1588.7411 1647.5245 -1.172202e-16 3.570653e-16 -8.920574e-04 0 0
1590.2299 1649.0684 3.762731e-16 3.768705e-16 2.952679e-03 0 0
1591.7187 1650.6123 -6.146166e-16 2.957114e-16 -4.967192e-03 0 0
1593.2076 1652.1563 -4.162672e-16 3.012371e-16 -3.461329e-03 0 0
1594.6964 1653.7002 2.860464e-16 3.422247e-16 2.444641e-03 0 0
1596.1853 1655.2441 -2.258694e-16 2.989590e-16 -1.982423e-03 0 0
1597.6741 1656.7881 -9.299245e-17 3.022341e-16 -8.373834e-04 0 0
1599.1630 1658.3320 8.086334e-16 3.469118e-16 7.465262e-03 0 0
1600.6519 1659.8760 5.084190e-16 3.241406e-16 4.807818e-03 0 0
1602.1408 1661.4200 -1.703283e-16 2.695235e-16 -1.648733e-03 0 0
1603.6297 1662.9640 1.690740e-16 2.854153e-16 1.673908e-03 0 0
