# obs_wvl flux error
2.977000000000000000e+03 1.294368913349351121e-15 6.587114896832138098e-16
2.982495593675610507e+03 5.421343816838652106e-16 4.476315363502306530e-16
2.987991187351221015e+03 6.574100484592673431e-16 4.259860091582428396e-16
2.993486781026831522e+03 4.869905503462455965e-16 4.122008051360144364e-16
2.998982374702442030e+03 9.292674616815170074e-15 4.836897214507461949e-16
3.004477968378052537e+03 3.021965250864587040e-14 1.014326526482784660e-15
3.009973562053663045e+03 9.247719037495232218e-16 3.856036538985830629e-16
3.015469155729273552e+03 1.147655815666235988e-15 3.814569098175016683e-16
3.020964749404884060e+03 8.226345105961851736e-16 3.631452032175846307e-16
3.026460343080494567e+03 9.846975892142318700e-16 3.509760960878891811e-16
3.031955936756105075e+03 1.251830185975383553e-15 3.462999587077716685e-16
3.037451530431715582e+03 9.483801038644593995e-16 3.276917039194450987e-16
3.042947124107326090e+03 7.191594819720628554e-16 3.157463067717072211e-16
3.048442717782936597e+03 6.964026077398181128e-16 3.200819272402168277e-16
3.053938311458547105e+03 3.627582124631726974e-16 2.939910558708582414e-16
3.059433905134157612e+03 1.022544979047546636e-15 2.958726114158957097e-16
3.064929498809768120e+03 1.237294052824275766e-15 3.746132865031986999e-16
3.070425092485378627e+03 4.019226759492056531e-16 2.678671488824911836e-16
3.075920686160989135e+03 7.352341932927045829e-16 2.653647353147510858e-16
3.081416279836599642e+03 8.123151771224735888e-16 2.606213247087095518e-16
3.086911873512210150e+03 8.068922776070982875e-16 2.566628410789138138e-16
3.092407467187820657e+03 1.434173099842122679e-16 2.500108863385692911e-16
3.097903060863431165e+03 -3.154878700618865214e-17 2.463806431539396134e-16
3.103398654539041672e+03 2.911724271365157846e-16 2.439156498780496197e-16
3.108894248214652180e+03 -2.944150364224223299e-17 2.397436642641056392e-16
3.114389841890262687e+03 -3.867409296710860028e-17 2.418444598409752428e-16
3.119885435565873195e+03 2.552451657230427470e-17 2.357683780522413169e-16
3.125381029241483702e+03 6.521312631416790613e-16 2.349484238878956862e-16
3.130876622917094210e+03 1.908830738070498746e-16 2.339232480798085447e-16
3.136372216592704717e+03 -3.372223058349614574e-16 2.535142251076802335e-16
3.141867810268315225e+03 -6.773202708984822543e-17 2.244099203352836308e-16
3.147363403943925732e+03 5.773471121694973868e-16 2.260020353551293556e-16
3.152858997619536240e+03 1.146319458421292465e-15 2.413669428512397005e-16
3.158354591295146747e+03 3.088387706536966197e-16 2.282616383975949646e-16
3.163850184970757255e+03 4.495490767705275478e-16 2.166830487060686527e-16
3.169345778646367762e+03 6.881545105822780803e-16 2.154414187408767469e-16
3.174841372321978270e+03 5.115203085572621716e-16 2.115788813996943271e-16
3.180336965997588777e+03 7.684054270391421653e-16 2.091437614408351369e-16
3.185832559673199285e+03 7.341559591400363198e-16 2.047615748722936851e-16
3.191328153348809792e+03 7.217407903836511862e-16 2.193617351242480943e-16
3.196823747024420300e+03 7.078030784229806912e-16 2.034656994047896470e-16
3.202319340700030807e+03 6.604925543857264806e-16 2.005226200241274577e-16
3.207814934375641315e+03 6.918365297420375046e-16 1.959958788657453277e-16
3.213310528051251822e+03 8.471539507668987699e-16 1.926629594194122709e-16
3.218806121726862330e+03 6.941487062738302898e-16 1.881915539340552499e-16
3.224301715402472837e+03 8.358810990828289807e-16 1.860951251432499882e-16
3.229797309078083345e+03 4.873266903001281237e-16 1.847381092427930905e-16
3.235292902753693852e+03 6.581884372378612623e-16 1.962369783565514440e-16
3.240788496429304359e+03 4.201785143055927411e-16 1.792479818713842534e-16
3.246284090104914867e+03 4.392534789547948515e-16 1.816621830317692913e-16
3.251779683780525374e+03 3.600605347937505707e-16 1.745536667375512196e-16
3.257275277456135882e+03 6.294969792099176667e-16 1.763421177578438562e-16
3.262770871131746389e+03 4.384682156941824893e-16 1.746633837495708541e-16
3.268266464807356897e+03 1.582148061511615056e-16 1.847627736410371943e-16
3.273762058482967404e+03 3.590821472650906006e-16 1.708348634971714298e-16
3.279257652158577912e+03 2.807681696246529889e-16 1.680485605775153580e-16
3.284753245834188419e+03 5.130578307764820948e-16 1.719067074881861601e-16
3.290248839509798927e+03 6.152597699484409434e-16 1.678822270681867817e-16
3.295744433185409434e+03 4.894389220023553002e-16 1.644420804116859083e-16
3.301240026861019942e+03 2.539878041502634010e-16 1.616734193423156170e-16
3.306735620536630449e+03 7.232800390542020053e-16 1.640721458360219980e-16
3.312231214212240957e+03 6.065425139950464584e-16 1.631817744356602946e-16
3.317726807887851464e+03 2.888936297217745606e-16 1.634031887945850826e-16
3.323222401563461972e+03 4.139969805034618998e-16 1.586050679525296424e-16
3.328717995239072479e+03 5.664662887211473043e-16 1.572421816322867464e-16
3.334213588914682987e+03 5.960274071519216506e-16 1.572740437335327764e-16
3.339709182590293494e+03 4.729000154161334460e-16 1.644835625510149316e-16
3.345204776265904002e+03 6.044436075703220763e-16 1.546172951866588670e-16
3.350700369941514509e+03 4.953510563934813346e-16 1.581139252201410801e-16
3.356195963617125017e+03 3.874619415041332509e-16 1.589251474189525163e-16
3.361691557292735524e+03 5.577384756614805227e-16 1.509408923619238568e-16
3.367187150968346032e+03 3.256678893223804730e-16 1.472700415122610898e-16
3.372682744643956539e+03 6.744562714997593768e-16 1.495067723088505491e-16
3.378178338319567047e+03 4.137193140720805390e-16 1.476056719686145789e-16
3.383673931995177554e+03 4.830143839922990540e-16 1.454622787055443698e-16
3.389169525670788062e+03 5.493186011005733516e-16 1.565247951617546485e-16
3.394665119346398569e+03 7.902860844192974822e-16 1.544702638845481656e-16
3.400160713022009077e+03 7.192088371682169539e-16 1.528298355285619915e-16
3.405656306697619584e+03 4.589099920102560179e-16 1.407046595727977240e-16
3.411151900373230092e+03 5.851125532153503001e-16 1.866583079246006045e-16
3.416647494048840599e+03 6.002724889340930530e-16 1.392038476487567299e-16
3.422143087724451107e+03 7.699803751170346859e-16 1.436331730604521215e-16
3.427638681400061614e+03 5.323686472952780303e-16 1.380505257212557466e-16
3.433134275075672122e+03 6.367169372721462834e-16 1.444187663214570059e-16
3.438629868751282629e+03 5.239427699371915693e-16 1.388504588185135254e-16
3.444125462426893137e+03 6.223935490518104853e-16 1.742545849132914506e-16
3.449621056102503644e+03 7.735761237470295910e-16 1.472619689127287087e-16
3.455116649778114152e+03 7.966949739720456354e-16 1.360008940081014367e-16
3.460612243453724659e+03 6.196968465154766105e-16 1.362707909303510458e-16
3.466107837129335167e+03 7.250027545187468694e-16 1.325191592941241412e-16
3.471603430804945674e+03 1.015952534182779751e-15 1.335688537855274882e-16
3.477099024480556182e+03 1.164408110272773771e-15 1.356246186163652415e-16
3.482594618156166689e+03 1.157722103118921355e-15 1.413731529673254325e-16
3.488090211831777196e+03 8.291055915659503116e-16 1.325912501009903899e-16
3.493585805507387704e+03 7.133536371868224977e-16 1.347082184226632019e-16
3.499081399182998211e+03 1.159367280665210745e-15 1.397421121680803085e-16
3.504576992858608719e+03 1.114541043002780470e-15 1.392747009575492792e-16
3.510072586534219226e+03 1.163595991180305664e-15 1.361949314827892045e-16
3.515568180209829734e+03 1.296676009941187391e-15 1.696514163738409533e-16
3.521063773885440241e+03 9.462859559026481529e-16 1.315512276476848576e-16
3.526559367561050749e+03 7.687656162932436458e-16 1.311233894195544003e-16
3.532054961236661256e+03 1.236666471331690768e-15 1.297552781706226606e-16
3.537550554912271764e+03 1.278424597055555505e-15 1.292379445782012321e-16
3.543046148587882271e+03 1.321728117270892731e-15 1.291368350621329449e-16
3.548541742263492779e+03 1.217806441432697831e-15 1.308314342778940438e-16
3.554037335939103286e+03 1.149599738388867989e-15 1.290337577932390855e-16
3.559532929614713794e+03 1.125739145489560356e-15 1.281717909343870001e-16
3.565028523290324301e+03 1.256813842638738055e-15 1.272038796359879920e-16
3.570524116965934809e+03 1.357131262968233119e-15 1.275277871952512019e-16
3.576019710641545316e+03 1.375472744439030304e-15 1.270308299494804737e-16
3.581515304317155824e+03 1.418107373179840488e-15 1.269794551645728710e-16
