# SN2001EP o6gl35020 G140L MAMA z=0.013 a2center=511.5 extrsize=11 exptime=1630.0 mode=fixed flags=low_detect,center_mismatch(511vs469)
# rest_wvl obs_wvl flux error net dq mask
1105.0893 1119.4554 0.000000e+00 0.000000e+00 1.381912e-03 2564 0
1105.6660 1120.0397 0.000000e+00 0.000000e+00 -6.948484e-05 2564 0
1106.2428 1120.6239 0.000000e+00 0.000000e+00 -6.948486e-05 2564 0
1106.8195 1121.2082 0.000000e+00 0.000000e+00 -6.948489e-05 2564 0
1107.3963 1121.7924 0.000000e+00 0.000000e+00 -1.068489e-06 2560 0
1107.9730 1122.3767 0.000000e+00 0.000000e+00 -1.632288e-07 512 0
1108.5498 1122.9609 0.000000e+00 0.000000e+00 -2.568413e-07 512 0
1109.1265 1123.5452 0.000000e+00 0.000000e+00 4.084359e-07 512 0
1109.7033 1124.1294 0.000000e+00 0.000000e+00 -1.276457e-04 528 0
1110.2800 1124.7137 0.000000e+00 0.000000e+00 1.854787e-06 512 0
1110.8568 1125.2979 0.000000e+00 0.000000e+00 -1.314229e-04 512 0
1111.4335 1125.8822 0.000000e+00 0.000000e+00 -1.330448e-04 512 0
1112.0103 1126.4664 0.000000e+00 0.000000e+00 3.522829e-04 528 0
1112.5870 1127.0507 0.000000e+00 0.000000e+00 -1.390605e-04 512 0
1113.1638 1127.6349 0.000000e+00 0.000000e+00 -1.370265e-04 512 0
1113.7405 1128.2191 0.000000e+00 0.000000e+00 4.733559e-04 512 0
1114.3173 1128.8034 0.000000e+00 0.000000e+00 1.058028e-03 512 0
1114.8940 1129.3876 0.000000e+00 0.000000e+00 -2.222303e-04 528 0
1115.4707 1129.9719 0.000000e+00 0.000000e+00 -1.445089e-04 512 0
1116.0475 1130.5561 0.000000e+00 0.000000e+00 -1.436786e-04 512 0
1116.6242 1131.1403 0.000000e+00 0.000000e+00 4.639000e-04 512 0
1117.2010 1131.7246 0.000000e+00 0.000000e+00 -1.454365e-04 512 0
1117.7777 1132.3088 0.000000e+00 0.000000e+00 -1.479422e-04 512 0
1118.3544 1132.8930 0.000000e+00 0.000000e+00 -1.481416e-04 512 0
1118.9312 1133.4773 0.000000e+00 0.000000e+00 -1.500697e-04 512 0
1119.5079 1134.0615 0.000000e+00 0.000000e+00 -1.510918e-04 512 0
1120.0846 1134.6457 0.000000e+00 0.000000e+00 -1.527514e-04 512 0
1120.6614 1135.2300 0.000000e+00 0.000000e+00 -1.533682e-04 512 0
1121.2381 1135.8142 0.000000e+00 0.000000e+00 3.888611e-05 512 0
1121.8148 1136.3984 0.000000e+00 0.000000e+00 -1.553909e-04 512 0
1122.3915 1136.9826 0.000000e+00 0.000000e+00 4.498089e-04 512 0
1122.9683 1137.5669 0.000000e+00 0.000000e+00 -1.584313e-04 512 0
1123.5450 1138.1511 0.000000e+00 0.000000e+00 -1.595696e-04 512 0
1124.1217 1138.7353 -3.092988e-15 2.604767e-18 -1.615500e-04 0 0
1124.6984 1139.3195 -1.470422e-15 1.236156e-18 -1.631072e-04 0 0
1125.2752 1139.9037 -9.534592e-16 7.746915e-19 -1.618114e-04 0 0
1125.8519 1140.4880 -7.239953e-16 6.046522e-19 -1.656585e-04 0 0
1126.4286 1141.0722 -5.632017e-16 4.427648e-19 -1.623298e-04 0 0
