# obs_wvl flux error
1.591000000000000000e+03 -2.670330658525489620e-15 4.535620875189758094e-15
1.594096305581311299e+03 3.204550942838759163e-15 2.944077239702595111e-15
1.597192611162622597e+03 3.612831012709734638e-15 2.234268919333506916e-15
1.600288916743933896e+03 -5.867612836529520228e-16 1.618649591033124051e-15
1.603385222325245195e+03 -1.460659423410983534e-15 1.270975413349378995e-15
1.606481527906556494e+03 -4.120499500364470198e-16 1.100288776418792569e-15
1.609577833487867792e+03 9.208626098679094196e-17 9.306429104551507928e-16
1.612674139069179091e+03 -3.197815492973450341e-16 7.747742489341261400e-16
1.615770444650490390e+03 -1.699863571538725974e-15 5.735348418341296973e-16
1.618866750231801689e+03 -4.565943866794696712e-16 5.649983449150385097e-16
1.621963055813112987e+03 -2.543561160240737764e-17 5.200874567611166878e-16
1.625059361394424286e+03 -6.810339652254017398e-16 4.239993180042953196e-16
1.628155666975735585e+03 9.860963682642079202e-17 4.164969376655771438e-16
1.631251972557046884e+03 3.027229242604253319e-16 3.793825270805255824e-16
1.634348278138358182e+03 -4.753480800925604384e-17 3.354990355819877582e-16
1.637444583719669481e+03 -2.681984898945084664e-16 2.942467668527716147e-16
1.640540889300980780e+03 -7.165850781363950693e-16 2.433781258091112259e-16
1.643637194882292079e+03 -1.970387771565775560e-16 2.508253364125140505e-16
1.646733500463603377e+03 -6.305077898400847970e-17 2.404633083246313224e-16
1.649829806044914676e+03 1.898350175748114061e-16 2.367815618637239618e-16
1.652926111626225975e+03 3.652419566489601782e-16 2.314583544800439970e-16
1.656022417207537273e+03 -8.153839782269175721e-17 1.998270614379739392e-16
1.659118722788848572e+03 1.175465139747323154e-16 1.993003669612799972e-16
1.662215028370159871e+03 3.814570498414658569e-16 2.000879632852558703e-16
1.665311333951471170e+03 2.346003989768762380e-17 1.748377564684961858e-16
1.668407639532782468e+03 -9.401486710605204376e-17 1.643518597984150598e-16
1.671503945114093767e+03 1.289617417870025769e-16 1.671754549767607659e-16
1.674600250695405066e+03 7.938295665458472474e-17 1.569369233845447081e-16
1.677696556276716365e+03 5.554580352232641195e-17 1.524707242364243628e-16
1.680792861858027663e+03 -1.390448218446123451e-16 1.335859599163172211e-16
1.683889167439338962e+03 8.959847167867176940e-17 1.431422483992788354e-16
1.686985473020650261e+03 -2.563815967043902370e-16 1.205879421629481380e-16
1.690081778601961560e+03 -1.158720965869194749e-16 1.242573616458520573e-16
1.693178084183272858e+03 -1.474354895418708378e-16 1.190965470468973352e-16
1.696274389764584157e+03 -6.463407022243400890e-17 1.179283661649739079e-16
1.699370695345895456e+03 1.197649223858754053e-17 1.195568773212286467e-16
1.702467000927206755e+03 -1.759874956343228650e-16 1.052990972880175638e-16
1.705563306508518053e+03 -4.784727401405637349e-17 1.110949857509064025e-16
1.708659612089829352e+03 1.486037651947140702e-16 1.151887024780827975e-16
1.711755917671140651e+03 1.406107992055086839e-16 1.107481784531639748e-16
1.714852223252451950e+03 -3.617182207883302619e-17 9.914397792101799227e-17
1.717948528833763248e+03 -1.028584080207646405e-16 9.453281741927743174e-17
1.721044834415074547e+03 -4.631863846972748114e-17 9.553298598806615761e-17
1.724141139996385846e+03 -3.777570950878119205e-17 9.385538267068583779e-17
1.727237445577697144e+03 -7.175705409679526627e-17 8.961425785384278331e-17
1.730333751159008443e+03 3.642478439770211978e-17 9.254013932448873876e-17
1.733430056740319742e+03 -1.100715212416606534e-17 8.895890500097585287e-17
1.736526362321631041e+03 1.127580118373735826e-17 8.830971643323049843e-17
1.739622667902942339e+03 2.060214085067048489e-17 8.537151162282338613e-17
1.742718973484253638e+03 3.466053904873207273e-17 8.536429902074647797e-17
1.745815279065564937e+03 9.165787153817818132e-18 8.076534510617747696e-17
1.748911584646876236e+03 9.544022159577945391e-17 8.476873257879941574e-17
1.752007890228187534e+03 4.334244939799455137e-17 8.043357566337756983e-17
1.755104195809498833e+03 -6.932546436016092251e-17 7.246137242149288068e-17
1.758200501390810132e+03 3.910595209646347081e-17 7.696816416002159237e-17
1.761296806972121431e+03 -8.061805882383696999e-17 6.788873829188832930e-17
1.764393112553432729e+03 -1.952735099560612241e-17 7.098795852607316053e-17
1.767489418134744028e+03 1.290159350070120034e-16 7.794357060903685815e-17
1.770585723716055327e+03 3.779471462245514130e-17 7.136987458651972692e-17
1.773682029297366626e+03 8.033745885631745045e-17 7.086152976245512503e-17
1.776778334878677924e+03 -6.883435629407755955e-17 6.329721721260512479e-17
1.779874640459989223e+03 -5.362935613361916501e-18 6.526750571460302871e-17
1.782970946041300522e+03 2.843914950690393926e-17 6.676727107649832350e-17
1.786067251622611820e+03 -1.340874293424706531e-17 6.226233689661670997e-17
1.789163557203923119e+03 -3.119867803938254507e-17 6.102190498917794335e-17
1.792259862785234418e+03 7.575689038915786929e-18 6.255110095283968354e-17
1.795356168366545717e+03 -4.080007857026277883e-17 5.675304691827655562e-17
1.798452473947857015e+03 2.042117481931920455e-17 5.979097219361966614e-17
1.801548779529168314e+03 -3.120147670292034066e-17 5.653024971477255637e-17
1.804645085110479613e+03 1.555802194091433206e-17 5.796636914557369329e-17
1.807741390691790912e+03 -4.594218940706413358e-17 5.202265072602572083e-17
1.810837696273102210e+03 3.870305145562326760e-17 5.688113947560846396e-17
1.813934001854413509e+03 2.000955231986804453e-17 5.500230727388159177e-17
1.817030307435724808e+03 -5.333627973692740431e-17 5.043929674929396391e-17
1.820126613017036107e+03 -4.542918592311805301e-17 4.988164363834014338e-17
1.823222918598347405e+03 -4.332344247948145379e-17 4.895417923482083320e-17
1.826319224179658704e+03 -3.335663441074876970e-17 4.911274561089151554e-17
1.829415529760970003e+03 -5.834774411879729362e-17 4.667337439687941930e-17
1.832511835342281302e+03 -1.630860204078420299e-17 4.892949132284567775e-17
1.835608140923592600e+03 -1.572670161039926841e-17 4.867196018743228085e-17
1.838704446504903899e+03 7.419475692849376489e-17 5.164032112804160195e-17
1.841800752086215198e+03 5.666950048038796195e-17 4.948179624073399855e-17
1.844897057667526497e+03 2.069518329026927223e-17 4.866763406696193114e-17
1.847993363248837795e+03 -4.039762316077970190e-17 4.438840053258847339e-17
1.851089668830149094e+03 2.705968005024474036e-17 4.685349083381946853e-17
1.854185974411460393e+03 3.762975049709153779e-17 4.667508846644903005e-17
1.857282279992771691e+03 8.682460131800656078e-18 4.493521254879849376e-17
1.860378585574082990e+03 5.472725003598587287e-18 4.346986252507326662e-17
1.863474891155394289e+03 -1.804247965269026446e-17 4.227978602841653517e-17
1.866571196736705588e+03 2.543297893922159799e-17 4.422668901454291248e-17
1.869667502318016886e+03 -2.832762053177781652e-17 4.032014554850788621e-17
