# obs_wvl flux error
1.138000000000000000e+03 -1.458760273925091359e-14 4.752379524668609795e-18
1.138583782211484959e+03 -1.483511696596207041e-14 6.628048404287806695e-16
1.139167564422969917e+03 4.723602395772176933e-16 2.070755878901578341e-15
1.139751346634454876e+03 1.895743060017794096e-15 9.650138438113648729e-16
1.140335128845939835e+03 -8.356058937895893135e-16 4.629723889246555624e-19
1.140918911057424793e+03 4.127040219796003888e-16 6.961099670579209593e-16
1.141502693268909752e+03 -1.034020306241433889e-16 3.880725210820406197e-16
1.142086475480394711e+03 2.243922578574926536e-16 4.836100287202094351e-16
1.142670257691879669e+03 1.144073798211500696e-16 3.235132677217012799e-16
1.143254039903364628e+03 -2.722478354286354927e-16 1.483576026372937314e-19
1.143837822114849587e+03 -5.290061280811141871e-16 1.484702405610672498e-19
1.144421604326334545e+03 -3.733909615794949861e-16 4.789862601739136454e-17
1.145005386537819504e+03 7.897904397335457918e-17 1.726151343966538581e-16
1.145589168749304463e+03 1.237910216971844651e-16 1.606198930047366062e-16
1.146172950960789422e+03 -2.876808673343561351e-16 7.856127971757250008e-20
1.146756733172274380e+03 -1.812673641063782100e-16 3.820408462653434674e-17
1.147340515383759339e+03 2.321924155087899023e-17 1.007074492232345429e-16
1.147924297595244298e+03 1.113956929793871554e-17 8.971432374457069476e-17
1.148508079806729256e+03 -1.931681977556987561e-16 5.183475801234618119e-20
1.149091862018214215e+03 -1.225833066459817311e-16 2.741315621740522269e-17
1.149675644229699174e+03 7.043704798626697023e-17 8.216838595858215412e-17
1.150259426441184132e+03 -7.623650726684562179e-18 4.733757898420329397e-17
1.150843208652669091e+03 -1.025800684277986945e-16 2.166156523365515717e-17
1.151426990864154050e+03 1.315298852388240502e-16 8.828575660527026403e-17
1.152010773075639008e+03 -1.010745884749538420e-16 1.588743011927279976e-17
1.152594555287123967e+03 -6.625374975580884712e-18 4.368665064976770560e-17
1.153178337498608926e+03 -1.556432549855978837e-17 3.069549423966964441e-17
1.153762119710093884e+03 -4.420670655050547728e-17 2.169919476315075474e-20
1.154345901921578843e+03 -4.192710734711030819e-17 2.065041680551091016e-20
1.154929684133063802e+03 -4.002094719760417129e-17 1.954120216585050200e-20
1.155513466344548760e+03 -5.936594189263218241e-17 1.456368380482358214e-20
1.156097248556033719e+03 -8.685352987320227148e-17 2.134865663109988031e-20
1.156681030767518678e+03 -6.182474724078941040e-17 1.189094559305704816e-17
1.157264812979003636e+03 3.271013697621725060e-17 3.816420793396535788e-17
1.157848595190488595e+03 3.585181182081828429e-17 3.944832607628434047e-17
1.158432377401973554e+03 -5.676050616251716652e-17 9.988623120410343916e-18
1.159016159613458512e+03 -2.164135920247183124e-17 1.404318403037488370e-17
1.159599941824943471e+03 -3.136365751984847424e-17 1.457216048235690066e-20
1.160183724036428430e+03 -4.559596000864254222e-17 1.127160167062134258e-17
1.160767506247913389e+03 1.082525457212505217e-17 2.681166281012398270e-17
1.161351288459398347e+03 -1.274752081118010716e-17 2.020448992488002630e-17
1.161935070670883306e+03 -2.000830550871241835e-17 1.253335596379494813e-17
1.162518852882368265e+03 -2.826288915836284529e-17 1.303433853497721494e-20
1.163102635093853223e+03 7.044400236898716265e-18 2.569686745148115977e-17
1.163686417305338182e+03 -3.879781771738828712e-17 1.002203010238427577e-17
1.164270199516823141e+03 -5.117014438573263737e-18 1.670688051936737911e-17
1.164853981728308099e+03 -2.626417514417356017e-17 1.203562631835561653e-20
1.165437763939793058e+03 -2.576522770126203681e-17 1.175597995915510396e-20
1.166021546151278017e+03 -2.558277256121984434e-17 1.187814609290933764e-20
1.166605328362762975e+03 -2.531526192082690864e-17 1.178302723431246337e-20
1.167189110574247934e+03 -2.486234185838222516e-17 1.133395429885189062e-20
1.167772892785732893e+03 3.656127671223994163e-18 2.212728651941989019e-17
1.168356674997217851e+03 1.075836319501960998e-17 2.582466794819243328e-17
1.168940457208702810e+03 1.656373308079952657e-17 2.508153748061631895e-17
1.169524239420187769e+03 9.348494091464795651e-18 1.913862987877437804e-17
1.170108021631672727e+03 -2.336384367928306361e-17 1.060744965107045191e-20
1.170691803843157686e+03 -1.490798434805942101e-17 1.980117209520146625e-17
1.171275586054642645e+03 -1.436085360965184066e-17 1.398379499631770709e-17
1.171859368266127603e+03 3.034267498388277304e-17 2.622867230720717883e-17
1.172443150477612562e+03 8.760931268607015748e-19 1.664205697577839224e-17
1.173026932689097521e+03 3.002631676766167675e-17 2.720512615100906677e-17
1.173610714900582479e+03 7.648378980255706252e-18 2.129309751255314362e-17
1.174194497112067438e+03 -1.880505175807991885e-17 9.745215589799648828e-18
1.174778279323552397e+03 5.619656611413043438e-18 1.785347612877879790e-17
1.175362061535037355e+03 -4.264319211763686927e-18 1.261343263107071521e-17
1.175945843746522314e+03 2.610682404637008010e-17 2.382812384033206698e-17
1.176529625958007273e+03 1.492215027647350701e-17 1.844772511350936764e-17
1.177113408169492232e+03 1.206017431191370368e-18 1.681626148499428935e-17
1.177697190380977190e+03 6.059755841800456463e-19 1.870571411156532208e-17
1.178280972592462149e+03 -3.857508118537831506e-17 3.627039840386333875e-18
1.178864754803947108e+03 9.409224705197834947e-18 2.044820389779762157e-17
1.179448537015432066e+03 2.490783410597007167e-18 1.616609995345496848e-17
1.180032319226917025e+03 -2.818450974230910460e-17 6.263940729897985254e-21
1.180616101438401984e+03 -1.835949073700247458e-17 7.848769718875109958e-21
1.181199883649886942e+03 4.331843657823062460e-18 1.613752121332782083e-17
1.181783665861371901e+03 1.063904141001251102e-17 1.753522337676895246e-17
1.182367448072856860e+03 -7.467357544917360130e-18 1.046000216412373968e-17
1.182951230284341818e+03 -1.762048401939548086e-17 7.442834491615987269e-21
1.183535012495826777e+03 2.449676844298834318e-19 1.590212611426691883e-17
1.184118794707311736e+03 -1.832895272250654696e-18 1.322096515017483358e-17
1.184702576918796694e+03 -1.712274770391890745e-17 7.276198505695557743e-21
1.185286359130281653e+03 -1.246425183527876898e-17 7.525498961805187918e-18
1.185870141341766612e+03 7.982568640061737731e-18 1.616157044968019153e-17
1.186453923553251570e+03 7.062313144243377506e-19 1.216316265762852432e-17
1.187037705764736529e+03 2.272837908002410961e-18 1.345349662335671685e-17
1.187621487976221488e+03 -4.107134184070933019e-18 1.008410162799264045e-17
1.188205270187706446e+03 -1.163390807599558410e-17 7.138778323232964913e-18
1.188789052399191405e+03 1.601292713961813394e-17 1.703167658486047463e-17
1.189372834610676364e+03 -1.864398138593351044e-17 5.348927611433941193e-18
1.189956616822161322e+03 3.613647659080868637e-18 1.285231934607855977e-17
1.190540399033646281e+03 8.703278117131019862e-18 1.476130652805646295e-17
1.191124181245131240e+03 -2.249257600771172797e-18 1.008350438193665376e-17
1.191707963456616199e+03 -6.169050041088375998e-18 1.099073873575365156e-17
1.192291745668101157e+03 6.233689964056255887e-18 1.290934791607966034e-17
1.192875527879586116e+03 -5.471100031855585508e-18 7.860757115184637603e-18
1.193459310091071075e+03 -9.393969419521846147e-18 6.441832323431956227e-18
1.194043092302556033e+03 7.215666023178923267e-18 1.330250228720027283e-17
1.194626874514040992e+03 3.070948725978575044e-17 1.936656042296024909e-17
1.195210656725525951e+03 7.454906681631654493e-18 1.449248751857489603e-17
1.195794438937010909e+03 1.446245209362831409e-17 1.543533256300654251e-17
1.196378221148495868e+03 1.744925815317466324e-17 1.501178172800977482e-17
1.196962003359980827e+03 1.073077851728979922e-17 1.581955585634806716e-17
1.197545785571465785e+03 3.243408030637668555e-17 2.180715917426858662e-17
1.198129567782950744e+03 2.740246269396081395e-17 1.919873823795120775e-17
1.198713349994435703e+03 9.591274496544661431e-18 1.444902169105852306e-17
1.199297132205920661e+03 2.458780937258500027e-17 1.614011216093657604e-17
1.199880914417405620e+03 1.936253254663954166e-17 1.553891943837813531e-17
1.200464696628890579e+03 5.539689144287209395e-17 2.256993471972645816e-17
1.201048478840375537e+03 3.172153710964234502e-17 1.759708082585582609e-17
1.201632261051860496e+03 -1.335317770491315919e-17 5.443423128343008442e-21
1.202216043263345455e+03 1.421074551173658890e-17 1.453662057438885011e-17
1.202799825474830413e+03 2.150873678522422982e-17 1.489225759898660578e-17
1.203383607686315372e+03 2.346342069942312885e-17 1.516673329037499882e-17
1.203967389897800331e+03 3.109798950554041377e-17 1.673516256627480922e-17
1.204551172109285289e+03 5.594925733306381909e-17 2.105949538622883107e-17
1.205134954320770248e+03 2.410243142470601664e-17 1.466381042373953979e-17
1.205718736532255207e+03 3.432184812069214386e-17 1.787722106057795054e-17
1.206302518743740166e+03 6.790181066429540336e-17 2.257919920357756179e-17
1.206886300955225124e+03 3.839144109568993149e-17 1.797172837652892132e-17
1.207470083166710083e+03 7.661971016248031597e-17 2.347080728740640965e-17
1.208053865378195042e+03 5.937963822062646498e-17 2.638116829101580122e-17
1.208637647589680000e+03 3.819189647995182146e-17 2.528526483757916866e-17
1.209221429801164959e+03 1.601268607596964270e-17 2.612846963317983013e-17
1.209805212012649918e+03 2.311569444506654437e-17 2.718464793369875294e-17
1.210388994224134876e+03 -4.769620978844252153e-18 2.273858895912774916e-17
1.210972776435619835e+03 -6.221521730568954747e-18 2.817981236777655169e-17
1.211556558647104794e+03 -6.631815574297455895e-18 3.435254198234552779e-17
1.212140340858589752e+03 1.476698079949810810e-17 4.172149892628289275e-17
1.212724123070074711e+03 2.625783239127440386e-17 6.277495394000978598e-17
1.213307905281559670e+03 1.351880640632390268e-16 1.178623973686556389e-16
1.213891687493044628e+03 3.247265970198842888e-16 1.583838922041607288e-16
1.214475469704529587e+03 4.587765203624326446e-16 1.721443166797167034e-16
1.215059251916014546e+03 3.908463990928733519e-16 1.750995503301173422e-16
1.215643034127499504e+03 5.210294849016862395e-16 1.734341903271015687e-16
1.216226816338984463e+03 1.582367915383822979e-16 1.725712590314859156e-16
1.216810598550469422e+03 2.196549509898671020e-16 1.717413085251739440e-16
1.217394380761954380e+03 9.467419252637859908e-17 1.618505267597580575e-16
1.217978162973439339e+03 -4.093086139469592331e-17 1.303301380161260420e-16
1.218561945184924298e+03 -3.443326225072160310e-17 8.091846654151140301e-17
1.219145727396409256e+03 -1.492404897272579446e-17 4.814540246716998101e-17
1.219729509607894215e+03 -3.944757332950449651e-17 3.422718458844619859e-17
1.220313291819379174e+03 -1.482092582182038548e-17 2.611949564035776401e-17
1.220897074030864133e+03 5.838093854453946190e-18 2.395372181463754817e-17
1.221480856242349091e+03 -1.197839499555287550e-17 2.381038535957276657e-17
1.222064638453834050e+03 -2.012794635801853265e-17 2.068675323148217594e-17
1.222648420665319009e+03 -5.328180725909205582e-17 1.524335911678430894e-17
1.223232202876803967e+03 -3.012386282032337256e-18 1.725414442555140495e-17
1.223815985088288926e+03 -1.385531772515109021e-18 1.365160233134828708e-17
1.224399767299773885e+03 2.750513052472214721e-17 1.448484905705862446e-17
1.224983549511258843e+03 3.047259185634668810e-17 1.403970798453687185e-17
1.225567331722743802e+03 3.373321196428981878e-17 1.524861728720776969e-17
1.226151113934228761e+03 4.973269336487197850e-17 1.687417909697035254e-17
1.226734896145713719e+03 1.806349667641918460e-17 1.140201134440465409e-17
1.227318678357198678e+03 3.940438457571973564e-18 8.406109205001886383e-18
1.227902460568683637e+03 2.263571498725528421e-17 1.318804456935723327e-17
1.228486242780168595e+03 7.240312055366914669e-18 1.082480853786914841e-17
1.229070024991653554e+03 2.515574450950554893e-17 1.331712966138921311e-17
1.229653807203138513e+03 7.490124757520278579e-18 9.982410699631467596e-18
