# SN2002AP o6gl40040 G230LB CCD z=0.002 a2center=895.9 extrsize=15 exptime=2594.9 mode=adaptive_clamphi flags=none
# rest_wvl obs_wvl flux error net dq mask
1662.9562 1666.2822 6.178922e-15 7.880172e-15 4.141134e-03 512 0
1664.3238 1667.6524 2.108299e-14 7.773580e-15 1.449842e-02 0 0
1665.6913 1669.0227 1.033855e-14 1.116279e-14 7.374313e-03 16 0
1667.0589 1670.3930 -9.882022e-15 6.997989e-15 -7.467638e-03 16384 0
1668.4265 1671.7633 4.990028e-15 6.789982e-15 3.844212e-03 0 0
1669.7941 1673.1337 1.458102e-14 6.938089e-15 1.158580e-02 16 0
1671.1617 1674.5040 -8.023834e-15 6.246175e-15 -6.763095e-03 16384 0
1672.5293 1675.8744 7.918676e-15 6.171802e-15 6.746382e-03 16 0
1673.8969 1677.2447 -2.317711e-15 8.403134e-15 -2.096788e-03 16400 0
1675.2646 1678.6151 -1.955504e-15 5.828495e-15 -1.830984e-03 16400 0
1676.6323 1679.9855 1.459641e-14 5.661999e-15 1.379534e-02 0 0
1677.9999 1681.3559 -9.375508e-15 5.342479e-15 -9.386502e-03 16400 0
1679.3676 1682.7264 7.678696e-15 5.321857e-15 7.724686e-03 16 0
1680.7354 1684.0968 8.749983e-15 5.198249e-15 9.086625e-03 0 0
1682.1031 1685.4673 -8.546658e-15 4.772170e-15 -9.388488e-03 16384 0
1683.4708 1686.8378 7.165613e-16 5.184672e-15 7.702567e-04 16 0
1684.8386 1688.2083 -8.948871e-15 4.738698e-15 -1.039859e-02 16400 0
1686.2063 1689.5788 2.444805e-13 3.799559e-14 2.892817e-01 16 0
1687.5741 1690.9493 4.652339e-15 1.046785e-14 5.532026e-03 16 0
1688.9419 1692.3198 1.606212e-16 4.222472e-15 1.773495e-04 0 0
1690.3097 1693.6904 3.201111e-15 4.144056e-15 3.987020e-03 0 0
1691.6776 1695.0609 8.308856e-16 4.294615e-15 1.043832e-03 16 0
1693.0454 1696.4315 4.588569e-16 4.068770e-15 5.808627e-04 16 0
1694.4133 1697.8021 2.742644e-15 3.881583e-15 3.647665e-03 0 0
1695.7811 1699.1727 -8.890829e-15 3.738172e-15 -1.245689e-02 16384 0
1697.1490 1700.5433 -8.956097e-15 3.743164e-15 -1.280341e-02 16400 0
1698.5169 1701.9140 3.280587e-15 3.765934e-15 4.641355e-03 16 0
1699.8848 1703.2846 1.858296e-15 3.602474e-15 2.669519e-03 0 0
1701.2528 1704.6553 -1.173813e-15 3.485234e-15 -1.776784e-03 16384 0
1702.6207 1706.0259 -2.560953e-15 3.476510e-15 -3.947170e-03 16384 0
1703.9887 1707.3966 -7.313680e-15 3.466048e-15 -1.147418e-02 16400 0
1705.3566 1708.7673 5.399348e-15 3.410799e-15 8.387427e-03 0 0
1706.7246 1710.1381 1.752569e-15 3.261952e-15 2.750759e-03 0 0
1708.0926 1711.5088 3.973224e-16 3.287845e-15 6.178680e-04 0 0
1709.4606 1712.8795 8.264287e-16 3.527449e-15 1.328882e-03 16 0
1710.8286 1714.2503 6.352628e-15 3.312036e-15 1.054371e-02 16 0
1712.1967 1715.6211 -2.280592e-15 3.752330e-15 -3.945928e-03 16400 0
1713.5647 1716.9919 -6.376923e-15 3.136516e-15 -1.120147e-02 16400 0
1714.9328 1718.3627 -1.773384e-15 2.957615e-15 -3.161815e-03 16384 0
1716.3009 1719.7335 -2.473802e-15 2.962896e-15 -4.475547e-03 16400 0
1717.6690 1721.1043 2.645947e-15 2.903688e-15 4.712118e-03 0 0
1719.0371 1722.4751 -3.237567e-15 2.821585e-15 -6.027073e-03 16384 0
1720.4052 1723.8460 2.249045e-15 2.841499e-15 4.115913e-03 0 0
1721.7733 1725.2169 1.558707e-15 6.402706e-15 2.884560e-03 16 0
1723.1415 1726.5877 -3.953048e-15 2.753221e-15 -7.669301e-03 16384 0
1724.5096 1727.9586 3.711730e-15 2.761552e-15 7.096446e-03 0 0
1725.8778 1729.3296 4.925508e-15 2.816524e-15 9.556283e-03 0 0
1727.2460 1730.7005 -6.225652e-15 6.566812e-15 -1.256858e-02 16400 0
1728.6142 1732.0714 2.099030e-15 2.755177e-15 4.161527e-03 16 0
1729.9824 1733.4424 5.264164e-15 2.667013e-15 1.062450e-02 0 0
1731.3506 1734.8133 -2.122686e-15 2.582269e-15 -4.454003e-03 16400 0
1732.7189 1736.1843 1.336086e-15 2.518119e-15 2.743166e-03 0 0
1734.0871 1737.5553 -1.678948e-15 2.446782e-15 -3.612033e-03 16384 0
1735.4554 1738.9263 -2.117147e-15 3.442784e-15 -4.611313e-03 16400 0
1736.8237 1740.2973 7.143999e-15 2.521336e-15 1.537172e-02 0 0
1738.1920 1741.6683 -5.256611e-15 2.825103e-15 -1.173077e-02 16400 0
1739.5603 1743.0394 6.188339e-16 2.335652e-15 1.338259e-03 0 0
1740.9286 1744.4104 -3.989514e-16 2.339984e-15 -9.117474e-04 16384 0
1742.2969 1745.7815 -2.778196e-15 2.302756e-15 -6.424254e-03 16384 0
1743.6653 1747.1526 -1.081435e-15 2.236641e-15 -2.529981e-03 16384 0
1745.0336 1748.5237 -4.815454e-15 2.282907e-15 -1.139677e-02 16384 0
1746.4020 1749.8948 1.578463e-15 2.332079e-15 3.658990e-03 0 0
1747.7704 1751.2659 1.521196e-15 2.236467e-15 3.566583e-03 16 0
1749.1388 1752.6371 -9.178091e-16 2.153357e-15 -2.248467e-03 16384 0
1750.5072 1754.0082 3.653339e-15 2.173414e-15 8.809871e-03 0 0
1751.8756 1755.3794 -3.337753e-15 2.104667e-15 -8.364250e-03 16384 0
1753.2441 1756.7505 -1.938144e-15 2.086964e-15 -4.911627e-03 16384 0
1754.6125 1758.1217 -3.601511e-15 2.053833e-15 -9.228556e-03 16384 0
1755.9810 1759.4929 8.980020e-16 2.058376e-15 2.242319e-03 0 0
