# obs_wvl flux error
1.138000000000000000e+03 -4.784912894981390325e-13 5.794244755532485045e-16
1.139166111240406508e+03 -1.180023284433741831e-15 9.241630146713160225e-19
1.140332222480813016e+03 -5.101458289131067329e-16 3.829661150890201838e-19
1.141498333721219524e+03 -3.177806664357562200e-16 2.383519261638389175e-19
1.142664444961626032e+03 -2.052399925383265453e-16 1.506326665770285323e-19
1.143830556202032540e+03 -4.613972792997359989e-17 1.233258922154658087e-16
1.144996667442439048e+03 3.570600557343952419e-17 1.461535662963896974e-16
1.146162778682845556e+03 -1.467629218485229094e-17 1.068527323687039156e-16
1.147328889923252063e+03 -1.195367737194228934e-16 5.197914957296078134e-17
1.148495001163658571e+03 -7.402009212768549484e-18 4.244879834700601740e-17
1.149661112404065079e+03 4.787060603732815103e-17 6.283504308554722372e-17
1.150827223644471587e+03 -4.115307929943445391e-18 3.238624842085413360e-17
1.151993334884878095e+03 -1.031426092738126266e-17 3.470189424792188494e-17
1.153159446125284603e+03 2.182964558184907201e-17 4.847873584843322852e-17
1.154325557365691111e+03 -2.663704741751958957e-17 1.805121637243094759e-20
1.155491668606097619e+03 -2.432462391537721880e-17 1.624995731056353998e-20
1.156657779846504127e+03 -1.939697159851210566e-17 7.735890690030068371e-18
1.157823891086910635e+03 -2.247442602898919691e-17 1.098469491906886686e-17
1.158990002327317143e+03 -2.045503318709699304e-17 1.338583429089896816e-20
1.160156113567723651e+03 -7.739711754501951151e-18 1.468888564449767562e-17
1.161322224808130159e+03 -6.358607776544865047e-18 2.070365417934637083e-17
1.162488336048536667e+03 -6.367719351943815182e-19 1.469219789848638093e-17
1.163654447288943174e+03 3.896166778059972002e-17 3.256991746027382248e-17
1.164820558529349682e+03 1.780639033355101487e-17 2.935024752597080818e-17
1.165986669769756190e+03 -1.619324360163603225e-17 1.050868767559355853e-20
1.167152781010162698e+03 -1.565191885796129289e-17 9.923219348177515343e-21
1.168318892250569206e+03 -1.522891534953053089e-17 9.600963701134349940e-21
1.169485003490975714e+03 -1.476466757899691256e-17 9.171589568646668300e-21
