# SN2002AP o6gl42030 G140L MAMA z=0.002 a2center=511.5 extrsize=11 exptime=2899.0 mode=fixed flags=low_detect,center_mismatch(511vs409)
# rest_wvl obs_wvl flux error net dq mask
1115.9672 1118.1991 0.000000e+00 0.000000e+00 2.754120e-04 2564 0
1116.5502 1118.7833 0.000000e+00 0.000000e+00 3.972763e-04 2564 0
1117.1332 1119.3674 0.000000e+00 0.000000e+00 2.751246e-04 2564 0
1117.7162 1119.9516 0.000000e+00 0.000000e+00 -6.948509e-05 2564 0
1118.2992 1120.5358 0.000000e+00 0.000000e+00 2.700420e-04 2560 0
1118.8822 1121.1200 0.000000e+00 0.000000e+00 -1.917924e-04 512 0
1119.4652 1121.7041 0.000000e+00 0.000000e+00 -3.159235e-05 512 0
1120.0482 1122.2883 0.000000e+00 0.000000e+00 3.088927e-04 512 0
1120.6312 1122.8725 0.000000e+00 0.000000e+00 4.100211e-04 528 0
1121.2142 1123.4566 0.000000e+00 0.000000e+00 -7.519078e-04 512 0
1121.7972 1124.0408 0.000000e+00 0.000000e+00 -6.763072e-05 512 0
1122.3802 1124.6250 0.000000e+00 0.000000e+00 -8.547868e-04 512 0
1122.9632 1125.2091 0.000000e+00 0.000000e+00 -1.001261e-03 528 0
1123.5462 1125.7933 0.000000e+00 0.000000e+00 -8.735234e-04 512 0
1124.1292 1126.3774 0.000000e+00 0.000000e+00 1.527657e-04 512 0
1124.7122 1126.9616 0.000000e+00 0.000000e+00 -4.053115e-04 512 0
1125.2952 1127.5458 0.000000e+00 0.000000e+00 3.872620e-05 512 0
1125.8782 1128.1299 0.000000e+00 0.000000e+00 4.248269e-05 528 0
1126.4611 1128.7141 0.000000e+00 0.000000e+00 -2.083274e-04 512 0
1127.0441 1129.2982 0.000000e+00 0.000000e+00 -1.225442e-04 512 0
1127.6271 1129.8824 0.000000e+00 0.000000e+00 -5.807278e-04 512 0
1128.2101 1130.4665 0.000000e+00 0.000000e+00 -9.294235e-04 512 0
1128.7931 1131.0507 0.000000e+00 0.000000e+00 -5.738985e-04 512 0
1129.3761 1131.6348 0.000000e+00 0.000000e+00 -9.441705e-04 512 0
1129.9591 1132.2190 0.000000e+00 0.000000e+00 5.705640e-04 512 0
1130.5420 1132.8031 0.000000e+00 0.000000e+00 -6.273937e-04 512 0
1131.1250 1133.3873 0.000000e+00 0.000000e+00 -2.784570e-04 512 0
1131.7080 1133.9714 0.000000e+00 0.000000e+00 -6.368290e-04 512 0
1132.2910 1134.5556 0.000000e+00 0.000000e+00 -4.196815e-04 512 0
1132.8740 1135.1397 0.000000e+00 0.000000e+00 -4.108224e-04 512 0
1133.4569 1135.7238 0.000000e+00 0.000000e+00 -2.967984e-04 512 0
1134.0399 1136.3080 0.000000e+00 0.000000e+00 -1.999033e-04 512 0
1134.6229 1136.8921 0.000000e+00 0.000000e+00 1.436123e-04 512 0
1135.2059 1137.4763 0.000000e+00 0.000000e+00 2.560675e-04 512 0
1135.7888 1138.0604 -9.997564e-13 1.339874e-16 -1.022996e-03 0 0
1136.3718 1138.6445 5.346623e-15 1.143642e-14 3.136182e-04 0 0
1136.9548 1139.2287 3.061533e-15 5.987376e-15 3.563004e-04 0 0
1137.5377 1139.8128 -2.214864e-15 2.653049e-15 -3.858088e-04 0 0
1138.1207 1140.3970 -3.452915e-15 1.260393e-15 -8.023229e-04 0 0
1138.7037 1140.9811 4.607371e-15 3.112920e-15 1.339880e-03 0 0
1139.2866 1141.5652 -9.759140e-16 1.314629e-15 -3.653041e-04 0 0
1139.8696 1142.1493 -1.497909e-15 8.139953e-16 -6.928376e-04 0 0
1140.4526 1142.7335 -5.240403e-16 8.779637e-16 -3.042488e-04 0 0
1141.0355 1143.3176 -7.864635e-17 8.387330e-16 -5.541294e-05 0 0
1141.6185 1143.9017 -6.709749e-16 4.948704e-16 -5.751762e-04 0 0
1142.2015 1144.4859 -9.863771e-16 1.687181e-16 -1.002155e-03 0 0
1142.7844 1145.0700 4.320482e-16 6.223034e-16 5.151888e-04 0 0
1143.3674 1145.6541 2.046914e-16 5.054961e-16 2.810624e-04 0 0
1143.9503 1146.2382 -2.147559e-16 3.310873e-16 -3.350318e-04 0 0
1144.5333 1146.8224 -2.512048e-16 2.743633e-16 -4.393586e-04 0 0
1145.1162 1147.4065 -2.231549e-16 2.518381e-16 -4.327880e-04 0 0
1145.6992 1147.9906 -5.296796e-16 6.153132e-20 -1.128630e-03 0 0
1146.2822 1148.5747 -3.354675e-16 1.534078e-16 -7.800547e-04 0 0
1146.8651 1149.1588 -1.901234e-16 1.850040e-16 -4.793318e-04 0 0
1147.4481 1149.7429 -1.639914e-16 1.820558e-16 -4.475786e-04 0 0
1148.0310 1150.3271 -3.622282e-16 5.860194e-17 -1.065352e-03 0 0
1148.6140 1150.9112 -1.199103e-16 1.640220e-16 -3.802037e-04 0 0
1149.1969 1151.4953 1.487567e-16 2.195289e-16 5.066197e-04 0 0
1149.7798 1152.0794 6.737919e-17 1.943502e-16 2.461039e-04 0 0
1150.3628 1152.6635 -2.130513e-16 8.774475e-17 -8.316082e-04 0 0
1150.9457 1153.2476 -1.980681e-16 8.651540e-17 -8.231240e-04 0 0
1151.5287 1153.8317 -2.500786e-16 3.897924e-17 -1.102711e-03 0 0
1152.1116 1154.4158 6.115643e-17 1.544386e-16 2.844244e-04 0 0
1152.6946 1155.0000 -1.503998e-16 9.331248e-17 -7.353392e-04 16 0
1153.2775 1155.5841 -1.231119e-17 1.245836e-16 -6.283645e-05 0 0
1153.8604 1156.1682 2.295476e-17 1.252339e-16 1.219424e-04 0 0
1154.4434 1156.7523 1.590942e-16 1.553573e-16 8.748545e-04 0 0
1155.0263 1157.3364 1.521136e-16 1.499534e-16 8.639173e-04 0 0
1155.6093 1157.9205 2.686464e-17 1.182969e-16 1.570390e-04 0 0
1156.1922 1158.5046 3.170357e-18 1.068848e-16 1.904601e-05 0 0
1156.7751 1159.0887 -1.451130e-16 5.554538e-17 -8.946880e-04 0 0
1157.3581 1159.6728 -9.120802e-17 7.421134e-17 -5.766609e-04 0 0
1157.9410 1160.2569 8.982798e-18 1.036587e-16 5.825877e-05 0 0
1158.5239 1160.8410 2.157126e-17 1.049964e-16 1.434771e-04 0 0
1159.1068 1161.4251 -9.921730e-17 6.348649e-17 -6.768773e-04 0 0
1159.6898 1162.0092 -8.223059e-17 6.982519e-17 -5.752340e-04 0 0
