# obs_wvl flux error
1.138000000000000000e+03 -1.156749025533130708e-14 2.773070605288870258e-18
1.138583713560462456e+03 -1.180591080020986386e-14 3.083991461291771573e-18
1.139167427120924913e+03 -5.633406993086974355e-15 1.427930710493965406e-18
1.139751140681387369e+03 -2.940208722692832254e-15 1.790399079991046904e-16
1.140334854241849825e+03 1.186681688021351150e-15 1.341002586760655327e-15
1.140918567802312282e+03 -9.810525244010474728e-16 3.540415507226127472e-19
1.141502281362774738e+03 -7.999366096339767806e-16 3.599128925135678637e-19
1.142085994923237195e+03 -3.273962904304393226e-16 2.196700526458573919e-16
1.142669708483699651e+03 -4.817303455228325310e-16 2.593434398135415629e-19
1.143253422044162107e+03 -4.161150014522653243e-16 1.856040183000106584e-19
1.143837135604624564e+03 -3.449613894303463183e-16 1.523411359772061499e-19
1.144420849165087020e+03 -2.897122711932440349e-16 1.318999363342744510e-19
1.145004562725549476e+03 -2.450632531795673708e-16 1.068169519578767636e-19
1.145588276286011933e+03 -2.129500287318206846e-16 9.518573724193978623e-20
1.146171989846474389e+03 -1.878935217328200138e-16 8.551980162832384993e-20
1.146755703406936846e+03 -3.289913113089612961e-16 1.375010547135447965e-18
1.147339416967399302e+03 -1.416877698333430739e-16 7.181287329226697477e-20
1.147923130527861758e+03 -1.287819160157677166e-16 6.432899136281259077e-20
1.148506844088324215e+03 -2.410463091187083275e-16 7.866013817517688332e-19
1.149090557648786671e+03 -1.983955601206490426e-16 1.479996866090505487e-17
1.149674271209249127e+03 -1.005425512888092689e-16 4.778867762278331220e-20
1.150257984769711584e+03 -9.756722097006392746e-17 3.291127543814530141e-20
1.150841698330174040e+03 -8.529937698326756195e-17 2.060361897703550280e-18
1.151425411890636497e+03 6.210003213107088861e-17 8.435575846623943891e-17
1.152009125451098953e+03 -7.993935583871478557e-17 3.388760245858881037e-20
1.152592839011561409e+03 -7.558650410936623864e-17 3.366474587506370313e-20
1.153176552572023866e+03 -7.015463548094865624e-17 2.921551636547566805e-20
1.153760266132486322e+03 -6.671049920671565538e-17 2.878576324449467340e-20
1.154343979692948778e+03 -1.237385036140940456e-16 3.172146931680410515e-18
1.154927693253411235e+03 -5.784410296534412509e-17 9.950499720757883877e-19
1.155511406813873691e+03 1.507514837461161550e-17 5.887424112535030971e-17
1.156095120374336148e+03 2.233115318989503475e-17 5.110296544834596785e-17
1.156678833934798604e+03 -7.994162598055447656e-17 1.594593453229402897e-20
1.157262547495261060e+03 -5.220472705688687217e-17 2.263891656124300259e-20
1.157846261055723517e+03 -5.052904420991569260e-17 2.147216934452725957e-20
1.158429974616185973e+03 -4.907008577794043115e-17 2.046313161656084379e-20
1.159013688176648429e+03 -2.925711425805197654e-17 1.450996555152256234e-17
1.159597401737110886e+03 7.040599836167149726e-17 5.569091026519730674e-17
1.160181115297573342e+03 -4.560853295152521198e-17 1.851820305741835394e-20
1.160764828858035798e+03 -4.501515624783991323e-17 1.919889869844901940e-20
1.161348542418498255e+03 -4.384627513417621020e-17 1.842369444140819935e-20
1.161932255978960711e+03 -4.261126005579290105e-17 1.729202462592156840e-20
1.162515969539423168e+03 -4.219694376740421505e-17 1.834371024212115143e-20
1.163099683099885624e+03 -4.055327955379573902e-17 1.587869033381835741e-20
1.163683396660348080e+03 -4.033588573718169137e-17 1.728583017690827789e-20
1.164267110220810537e+03 -3.904081742218549943e-17 1.434199556938541008e-20
1.164850823781272993e+03 -3.855327902795589836e-17 1.590427043867287018e-20
1.165434537341735449e+03 -3.809517783252416620e-17 1.606305384606697068e-20
1.166018250902197906e+03 -3.745573135829277349e-17 1.528782173128483505e-20
1.166601964462660362e+03 -3.673481407644428455e-17 1.501377060621802894e-20
1.167185678023122819e+03 -2.528207829436924964e-17 9.319596776962711587e-18
1.167769391583585275e+03 3.645837192958279802e-17 3.936017048028617268e-17
1.168353105144047731e+03 -3.496345520467010905e-17 2.764104406754395762e-19
1.168936818704510188e+03 -3.505050614456341412e-17 1.537943751224136336e-20
1.169520532264972644e+03 2.186062177818662453e-17 3.280540647738990625e-17
1.170104245825435100e+03 -3.370638661952788932e-17 1.355398081638637871e-20
1.170687959385897557e+03 -3.337443219696557026e-17 1.382133755082681416e-20
1.171271672946360013e+03 -3.269309462865576969e-17 1.331383895903456688e-20
1.171855386506822470e+03 -3.217826233366653788e-17 1.323230248440303557e-20
1.172439100067284926e+03 -3.143722278635544237e-17 1.253452731035860598e-20
1.173022813627747382e+03 -3.124862087063413858e-17 1.322204949968015794e-20
