# obs_wvl flux error
2.984000000000000000e+03 1.401756772586920316e-14 8.546171743848970361e-16
2.986747421225822109e+03 1.184737355995728083e-14 8.765677291724930725e-16
2.989494842451644217e+03 1.363920971760876643e-14 8.484961415018914585e-16
2.992242263677466326e+03 1.240191279355172069e-14 7.835930992533338965e-16
2.994989684903288435e+03 1.458706230565839159e-14 8.053123360897182927e-16
2.997737106129110543e+03 1.345086074678701537e-14 7.822332598181319610e-16
3.000484527354932652e+03 1.164007650521781341e-14 8.090757423711519977e-16
3.003231948580754761e+03 1.287686603346371514e-14 7.708289211055780486e-16
3.005979369806576869e+03 1.494953854414978367e-14 7.872157916018166489e-16
3.008726791032398978e+03 1.275541248693734996e-13 2.459629919249679001e-15
3.011474212258221087e+03 1.516706691578091108e-14 7.554440517350549562e-16
3.014221633484043195e+03 1.254614680749346265e-14 8.776507177201574132e-16
3.016969054709865304e+03 1.429163896388632624e-14 8.833723686624295985e-16
3.019716475935687413e+03 1.288745771019903847e-14 7.477475532837763209e-16
3.022463897161509522e+03 1.567972158982145910e-14 8.372355917258562588e-16
3.025211318387331630e+03 1.227753145832542370e-14 6.898259618563754347e-16
3.027958739613153739e+03 1.463918765141298002e-14 7.107008775768446479e-16
3.030706160838975848e+03 1.399337456978284750e-14 6.955520590978581321e-16
3.033453582064797956e+03 1.431238413658145638e-14 7.125598048614720036e-16
3.036201003290620065e+03 1.528913496842163123e-14 7.127429630005515519e-16
3.038948424516442174e+03 1.426681310756270047e-14 6.987831981689970437e-16
3.041695845742264282e+03 1.289456366393615989e-14 6.601175439910893175e-16
3.044443266968086391e+03 1.399757047247894875e-14 6.537608708787712661e-16
3.047190688193908500e+03 1.397849381990239481e-14 6.485733295027399484e-16
3.049938109419730608e+03 1.563861553992458816e-14 6.559421569810260328e-16
3.052685530645552717e+03 1.461589524199791881e-14 6.361766576219501314e-16
3.055432951871374826e+03 1.477460160675176071e-14 6.611974129232309243e-16
3.058180373097196934e+03 1.433600069768241118e-14 6.331296307619643601e-16
3.060927794323019043e+03 1.425357404632623794e-14 6.133070041037751724e-16
3.063675215548841152e+03 1.508507546131972190e-14 6.170534130503265402e-16
3.066422636774663260e+03 1.692887834922523306e-14 6.297617141694732254e-16
3.069170058000485369e+03 1.640382513920623933e-14 8.546132805978295577e-16
3.071917479226307478e+03 1.454080031930474679e-14 5.940458786286185757e-16
3.074664900452129586e+03 1.497088178629663143e-14 5.921898313709273432e-16
3.077412321677951695e+03 1.637067415394334593e-14 6.052462655486350159e-16
3.080159742903773804e+03 1.497506930401038653e-14 5.969780746052100645e-16
3.082907164129595913e+03 1.700237501097293065e-14 6.045180727265553908e-16
3.085654585355418021e+03 1.588877319712485034e-14 5.882945741610684217e-16
3.088402006581240130e+03 1.648869363790717041e-14 5.967401645480644267e-16
3.091149427807062239e+03 1.629977703067174791e-14 5.886839599915427304e-16
3.093896849032884347e+03 1.577081922114775425e-14 5.874622745370665124e-16
3.096644270258706456e+03 1.764560500704766608e-14 5.999361974040465454e-16
3.099391691484528565e+03 1.722081016976892907e-14 5.896571947311075042e-16
3.102139112710350673e+03 1.659596615412058857e-14 5.979033782614466043e-16
3.104886533936172782e+03 1.699184498978490239e-14 5.815574927183233546e-16
3.107633955161994891e+03 1.715638998307094666e-14 5.787191855541830822e-16
3.110381376387816999e+03 1.601537511240423862e-14 5.665925692778553625e-16
3.113128797613639108e+03 1.576164379866856172e-14 5.612081173203362837e-16
3.115876218839461217e+03 1.700471767849886669e-14 5.705067490857219143e-16
3.118623640065283325e+03 1.590754182921482564e-14 5.579351913066441851e-16
3.121371061291105434e+03 1.624988255702090389e-14 5.577125350625201668e-16
3.124118482516927543e+03 1.622644522440498677e-14 5.739125609160714551e-16
3.126865903742749651e+03 1.747453427718140117e-14 5.975735036667011453e-16
3.129613324968571760e+03 1.867816691315687552e-14 5.888484718262643434e-16
