# SN2002XX o6gl50030 E140M ECHELLE z=0.00292 a2center=nan extrsize=11 exptime=2701.0 mode=echelle flags=echelle
# rest_wvl obs_wvl flux error net dq mask
1705.6116 1710.5920 -1.646653e-14 3.984299e-18 -3.053129e-04 2564 0
1705.6302 1710.6106 -1.554804e-14 2.648094e-18 -2.897493e-04 2564 0
1705.6488 1710.6293 -1.456696e-14 2.226433e-18 -2.728389e-04 2564 0
1705.6674 1710.6479 2.663256e-15 1.815243e-14 5.013371e-05 2564 0
1705.6859 1710.6666 -1.480298e-14 2.499884e-18 -2.800511e-04 2564 0
1705.7045 1710.6852 4.022875e-14 3.260949e-14 7.648651e-04 2564 0
1705.7231 1710.7038 -1.538588e-14 2.671508e-18 -2.939829e-04 2048 0
1705.7417 1710.7225 4.164274e-14 3.306384e-14 7.996136e-04 2048 0
1705.7603 1710.7411 2.171064e-14 2.654646e-14 4.189339e-04 2048 0
1705.7788 1710.7597 2.731843e-15 1.875727e-14 5.297249e-05 2048 0
1705.7974 1710.7783 -1.629187e-14 2.568445e-18 -3.174522e-04 2048 0
1705.8160 1710.7970 5.794521e-14 3.726663e-14 1.134560e-03 2048 0
1705.8346 1710.8156 1.675130e-14 2.487222e-14 3.295730e-04 2048 0
1705.8532 1710.8342 1.275578e-15 1.819774e-14 2.521701e-05 2048 0
1705.8717 1710.8529 -1.702789e-14 2.566617e-18 -3.382373e-04 2048 0
1705.8903 1710.8715 -1.714362e-14 2.547359e-18 -3.421588e-04 2048 0
1705.9089 1710.8901 -1.726884e-14 2.527496e-18 -3.462925e-04 2048 0
1705.9275 1710.9088 2.435528e-14 2.800774e-14 4.907025e-04 2048 0
1705.9460 1710.9274 1.906417e-14 2.602225e-14 3.859037e-04 2048 0
1705.9646 1710.9460 -1.797064e-14 2.440827e-18 -3.654693e-04 2048 0
1705.9832 1710.9646 3.459415e-14 3.049413e-14 7.068168e-04 2048 0
1706.0018 1710.9833 -1.858103e-14 2.435157e-18 -3.814006e-04 2048 0
1706.0203 1711.0019 1.616210e-14 2.478857e-14 3.332785e-04 2048 0
1706.0389 1711.0205 -1.926318e-14 2.493444e-18 -3.990487e-04 2048 0
1706.0575 1711.0392 3.271497e-15 2.001929e-14 6.808064e-05 2048 0
1706.0760 1711.0578 -2.831269e-15 1.705137e-14 -5.918721e-05 2048 0
1706.0946 1711.0764 -2.010766e-14 2.425733e-18 -4.222493e-04 2048 0
1706.1132 1711.0950 3.170733e-14 3.009241e-14 6.688333e-04 2048 0
1706.1318 1711.1137 -2.057860e-14 2.374486e-18 -4.360295e-04 2048 0
1706.1503 1711.1323 -2.075572e-14 2.427812e-18 -4.417433e-04 2048 0
1706.1689 1711.1509 1.405432e-14 2.472536e-14 3.004452e-04 2048 0
1706.1875 1711.1695 -4.391699e-15 1.676657e-14 -9.429778e-05 2048 0
1706.2060 1711.1882 -2.125653e-14 2.334506e-18 -4.584228e-04 2048 0
1706.2246 1711.2068 -2.146840e-14 2.360023e-18 -4.650166e-04 2048 0
1706.2432 1711.2254 -1.447765e-14 1.125860e-14 -3.149585e-04 2048 0
1706.2617 1711.2440 5.920505e-15 2.190535e-14 1.293572e-04 2048 0
1706.2803 1711.2626 1.977667e-14 2.674821e-14 4.339632e-04 2048 0
1706.2989 1711.2813 1.078423e-14 2.308512e-14 2.376550e-04 2048 0
1706.3174 1711.2999 -1.293019e-14 1.190787e-14 -2.861622e-04 2048 0
1706.3360 1711.3185 -2.203963e-14 2.328797e-18 -4.898371e-04 2048 0
1706.3546 1711.3371 -6.266032e-15 1.586027e-14 -1.398528e-04 2048 0
1706.3731 1711.3558 1.928170e-15 1.999619e-14 4.321613e-05 2048 0
1706.3917 1711.3744 -1.389391e-14 1.154560e-14 -3.127073e-04 2048 0
1706.4103 1711.3930 -1.405520e-14 1.152646e-14 -3.176542e-04 2048 0
1706.4288 1711.4116 9.363122e-15 2.250087e-14 2.124872e-04 2048 0
1706.4474 1711.4302 1.638027e-15 1.979975e-14 3.732665e-05 2048 0
1706.4660 1711.4488 -6.159527e-15 1.649781e-14 -1.409360e-04 2048 0
1706.4845 1711.4675 -6.853458e-15 1.607457e-14 -1.574536e-04 2048 0
1706.5031 1711.4861 8.698113e-15 2.238179e-14 2.006440e-04 2048 0
1706.5217 1711.5047 -2.310333e-14 2.248254e-18 -5.350891e-04 2048 0
1706.5402 1711.5233 -2.313712e-14 2.197032e-18 -5.380236e-04 2048 0
1706.5588 1711.5419 -2.326565e-14 2.227424e-18 -5.431753e-04 2048 0
1706.5773 1711.5606 4.890099e-14 3.384625e-14 1.146212e-03 2048 0
1706.5959 1711.5792 6.835724e-15 2.139486e-14 1.608595e-04 2048 0
1706.6145 1711.5978 2.875483e-14 2.819854e-14 6.793247e-04 2048 0
1706.6330 1711.6164 -7.584513e-15 1.591447e-14 -1.798838e-04 2048 0
1706.6516 1711.6350 4.555283e-14 3.222521e-14 1.084592e-03 2048 0
1706.6701 1711.6536 6.533238e-15 2.125775e-14 1.561562e-04 2048 0
1706.6887 1711.6722 6.472262e-15 2.125019e-14 1.552944e-04 2048 0
1706.7073 1711.6909 -2.364548e-14 2.128711e-18 -5.695213e-04 2048 0
1706.7258 1711.7095 -2.367670e-14 2.068621e-18 -5.724464e-04 2048 0
1706.7444 1711.7281 -2.382246e-14 2.096429e-18 -5.781555e-04 2048 0
1706.7629 1711.7467 -2.394245e-14 2.078098e-18 -5.832585e-04 2048 0
1706.7815 1711.7653 -8.433129e-15 1.561842e-14 -2.062092e-04 2048 0
1706.8001 1711.7839 1.077405e-14 2.283158e-14 2.644329e-04 2048 0
1706.8186 1711.8025 1.547952e-14 2.438183e-14 3.813320e-04 2048 0
1706.8372 1711.8211 -1.578811e-16 1.876628e-14 -3.903697e-06 2048 0
