# obs_wvl flux error
1.140543646359630657e+03 -6.719942657884558912e-11 2.269921718037886721e-13
1.140557952842778832e+03 -4.097493721959371342e-11 3.668682408863328436e-14
1.140572259325927007e+03 -1.643599109391903621e-11 1.346546130748470267e-14
1.140586565809075182e+03 -1.005533773957005114e-11 7.543549482711326146e-15
1.140600872292223357e+03 -7.251336053212594834e-12 5.096238192345479588e-15
1.140615178775371533e+03 -5.754177627624097072e-12 4.089970490410780765e-15
1.140629485258519708e+03 -5.700029943391978687e-12 4.733520671595775216e-15
1.140643791741667883e+03 -4.629916279625028123e-12 4.254207848678006928e-15
1.140658098224816058e+03 -2.282110130403826678e-12 3.465587747050489688e-15
1.140672404707964233e+03 -2.029921477444563412e-12 5.532729365211758262e-15
1.140686711191112408e+03 -2.033968875287149835e-12 5.485836699194893114e-15
1.140701017674260584e+03 -2.922000856287172397e-12 2.380880644917199215e-15
1.140715324157408759e+03 -2.669590499429679186e-12 2.360164434399282092e-15
1.140729630640556934e+03 -2.368379026262239138e-12 2.286994876007413264e-15
1.140743937123705109e+03 -1.840062086537657480e-12 1.565690753149421723e-15
1.140758243606853284e+03 -1.727338756974525073e-12 1.322516035027935700e-15
1.140772550090001459e+03 -1.634551234801784143e-12 1.180492829809088425e-15
1.140786856573149635e+03 -1.338374125132727591e-12 1.540132483893286514e-15
1.140801163056297810e+03 -1.315877438032038267e-12 1.567450208191875606e-15
1.140815469539445985e+03 -1.288113342845652850e-12 1.534910413035210424e-15
1.140829776022594160e+03 -1.381416461842389355e-12 1.091526844589953045e-15
1.140844082505742335e+03 -1.341016044303787942e-12 9.497049016374937374e-16
1.140858388988890511e+03 -1.324848478134600207e-12 8.680939056243262714e-16
1.140872695472038686e+03 -1.387294721335503998e-12 1.125619783919708609e-15
1.140887001955186861e+03 -1.336568251294296561e-12 1.129682654597378374e-15
1.140901308438335036e+03 -1.300234256821235096e-12 1.163622482848102732e-15
1.140915614921483211e+03 -1.189891282830246392e-12 1.843996227946302668e-15
1.140929921404631386e+03 -1.204736867751819773e-12 9.841844191182461311e-16
1.140944227887779562e+03 -1.160786826645098589e-12 8.824649998862591090e-16
1.140958534370927737e+03 -1.142072462003463438e-12 8.628703002499163632e-16
1.140972840854075912e+03 -1.107262815656358525e-12 8.732137753322920312e-16
1.140987147337224087e+03 -1.080337362829072997e-12 9.109689561130425847e-16
1.141001453820372262e+03 -1.103348813032654494e-12 6.799449089020703579e-16
1.141015760303520437e+03 -1.089892886958829165e-12 6.158811806773938195e-16
1.141030066786668613e+03 -1.072870126655131379e-12 5.533954659272190295e-16
1.141044373269816788e+03 -1.069012754567102338e-12 5.315524796511453714e-16
1.141058679752964963e+03 -1.056794610282961503e-12 5.381970351471081525e-16
1.141072986236113138e+03 -1.036166807873678995e-12 5.669194683822321064e-16
1.141087292719261313e+03 -1.115165975609866252e-12 7.300894412141506096e-16
1.141101599202409488e+03 -1.105516459692097340e-12 6.615875244005641423e-16
1.141115905685557664e+03 -7.408459782053203476e-13 1.189609330519647073e-15
1.141130212168705839e+03 -6.949374381606583111e-13 1.243988615338507884e-15
1.141144518651854014e+03 -1.112485488912121361e-12 6.015920707663085567e-16
1.141158825135002189e+03 -9.417299772622326017e-13 4.673756422835102487e-16
1.141173131618150364e+03 -9.154364996134495575e-13 4.819977802461839131e-16
1.141187438101298540e+03 -8.941232142420730333e-13 4.479345748114204617e-16
1.141201744584446715e+03 -6.654139094432331351e-13 5.308898970018138804e-16
1.141216051067594890e+03 -6.437399223164708941e-13 5.035642950761570833e-16
1.141230357550743065e+03 -8.945727817857437226e-13 4.025446295363836199e-16
1.141244664033891240e+03 -4.749537286161484267e-13 1.120532641126185327e-15
1.141258970517039415e+03 -4.503911665424773716e-13 9.759327950598362374e-16
1.141273277000187591e+03 -7.776457463410641960e-13 3.961494119049214404e-16
1.141287583483335766e+03 -8.468508550623669142e-13 3.958320721694634216e-16
1.141301889966483941e+03 -8.160846977716902164e-13 3.607977671019120166e-16
1.141316196449632116e+03 -7.903505123130063439e-13 3.575845036405843635e-16
1.141330502932780291e+03 -8.907613638344527704e-13 4.721810166753975103e-16
1.141344809415928466e+03 -8.351949485495677032e-13 4.891809608335802642e-16
1.141359115899076642e+03 -7.810744477517704187e-13 4.580942959688655833e-16
1.141373422382224817e+03 -7.910606495507797728e-13 4.141454803072836670e-16
1.141387728865372992e+03 -7.962985422337533168e-13 3.941739527386179813e-16
1.141402035348521167e+03 -9.477440901076999021e-13 4.516640039431437138e-16
1.141416341831669342e+03 1.936368366616021328e-14 1.754027062863228032e-13
1.141430648314817518e+03 -1.399029953359806930e-13 7.769964855742764861e-16
1.141444954797965693e+03 -5.866466318725215720e-13 3.995456657234566405e-16
1.141459261281113868e+03 -5.081496026851158957e-13 2.819479564717791710e-16
1.141473567764262043e+03 -7.573654317588969427e-13 3.944484303769273712e-16
1.141487874247410218e+03 -7.303143534202104146e-13 3.930589520108965382e-16
1.141502180730558393e+03 -3.205615354664591399e-13 3.618708591901327092e-16
1.141516487213706569e+03 -2.940182326329444870e-13 3.753681071503734145e-16
1.141530793696854744e+03 -4.277972644297352144e-13 2.841345002267898410e-16
1.141545100180002919e+03 -4.356462046163687750e-13 2.563755181741649721e-16
1.141559406663151094e+03 -3.062090726245864204e-13 3.163990138026058836e-16
1.141573713146299269e+03 -2.330417467788470905e-14 6.875905405244129356e-16
1.141588019629447444e+03 -8.035409584342389993e-15 6.886387094776587291e-16
1.141602326112595620e+03 -1.739413052988242659e-14 6.815483911118311060e-16
1.141616632595743795e+03 -3.654220493378722058e-13 3.310664789941122346e-16
1.141630939078891970e+03 -3.200856270294639051e-13 3.187866519854530110e-16
1.141645245562040145e+03 -3.434609644981983376e-13 3.004237868883095795e-16
1.141659552045188320e+03 -4.159716619985603198e-13 2.140915994877355222e-16
1.141673858528336496e+03 -4.091650478028812498e-13 2.115236403512423582e-16
1.141688165011484671e+03 -3.829410665698389174e-13 2.239734945831407336e-16
1.141702471494632846e+03 -3.636783247952662489e-13 2.278406667804931311e-16
1.141716777977781021e+03 -3.195082674776518540e-13 2.792782246532599838e-16
1.141731084460929196e+03 -3.669247798696147354e-13 2.586607839418485595e-16
1.141745390944077371e+03 -3.977735239982341401e-13 1.878462494769426906e-16
1.141759697427225547e+03 -3.112621234420162653e-13 2.602024742577977678e-16
1.141774003910373722e+03 -2.909639937103433311e-13 2.761929900571721630e-16
1.141788310393521897e+03 -3.617099606195234808e-13 2.077247764632374142e-16
1.141802616876670072e+03 -3.668484366636863761e-13 1.983333462845495185e-16
1.141816923359818247e+03 -3.797077838803272004e-13 1.799406382639316234e-16
1.141831229842966422e+03 -3.948080546475671277e-13 1.747924761887558461e-16
1.141845536326114598e+03 -4.766503166956836714e-14 5.329795255081209104e-16
1.141859842809262773e+03 -5.500318619933924990e-14 5.113513704900359237e-16
1.141874149292410948e+03 -3.533925700534047988e-13 1.946234037905005120e-16
1.141888455775559123e+03 -3.469885808669329387e-13 1.858235770373632549e-16
1.141902762258707298e+03 -3.545136152628300336e-13 1.687487123188706739e-16
1.141917068741855473e+03 -3.071231835671597108e-13 2.151458553589489310e-16
1.141931375225003649e+03 -3.100994639331950752e-13 2.240890888809657755e-16
1.141945681708151824e+03 -3.315553924258795470e-13 2.301941322932672603e-16
1.141959988191299999e+03 -3.856031895523913725e-13 2.889845150013689100e-16
1.141974294674448174e+03 -3.591304102415444330e-13 1.962311439803445511e-16
1.141988601157596349e+03 -3.128539830458964029e-13 1.582703114033275901e-16
1.142002907640744525e+03 -3.137520187494476258e-13 1.504652954813954320e-16
1.142017214123892700e+03 -3.148701736812458013e-13 1.537614157687084421e-16
1.142031520607040875e+03 -2.843663827185246902e-13 2.166024275040248582e-16
1.142045827090189050e+03 -2.568508881940453967e-13 2.230719162273702372e-16
1.142060133573337225e+03 -2.683279496475992554e-13 2.132009053770654084e-16
1.142074440056485400e+03 -2.700665905165176459e-13 1.945455510034544301e-16
1.142088746539633576e+03 -2.768257405715472977e-13 1.866924098089682524e-16
1.142103053022781751e+03 -2.766205444899424894e-13 1.882966019099866156e-16
1.142117359505929926e+03 -2.658481467199069307e-13 1.498108282203336299e-16
1.142131665989078101e+03 -2.529423351046827716e-13 1.592708823651869366e-16
1.142145972472226276e+03 -2.502226980810810419e-13 1.975475802911158960e-16
1.142160278955374451e+03 -2.548963163761297745e-13 1.780339871170552908e-16
1.142174585438522627e+03 -2.410299690078637271e-13 1.285495412691575089e-16
1.142188891921670802e+03 -2.549263651269179980e-13 1.372709130911440555e-16
1.142203198404818977e+03 -1.942214218941985190e-13 2.020328524756426923e-16
1.142217504887967152e+03 -1.705999823203376988e-13 1.924222512061171152e-16
1.142231811371115327e+03 -2.136174354523119072e-13 1.400699269784435914e-16
1.142246117854263503e+03 -2.172408445678006890e-13 1.276448022286156400e-16
1.142260424337411678e+03 -2.161645151177035865e-13 1.184957364417486729e-16
1.142274730820559853e+03 -2.133623542638702160e-13 1.176377052482776687e-16
1.142289037303708028e+03 -2.201378765532029726e-13 1.329145421297702664e-16
1.142303343786856203e+03 -2.165622627905774133e-13 1.468346343724980442e-16
1.142317650270004378e+03 -1.581223246787844383e-13 1.678082748084506925e-16
1.142331956753152554e+03 -1.596994854363143993e-13 1.556297853999542695e-16
1.142346263236300729e+03 -1.997140017757976661e-13 1.093209297261131140e-16
1.142360569719448904e+03 -2.327265560887483897e-13 1.477038403562976440e-16
1.142374876202597079e+03 -2.285035575878513668e-13 1.538441718115229902e-16
1.142389182685745254e+03 -1.973933615395123729e-13 1.255472050606450618e-16
1.142403489168893429e+03 -1.645052291961464318e-13 1.572836815853856108e-16
1.142417795652041605e+03 -1.667708881934670863e-13 1.459953376844666742e-16
1.142432102135189780e+03 -1.947040518454269298e-13 1.026229838589491204e-16
1.142446408618337955e+03 -1.954752524702383071e-13 1.094849763991175733e-16
1.142460715101486130e+03 -1.927296333993061046e-13 1.142139235694766707e-16
1.142475021584634305e+03 -2.238135072809428664e-13 1.575323327115022290e-16
1.142489328067782481e+03 -2.180100773224682152e-13 1.465956306737288045e-16
1.142503634550930656e+03 -1.947274191907480418e-13 1.045250662878251979e-16
1.142517941034078831e+03 -1.916270432327988569e-13 9.600176188180509408e-17
1.142532247517227006e+03 -1.898505218922158401e-13 9.577369926088611853e-17
1.142546554000375181e+03 -1.644997933640671701e-13 1.501221199431963200e-16
1.142560860483523356e+03 -2.366091708833255209e-13 2.698180861581053602e-16
1.142575166966671532e+03 -2.053237519918454588e-13 1.404255733410621284e-16
1.142589473449819707e+03 -1.962273923203265030e-13 1.238578794405917059e-16
1.142603779932967882e+03 -1.805729911008730752e-13 8.868129025714104034e-17
1.142618086416116057e+03 -1.840986162852624935e-13 1.160809670465710872e-16
1.142632392899264232e+03 -1.715356628580260636e-13 1.403123846393743037e-16
1.142646699382412407e+03 -1.756152369527825787e-13 1.093659238507247034e-16
1.142661005865560583e+03 -1.939705881729294939e-13 1.299942288361267943e-16
1.142675312348708758e+03 -1.813558987229393871e-13 9.301554920078493139e-17
1.142689618831856933e+03 -1.763228367479501942e-13 9.236718847935350688e-17
1.142703925315005108e+03 -1.768257356746508669e-13 8.955288898922440477e-17
1.142718231798153283e+03 -1.561733928708139609e-13 1.198606349383201966e-16
1.142732538281301458e+03 -1.492341842593546356e-13 1.267742999698276253e-16
1.142746844764449634e+03 -1.510583653124424346e-13 2.193859839547991473e-16
1.142761151247597809e+03 -1.878682808229282791e-13 1.157221918702565397e-16
1.142775457730745984e+03 -1.619315958942245701e-13 8.115172675634578643e-17
1.142789764213894159e+03 -1.606519034838107348e-13 7.918045999439096753e-17
1.142804070697042334e+03 -1.582302219266950776e-13 8.205350559973902906e-17
1.142818377180190510e+03 -1.076206001637666963e-13 1.167417580966647116e-16
1.142832683663338685e+03 -9.982911607422759283e-14 1.138037144083300804e-16
1.142846990146486860e+03 -1.405253464274922067e-13 8.231350617102082161e-17
1.142861296629635035e+03 -1.407786001776432531e-13 7.650972064514501600e-17
1.142875603112783210e+03 -1.395339859110541169e-13 7.393347128561459628e-17
1.142889909595931385e+03 -1.380017633049955218e-13 7.677958364991811748e-17
1.142904216079079561e+03 -1.307028099941138859e-13 8.192940640139958074e-17
1.142918522562227736e+03 -1.522079567334228195e-13 1.094531264891815174e-16
1.142932829045375911e+03 -1.191575282660757504e-13 7.861801213509480798e-17
1.142947135528524086e+03 -1.223755691635493070e-13 7.137001672262774295e-17
1.142961442011672261e+03 -1.254237902206122566e-13 6.980967244399187825e-17
1.142975748494820436e+03 -6.388764691674500259e-14 9.969207312634055349e-17
1.142990054977968612e+03 -5.797171291195705714e-14 1.051247169536310508e-16
1.143004361461116787e+03 -1.126184506013394215e-13 8.062069084592777170e-17
1.143018667944264962e+03 -1.091902642763326135e-13 7.351040076252521513e-17
1.143032974427413137e+03 -1.130519286594271718e-13 6.773722781301231431e-17
1.143047280910561312e+03 -1.184732823480120860e-13 6.631513816315946855e-17
1.143061587393709488e+03 -1.185262436634484568e-13 6.887929771199649551e-17
1.143075893876857663e+03 -5.638917100208931803e-14 9.970791035097816103e-17
1.143090200360005838e+03 -5.348820901783878465e-14 9.782955903797277088e-17
1.143104506843154013e+03 -1.082025814789172707e-13 6.930849180151035804e-17
1.143118813326302188e+03 -1.148781899012483688e-13 6.378256985774110518e-17
1.143133119809450363e+03 -1.197006186768538266e-13 6.143107038638906233e-17
1.143147426292598539e+03 -1.366122792797857495e-13 6.795794418844057045e-17
1.143161732775746714e+03 -1.373871274635633716e-13 7.393869142832984782e-17
1.143176039258894889e+03 -1.155521218967828457e-13 7.020777501807861352e-17
1.143190345742043064e+03 -1.142026232820219354e-13 6.410202918996121230e-17
1.143204652225191239e+03 -6.667013292326553347e-14 7.697348861123161068e-17
1.143218958708339414e+03 -7.028406921190627524e-14 7.670884550358435112e-17
1.143233265191487590e+03 -1.291216626455664804e-13 5.947444342998804412e-17
1.143247571674635765e+03 -1.269056008624658898e-13 6.357859181711777168e-17
1.143261878157783940e+03 -1.210814631820797703e-13 6.459357558122741740e-17
1.143276184640932115e+03 -1.218124472978234239e-13 6.095043318938956867e-17
1.143290491124080290e+03 -1.266237562671542205e-13 5.625255058828626431e-17
1.143304797607228465e+03 -1.324781398928884043e-13 5.535122956816006477e-17
1.143319104090376641e+03 -7.331180231492923621e-14 7.626666599703691131e-17
1.143333410573524816e+03 -7.145776787524047747e-14 8.127214244069370442e-17
1.143347717056672991e+03 -4.811412731462187256e-14 1.427232144100232232e-16
1.143362023539821166e+03 -6.834250978786467966e-14 7.366869597701942681e-17
1.143376330022969341e+03 -6.948029618698980428e-14 6.924460400440501791e-17
1.143390636506117517e+03 -1.269990710581682918e-13 5.115998141295097201e-17
1.143404942989265692e+03 -1.278169839491965927e-13 5.318325730594026768e-17
1.143419249472413867e+03 -1.212584226955508267e-13 5.604107127396354709e-17
1.143433555955562042e+03 -6.057103758650693523e-14 7.385147744955455115e-17
1.143447862438710217e+03 -1.251491799000892877e-13 5.923207199661280603e-17
1.143462168921858392e+03 -6.524171537616738425e-14 7.548243802664112520e-17
1.143476475405006568e+03 -6.525933677662492537e-14 7.413407134575562483e-17
1.143490781888154743e+03 -1.104478384126917338e-13 5.100715725304759512e-17
1.143505088371302918e+03 -4.432950724483887839e-14 1.457446131946842601e-16
1.143519394854451093e+03 -4.187462849938040230e-14 1.256979460782736844e-16
1.143533701337599268e+03 -5.530876974608995301e-14 6.721692786977600692e-17
1.143548007820747443e+03 -5.592317923711011084e-14 6.255259064182974615e-17
1.143562314303895619e+03 -5.690347432353986036e-14 6.209852991339009271e-17
1.143576620787043794e+03 -9.659045845514887578e-14 5.085619351072474112e-17
1.143590927270191969e+03 -9.241681017081011339e-14 5.536623944859464533e-17
1.143605233753340144e+03 -8.833893245056226875e-14 5.905505197699579114e-17
1.143619540236488319e+03 -8.334221223963845620e-14 6.454789660844849051e-17
1.143633846719636495e+03 -8.255578492733211392e-14 6.054689097189417321e-17
1.143648153202784670e+03 -7.808287693278410291e-14 4.713686079708670781e-17
1.143662459685932845e+03 -6.521034768814486372e-14 6.883067606560713111e-17
1.143676766169081020e+03 -5.953975303799974993e-14 6.589444202212979246e-17
1.143691072652229195e+03 -6.469958100600200509e-14 5.053311127805274957e-17
1.143705379135377370e+03 -6.362661890552394709e-14 4.740336630021557100e-17
1.143719685618525546e+03 -6.662143366803951031e-14 4.727633097686732919e-17
1.143733992101673721e+03 -6.485252453467119973e-14 4.488726841528271200e-17
1.143748298584821896e+03 -6.058034710309820043e-14 4.322317894907793381e-17
1.143762605067970071e+03 -4.892946354817190937e-14 6.223164381142957476e-17
1.143776911551118246e+03 -4.570051594442063341e-14 7.400393562487557036e-17
1.143791218034266421e+03 -4.340422958879298654e-14 7.141094179153971311e-17
1.143805524517414597e+03 -4.164742328656808864e-14 5.409222427882180229e-17
1.143819831000562772e+03 -4.045034892520795326e-14 5.357992927316035009e-17
1.143834137483710947e+03 -3.920457386716145566e-14 5.532273517260347381e-17
1.143848443966859122e+03 -7.161855062356380935e-14 5.886835118602279796e-17
1.143862750450007297e+03 -7.087310668350520031e-14 5.868744874229529558e-17
1.143877056933155473e+03 -5.858225776709404182e-14 4.158712208327752321e-17
1.143891363416303648e+03 -4.068968302599247616e-14 5.169552805697398963e-17
1.143905669899451823e+03 -4.142318849169303472e-14 5.111151537921682471e-17
1.143919976382599998e+03 -4.226616035541135666e-14 5.315533461239339687e-17
1.143934282865748173e+03 -6.011051483086531665e-14 4.300183003456963462e-17
1.143948589348896348e+03 -4.444422699751819364e-14 9.792326281754945021e-17
1.143962895832044524e+03 -4.469230250101678692e-14 9.273518783619562674e-17
1.143977202315192699e+03 -6.516149612748429476e-14 3.957923382679278933e-17
