# obs_wvl flux error
1.581000000000000000e+03 -2.241276117697534078e-14 1.629838835043436463e-14
1.582548134384278001e+03 -1.306827215578335392e-14 8.656953574465317704e-15
1.584096268768556001e+03 -1.024942800367574407e-14 5.586105762349503424e-15
1.585644403152834002e+03 -6.900194277023637894e-15 4.137636781170125770e-15
1.587192537537112003e+03 1.702118028925743120e-15 3.348347948236763389e-15
1.588740671921390003e+03 1.011645544675819183e-15 2.753440792318019142e-15
1.590288806305668004e+03 -4.393763085540480224e-15 2.388786825435024535e-15
1.591836940689946005e+03 -6.697444474540819257e-15 2.071909098093826822e-15
1.593385075074224005e+03 -6.145621863219272251e-15 1.831604017667763587e-15
1.594933209458502006e+03 -4.670305746403732160e-15 1.655445407136462670e-15
1.596481343842780007e+03 -4.121486701640683605e-15 1.451037560753738306e-15
1.598029478227058007e+03 -1.050278795081282649e-15 1.398854931438981630e-15
1.599577612611336008e+03 -1.003928930083937483e-15 1.219743633769524615e-15
1.601125746995614008e+03 -2.034031875990127029e-15 1.064531764133757403e-15
1.602673881379892009e+03 -1.579505493323774238e-15 9.730398643809399799e-16
1.604222015764170010e+03 -1.885144626440214338e-15 8.484210854157532552e-16
1.605770150148448010e+03 -1.433031790884808489e-15 7.906893314106900372e-16
1.607318284532726011e+03 3.800975705741631381e-16 7.858289619350084332e-16
1.608866418917004012e+03 3.570353379562687471e-16 7.089799177162362900e-16
1.610414553301282012e+03 -4.702038551922143653e-16 6.378474497830332414e-16
1.611962687685560013e+03 -1.354904349707543913e-16 5.959893996918097511e-16
1.613510822069838014e+03 -7.004167114034680086e-16 5.198759607906581440e-16
1.615058956454116014e+03 -1.389309721243418079e-15 4.587015184599183537e-16
1.616607090838394015e+03 -4.762028526315864426e-16 4.676583743239591092e-16
1.618155225222672016e+03 -4.571282051545723864e-17 4.495711872006518492e-16
1.619703359606950016e+03 2.627841956077495706e-16 4.213675310390675992e-16
1.621251493991228017e+03 -2.250581804336630545e-16 3.723142366388577969e-16
1.622799628375506018e+03 -1.417314858471601089e-16 3.675632825480605634e-16
1.624347762759784018e+03 3.191455889279533874e-17 3.509527379181384971e-16
1.625895897144062019e+03 -4.093787392201393081e-17 3.244592225916501979e-16
1.627444031528340020e+03 9.362824801414402438e-16 3.515649660266651262e-16
1.628992165912618020e+03 8.736610516164636463e-16 3.220371790015543497e-16
1.630540300296896021e+03 2.154486488818434838e-16 2.847581699187328814e-16
1.632088434681174022e+03 5.999775543256725133e-16 2.896421372259899225e-16
1.633636569065452022e+03 5.545099959370453818e-16 2.786489389623897010e-16
1.635184703449730023e+03 3.870238688942229716e-16 2.610904349669498727e-16
1.636732837834008023e+03 3.912698136293637218e-16 2.479911218002546480e-16
1.638280972218286024e+03 6.253987851385582783e-16 2.501126614988841361e-16
1.639829106602564025e+03 5.635838611154278968e-16 2.370847073416427694e-16
1.641377240986842025e+03 7.558732358921071222e-16 2.348920758147298511e-16
1.642925375371120026e+03 7.410168699819850109e-16 2.294644398398912865e-16
1.644473509755398027e+03 6.994412095581771123e-16 2.211897937928046908e-16
1.646021644139676027e+03 9.240978583273562911e-16 2.239806114416824333e-16
1.647569778523954028e+03 8.050028488916119170e-16 2.124329349935461285e-16
1.649117912908232029e+03 8.721529950993500645e-16 2.108096119814221568e-16
1.650666047292510029e+03 9.210451218215130992e-16 2.062238869551949997e-16
1.652214181676788030e+03 7.458084526694278638e-16 1.957861440347610389e-16
1.653762316061066031e+03 1.129267144423232660e-15 2.065502800020742087e-16
1.655310450445344031e+03 1.023411351575318498e-15 1.963661373125619445e-16
1.656858584829622032e+03 8.181308156035782799e-16 1.856315335598845129e-16
1.658406719213900033e+03 1.128064646056103694e-15 1.935278811272815909e-16
1.659954853598178033e+03 1.503774592087399655e-15 2.007387618881686622e-16
1.661502987982456034e+03 1.551528018542177110e-15 1.983787025879769413e-16
1.663051122366734035e+03 1.524351093474915929e-15 1.936506391811383786e-16
1.664599256751012035e+03 1.760367703996043415e-15 1.989210404874536169e-16
1.666147391135290036e+03 1.812313146547386050e-15 1.988116143003533963e-16
1.667695525519568037e+03 1.983833432793597765e-15 2.025960896724275232e-16
1.669243659903846037e+03 1.830497521825670375e-15 1.913847140605090433e-16
1.670791794288124038e+03 1.397635671171032024e-15 1.747425893843406631e-16
1.672339928672402039e+03 1.375730723500320238e-15 1.755373959234818571e-16
1.673888063056680039e+03 1.482132768705759280e-15 1.760818540005590165e-16
1.675436197440958040e+03 1.659457121760188765e-15 1.775451519127032185e-16
1.676984331825236040e+03 1.842823026272332931e-15 1.817461930359787381e-16
1.678532466209514041e+03 1.463488385053980507e-15 1.675265111391895416e-16
1.680080600593792042e+03 1.382426406672602371e-15 1.652685069111398323e-16
1.681628734978070042e+03 1.327744242171469194e-15 1.618677567220717602e-16
