# SN2009IP lc6502060 G160M FUV z=0.006  cos default calcos x1dsum
# segment rest_wvl obs_wvl flux error gross dq mask
FUVA 1576.1312 1585.5880 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.1434 1585.6002 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.1555 1585.6125 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.1677 1585.6247 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.1799 1585.6370 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.1920 1585.6492 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.2042 1585.6614 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.2164 1585.6737 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.2286 1585.6859 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.2407 1585.6982 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.2529 1585.7104 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.2651 1585.7227 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.2772 1585.7349 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.2894 1585.7471 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.3016 1585.7594 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.3137 1585.7716 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.3259 1585.7839 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.3381 1585.7961 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.3502 1585.8083 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.3624 1585.8206 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.3746 1585.8328 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.3867 1585.8451 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.3989 1585.8573 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.4111 1585.8696 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.4233 1585.8818 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.4354 1585.8940 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.4476 1585.9063 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.4598 1585.9185 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.4719 1585.9308 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.4841 1585.9430 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.4963 1585.9552 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.5084 1585.9675 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.5206 1585.9797 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.5328 1585.9920 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.5449 1586.0042 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.5571 1586.0165 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.5693 1586.0287 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.5814 1586.0409 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.5936 1586.0532 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.6058 1586.0654 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.6180 1586.0777 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.6301 1586.0899 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.6423 1586.1021 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.6545 1586.1144 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.6666 1586.1266 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.6788 1586.1389 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.6910 1586.1511 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.7031 1586.1634 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.7153 1586.1756 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.7275 1586.1878 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.7396 1586.2001 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.7518 1586.2123 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.7640 1586.2246 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.7761 1586.2368 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.7883 1586.2490 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.8005 1586.2613 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.8127 1586.2735 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.8248 1586.2858 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.8370 1586.2980 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.8492 1586.3103 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.8613 1586.3225 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.8735 1586.3347 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.8857 1586.3470 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.8978 1586.3592 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.9100 1586.3715 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.9222 1586.3837 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.9343 1586.3959 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.9465 1586.4082 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.9587 1586.4204 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.9708 1586.4327 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.9830 1586.4449 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1576.9952 1586.4572 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.0074 1586.4694 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.0195 1586.4816 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.0317 1586.4939 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.0439 1586.5061 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.0560 1586.5184 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.0682 1586.5306 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.0804 1586.5428 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.0925 1586.5551 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.1047 1586.5673 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.1169 1586.5796 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.1290 1586.5918 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.1412 1586.6041 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.1534 1586.6163 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.1655 1586.6285 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.1777 1586.6408 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.1899 1586.6530 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.2021 1586.6653 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.2142 1586.6775 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.2264 1586.6897 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.2386 1586.7020 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.2507 1586.7142 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.2629 1586.7265 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.2751 1586.7387 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.2872 1586.7510 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.2994 1586.7632 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.3116 1586.7754 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.3237 1586.7877 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.3359 1586.7999 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.3481 1586.8122 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.3602 1586.8244 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.3724 1586.8366 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.3846 1586.8489 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.3967 1586.8611 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.4089 1586.8734 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.4211 1586.8856 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.4333 1586.8979 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.4454 1586.9101 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.4576 1586.9223 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.4698 1586.9346 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.4819 1586.9468 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.4941 1586.9591 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.5063 1586.9713 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.5184 1586.9835 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.5306 1586.9958 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.5428 1587.0080 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.5549 1587.0203 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.5671 1587.0325 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.5793 1587.0448 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.5914 1587.0570 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.6036 1587.0692 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.6158 1587.0815 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.6280 1587.0937 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1577.6401 1587.1060 0.000000e+00 0.000000e+00 0.0000e+00 128 0
