# obs_wvl flux error
1.403832475914807219e+03 2.789136982015035481e-15 3.667387963815103499e-15
1.403844718207672031e+03 2.709614365059721374e-15 3.565015453048121980e-15
1.403856960500536843e+03 4.053234887830033619e-17 2.449491285385865056e-15
1.403869202793401655e+03 2.749407198039898723e-15 3.562233529537727962e-15
1.403881445086266467e+03 1.375446871643839859e-15 3.090701592491527654e-15
1.403893687379131279e+03 1.333896447421823184e-15 3.088799728359276276e-15
1.403905929671996091e+03 -3.730103406428332692e-17 2.444397461943452423e-15
1.403918171964860903e+03 -3.663613621769859410e-17 2.443420802838871399e-15
1.403930414257725715e+03 -3.599456080794548331e-17 2.442444797413810466e-15
1.403942656550590527e+03 5.399346148245454517e-17 2.442918888088310442e-15
1.403954898843455339e+03 2.752633423331637772e-15 3.553503100904348654e-15
1.403967141136320151e+03 1.333646188354620334e-15 3.080698478429526267e-15
1.403979383429184963e+03 1.277844134860575657e-17 2.439380822403787822e-15
1.403991625722049776e+03 1.427587003740173690e-15 3.079259929605093745e-15
1.404003868014914588e+03 2.704017007985219126e-15 3.546464256869183500e-15
1.404016110307779400e+03 -3.206487834124437597e-17 2.435626613174935898e-15
1.404028352600644212e+03 -3.157257974635217131e-17 2.434654223035648249e-15
1.404040594893509024e+03 1.835020802322674474e-17 2.434632431128478381e-15
1.404052837186373836e+03 1.382503299857328864e-15 3.072029909569273625e-15
1.404065079479238648e+03 1.382823598327351794e-15 3.070664804254503181e-15
1.404077321772103460e+03 1.383042902763899568e-15 3.069223633347426276e-15
1.404089564064968272e+03 1.435431120797371069e-15 3.068742167900246970e-15
1.404101806357833084e+03 2.797433655371726161e-15 3.532416587769536950e-15
1.404114048650697896e+03 2.744848132064997606e-15 3.530370910565661043e-15
1.404126290943562708e+03 1.330792562576572764e-15 3.063124885713392035e-15
1.404138533236427520e+03 2.654092203307952190e-17 2.427076364572159169e-15
1.404150775529292332e+03 1.385046209197956821e-15 3.061356721490853543e-15
1.404163017822157144e+03 1.440905319989727683e-15 3.060914866493752089e-15
