# SN2009IP oc6501010 G230LB CCD z=0.006 a2center=893.4 extrsize=7 exptime=600.0 mode=adaptive_es7@0.98 flags=none
# rest_wvl obs_wvl flux error net dq mask
1652.6598 1662.5758 -2.673349e-14 2.025696e-14 -6.092722e-02 16912 0
1654.0219 1663.9460 -8.055384e-15 1.603670e-14 -1.900612e-02 16384 0
1655.3840 1665.3163 5.521006e-16 1.595728e-14 1.350973e-03 16384 0
1656.7461 1666.6865 8.057125e-15 1.522688e-14 1.902887e-02 0 0
1658.1082 1668.0568 -2.809464e-14 1.439806e-14 -7.392131e-02 16384 0
1659.4703 1669.4271 -1.823512e-14 1.485676e-14 -4.975469e-02 16400 0
1660.8325 1670.7975 -1.212737e-15 1.362604e-14 -3.433103e-03 16384 0
1662.1946 1672.1678 4.486332e-15 1.383472e-14 1.146180e-02 0 0
1663.5568 1673.5381 -4.235773e-14 2.728225e-14 -1.289677e-01 16400 0
1664.9190 1674.9085 -1.457233e-15 1.350395e-14 -4.599661e-03 16384 0
1666.2812 1676.2789 -1.416346e-14 1.508696e-14 -4.632144e-02 16400 0
1667.6434 1677.6493 -1.251189e-15 1.448802e-14 -4.238261e-03 16384 0
1669.0057 1679.0197 -1.668633e-14 1.731582e-14 -5.849816e-02 16400 0
1670.3679 1680.3901 -2.092452e-15 1.118980e-14 -7.587496e-03 16384 0
1671.7302 1681.7606 -2.460440e-14 1.143849e-14 -9.218635e-02 16400 0
1673.0925 1683.1310 1.298557e-14 1.081525e-14 4.358317e-02 0 0
1674.4547 1684.5015 1.020893e-14 1.316419e-14 3.516284e-02 16 0
1675.8171 1685.8720 1.607783e-14 1.384138e-14 5.767960e-02 16 0
1677.1794 1687.2425 -4.564136e-14 3.318727e-14 -1.929100e-01 16400 0
1678.5417 1688.6130 5.414506e-15 9.015925e-15 2.004065e-02 0 0
1679.9041 1689.9835 -5.849669e-15 8.886921e-15 -2.608369e-02 16384 0
1681.2664 1691.3540 9.934484e-15 9.455532e-15 3.931584e-02 16 0
1682.6288 1692.7246 -1.462609e-15 9.241965e-15 -6.852760e-03 16400 0
1683.9912 1694.0952 2.642922e-15 8.134444e-15 1.060021e-02 0 0
1685.3536 1695.4657 1.101710e-14 8.288145e-15 4.697396e-02 0 0
1686.7160 1696.8363 1.797906e-14 8.287505e-15 7.935502e-02 0 0
1688.0785 1698.2069 -2.574116e-14 1.307588e-14 -1.318475e-01 16400 0
1689.4409 1699.5776 -7.528663e-15 7.315049e-15 -3.936370e-02 16384 0
1690.8034 1700.9482 6.286849e-15 7.459585e-15 2.881888e-02 0 0
1692.1659 1702.3189 -7.193611e-15 7.127465e-15 -3.912615e-02 16384 0
1693.5284 1703.6895 1.081261e-14 7.262827e-15 5.220933e-02 0 0
1694.8909 1705.0602 2.933447e-15 6.909910e-15 1.396838e-02 0 0
1696.2534 1706.4309 -4.956839e-15 6.683585e-15 -2.849716e-02 16384 0
1697.6159 1707.8016 3.298428e-15 6.622247e-15 1.634857e-02 0 0
1698.9785 1709.1723 -7.731627e-15 6.779705e-15 -4.602253e-02 16384 0
1700.3410 1710.5431 -5.066817e-15 7.581448e-15 -3.067124e-02 16400 0
1701.7036 1711.9138 -1.622632e-14 8.222511e-15 -9.984507e-02 16400 0
1703.0662 1713.2846 1.802127e-15 6.406701e-15 9.366223e-03 0 0
1704.4288 1714.6554 2.980588e-15 6.212265e-15 1.602324e-02 0 0
1705.7914 1716.0262 -3.547207e-15 6.159780e-15 -2.288293e-02 16384 0
1707.1541 1717.3970 -3.081550e-15 6.574566e-15 -2.018106e-02 16384 0
1708.5167 1718.7678 -7.964130e-15 6.538421e-15 -5.293899e-02 16384 0
1709.8794 1720.1386 9.350845e-15 6.183767e-15 5.499570e-02 0 0
1711.2420 1721.5095 2.869390e-14 1.575812e-14 1.768049e-01 16 0
1712.6047 1722.8803 9.011315e-16 5.632093e-15 5.022256e-03 0 0
1713.9674 1724.2512 -2.040762e-15 5.584389e-15 -1.436202e-02 16384 0
1715.3301 1725.6221 -2.604744e-16 5.559755e-15 -1.956490e-03 0 0
1716.6929 1726.9930 -2.751110e-14 1.476743e-14 -1.989756e-01 16400 0
1718.0556 1728.3639 -1.079646e-15 5.192136e-15 -7.913952e-03 16384 0
1719.4183 1729.7349 -8.407989e-15 5.058547e-15 -6.245424e-02 16384 0
1720.7811 1731.1058 5.542868e-15 6.950149e-15 3.600733e-02 16 0
1722.1439 1732.4768 3.639186e-15 5.101397e-15 2.371058e-02 0 0
1723.5067 1733.8477 6.275910e-15 5.351965e-15 4.198685e-02 0 0
1724.8695 1735.2187 -2.958524e-15 5.064139e-15 -2.314313e-02 16384 0
1726.2323 1736.5897 -5.071944e-15 5.974018e-15 -4.017695e-02 16400 0
1727.5952 1737.9607 -1.058816e-14 5.913931e-15 -8.492313e-02 16400 0
1728.9580 1739.3317 1.881957e-15 4.864388e-15 1.282539e-02 0 0
1730.3209 1740.7028 9.663746e-15 5.006055e-15 6.965755e-02 0 0
1731.6837 1742.0738 1.461568e-14 5.029514e-15 1.078940e-01 0 0
1733.0466 1743.4449 -4.158753e-15 4.617829e-15 -3.501759e-02 16384 0
1734.4095 1744.8160 -4.220327e-15 4.568972e-15 -3.596007e-02 16384 0
1735.7724 1746.1871 6.267929e-17 4.563858e-15 8.199108e-05 0 0
1737.1354 1747.5582 6.890788e-15 4.692779e-15 5.232695e-02 0 0
1738.4983 1748.9293 -8.078420e-16 4.541674e-15 -7.128789e-03 16384 0
1739.8612 1750.3004 7.371057e-15 5.261687e-15 5.741139e-02 16 0
1741.2242 1751.6716 1.880523e-15 4.963903e-15 1.429144e-02 0 0
1742.5872 1753.0427 5.946999e-16 4.709666e-15 4.284716e-03 0 0
1743.9502 1754.4139 -3.570863e-15 4.151233e-15 -3.298535e-02 16384 0
1745.3132 1755.7851 -4.013900e-15 4.670540e-15 -3.749595e-02 16400 0
1746.6762 1757.1563 -8.059550e-15 4.348296e-15 -7.613169e-02 16384 0
1748.0392 1758.5275 3.177110e-16 4.401576e-15 2.213814e-03 16 0
1749.4023 1759.8987 1.584898e-15 4.021336e-15 1.282406e-02 0 0
1750.7653 1761.2699 2.058726e-15 4.021869e-15 1.699380e-02 0 0
1752.1284 1762.6412 -2.861867e-15 4.683898e-15 -2.823534e-02 16400 0
1753.4915 1764.0124 4.903836e-15 4.123098e-15 4.233788e-02 0 0
1754.8546 1765.3837 -8.918492e-16 4.680531e-15 -8.986785e-03 16400 0
1756.2177 1766.7550 -2.158195e-15 4.390121e-15 -2.197398e-02 16400 0
1757.5808 1768.1263 2.601679e-15 3.812590e-15 2.281523e-02 0 0
1758.9439 1769.4976 2.272410e-15 3.768792e-15 2.005946e-02 0 0
1760.3070 1770.8689 -2.138062e-15 3.994168e-15 -2.244411e-02 16384 0
1761.6702 1772.2402 4.545870e-16 4.214254e-15 3.737309e-03 16 0
