# SN2009IP ocdd01040 G140L MAMA z=0.006 a2center=1020.2 extrsize=11 exptime=518.0 mode=fixed flags=low_detect,center_mismatch(1020vs323)
# rest_wvl obs_wvl flux error net dq mask
1110.7116 1117.3758 0.000000e+00 0.000000e+00 7.552733e-04 2580 0
1111.2932 1117.9610 0.000000e+00 0.000000e+00 6.512579e-04 2564 0
1111.8749 1118.5462 0.000000e+00 0.000000e+00 -7.396252e-05 2564 0
1112.4566 1119.1313 0.000000e+00 0.000000e+00 -7.396254e-05 2564 0
1113.0383 1119.7165 0.000000e+00 0.000000e+00 -7.879870e-05 2564 0
1113.6199 1120.3017 0.000000e+00 0.000000e+00 -5.185575e-07 2564 0
1114.2016 1120.8868 0.000000e+00 0.000000e+00 -1.602159e-06 2564 0
1114.7833 1121.4720 0.000000e+00 0.000000e+00 9.923679e-07 2564 0
1115.3650 1122.0571 0.000000e+00 0.000000e+00 6.670221e-04 2564 0
1115.9466 1122.6423 0.000000e+00 0.000000e+00 1.343295e-06 2564 0
1116.5283 1123.2275 0.000000e+00 0.000000e+00 -1.586950e-04 2564 0
1117.1100 1123.8126 0.000000e+00 0.000000e+00 -1.588508e-04 2564 0
1117.6916 1124.3978 0.000000e+00 0.000000e+00 -1.621460e-04 2564 0
1118.2733 1124.9830 0.000000e+00 0.000000e+00 -1.627585e-04 2564 0
1118.8550 1125.5681 0.000000e+00 0.000000e+00 1.765489e-03 2564 0
1119.4367 1126.1533 0.000000e+00 0.000000e+00 -1.637411e-04 2564 0
1120.0183 1126.7384 0.000000e+00 0.000000e+00 -1.634997e-04 2564 0
1120.6000 1127.3236 0.000000e+00 0.000000e+00 -1.621718e-04 2564 0
1121.1817 1127.9088 0.000000e+00 0.000000e+00 -1.642055e-04 2564 0
1121.7634 1128.4939 0.000000e+00 0.000000e+00 -1.625315e-04 2564 0
1122.3450 1129.0791 0.000000e+00 0.000000e+00 -1.640584e-04 2564 0
1122.9267 1129.6643 0.000000e+00 0.000000e+00 -1.627309e-04 2564 0
1123.5084 1130.2494 0.000000e+00 0.000000e+00 -1.656003e-04 2564 0
1124.0900 1130.8346 0.000000e+00 0.000000e+00 -1.643707e-04 2564 0
1124.6717 1131.4197 0.000000e+00 0.000000e+00 -1.672539e-04 2564 0
1125.2534 1132.0049 0.000000e+00 0.000000e+00 -1.673436e-04 2564 0
1125.8351 1132.5901 0.000000e+00 0.000000e+00 -1.680440e-04 2564 0
1126.4167 1133.1752 0.000000e+00 0.000000e+00 2.540173e-03 2564 0
1126.9984 1133.7604 0.000000e+00 0.000000e+00 -1.688049e-04 2564 0
1127.5801 1134.3455 0.000000e+00 0.000000e+00 -1.683186e-04 2564 0
1128.1617 1134.9307 0.000000e+00 0.000000e+00 -1.710131e-04 2564 0
1128.7434 1135.5159 0.000000e+00 0.000000e+00 -1.721639e-04 2564 0
1129.3251 1136.1010 0.000000e+00 0.000000e+00 -1.698254e-04 2564 0
1129.9068 1136.6862 0.000000e+00 0.000000e+00 -1.685474e-04 2564 0
