# obs_wvl flux error
1.595000000000000000e+03 -1.585136696676518317e-16 4.834435413408539939e-15
1.598096607450387182e+03 2.422423960447321706e-15 2.694646851625582287e-15
1.601193214900774365e+03 1.222398053275539272e-15 2.084073184978310052e-15
1.604289822351161547e+03 2.877214711854191138e-15 1.711085136745252843e-15
1.607386429801548729e+03 9.753751033280990234e-16 1.446325536788250633e-15
1.610483037251935912e+03 1.509107342941278651e-16 1.168950304231919798e-15
1.613579644702323094e+03 3.366912985653627833e-16 1.006205826865758787e-15
1.616676252152710276e+03 2.110257166993476570e-15 9.830819982973620917e-16
1.619772859603097459e+03 1.787189300286499918e-16 7.403561026137419844e-16
1.622869467053484641e+03 1.625453324229931988e-16 6.572268404165347388e-16
1.625966074503871823e+03 7.386566479301660176e-16 6.283022213086319567e-16
1.629062681954259006e+03 -3.099072137621476194e-16 5.069067368204798340e-16
1.632159289404646188e+03 -1.974412579712216293e-16 4.608006120472083373e-16
1.635255896855033370e+03 7.652966349499940043e-17 4.316805217975485519e-16
1.638352504305420553e+03 -2.187637158573565889e-16 3.900137687228685223e-16
1.641449111755807735e+03 1.185864810668325254e-16 3.799960674228401639e-16
1.644545719206194917e+03 -2.096358091341083614e-16 3.316775226859087788e-16
1.647642326656582100e+03 6.829173340419020514e-17 3.252466881821409567e-16
1.650738934106969282e+03 8.663047276349860644e-16 3.574423699872435901e-16
1.653835541557356464e+03 4.552873385820972027e-16 3.103687419935573456e-16
1.656932149007743647e+03 3.644397783770764614e-16 2.860251115691736429e-16
1.660028756458130829e+03 4.858862164040247922e-17 2.493889965017222400e-16
1.663125363908518011e+03 2.614582481225536264e-16 2.565817815196901899e-16
1.666221971358905193e+03 -2.257567708376076986e-17 2.307277352345902409e-16
1.669318578809292376e+03 1.714816558468649854e-16 2.397116049576293549e-16
1.672415186259679558e+03 1.961076532825005902e-16 2.309390153238752179e-16
1.675511793710066740e+03 -4.055988430792595127e-17 2.073249047729372982e-16
1.678608401160453923e+03 -8.180750672083178592e-18 2.139157653627596657e-16
1.681705008610841105e+03 -8.805289697550535812e-17 1.903510787516017868e-16
1.684801616061228287e+03 -1.535993774616913217e-16 1.737319653687993571e-16
1.687898223511615470e+03 1.930153576299979677e-16 1.920163755728214354e-16
1.690994830962002652e+03 -2.934686105544514965e-16 1.549623748390844044e-16
1.694091438412389834e+03 -3.415972841599865087e-16 1.528005401137297704e-16
1.697188045862777017e+03 -4.252734711540524970e-16 1.367993139425451940e-16
1.700284653313164199e+03 2.130353198472883665e-17 1.656799879482869870e-16
1.703381260763551381e+03 -4.959918490478258120e-18 1.598473107570582887e-16
1.706477868213938564e+03 -1.975285382953514990e-16 1.399420012471438765e-16
1.709574475664325746e+03 -6.020544544350974479e-18 1.496474660891750147e-16
1.712671083114712928e+03 9.977778790182255529e-17 1.537803297642198498e-16
1.715767690565100111e+03 -8.297566889593239967e-17 1.347981287339004908e-16
1.718864298015487293e+03 8.475422515528477951e-17 1.476954916210865913e-16
1.721960905465874475e+03 -1.537518929469077855e-16 1.321967825457987950e-16
1.725057512916261658e+03 -1.149557226760522866e-16 1.289100733879720286e-16
1.728154120366648840e+03 1.782243533721603966e-16 1.445397261140847908e-16
1.731250727817036022e+03 -1.715112226161752764e-16 1.143100856383285811e-16
1.734347335267423205e+03 6.055398900312170203e-17 1.284662450492662426e-16
1.737443942717810387e+03 -1.203264100831472266e-16 1.157056645804209105e-16
1.740540550168197569e+03 -6.472368463112754044e-17 1.170619746313404375e-16
1.743637157618584752e+03 8.880297992026653898e-17 1.239031824441134654e-16
1.746733765068971934e+03 -1.126938831676308608e-16 1.074628682607171227e-16
1.749830372519359116e+03 1.224589722135775817e-16 1.221364361912088832e-16
1.752926979969746299e+03 4.879131276955851470e-17 1.170858108476395333e-16
1.756023587420133481e+03 -1.241523004751173569e-17 1.116185419837727945e-16
1.759120194870520663e+03 -4.776681355827194046e-17 1.052762754633846852e-16
1.762216802320907846e+03 1.218550394582358723e-16 1.174162109976965801e-16
1.765313409771295028e+03 -1.287978759288125512e-16 9.719949228991002079e-17
1.768410017221682210e+03 1.032823386964961100e-16 1.104845123736560484e-16
1.771506624672069393e+03 7.858040680334060271e-17 1.076739589950149680e-16
1.774603232122456575e+03 7.029160816771538025e-18 9.745945183153001467e-17
1.777699839572843757e+03 1.135508952730793413e-16 1.029465207653188793e-16
1.780796447023230940e+03 1.059232239478974330e-16 1.040036812133891914e-16
1.783893054473618122e+03 3.743451706967092713e-17 9.737948794686747693e-17
1.786989661924005304e+03 1.049661493774003049e-16 1.033582568979139298e-16
1.790086269374392486e+03 8.635825680224030718e-17 9.799037356742466147e-17
1.793182876824779669e+03 -4.182282507788152925e-17 8.717446994551474872e-17
1.796279484275166851e+03 -1.936222401257800265e-17 8.837151628643472902e-17
1.799376091725554033e+03 1.364806796454036569e-17 8.949302431457861496e-17
1.802472699175941216e+03 -2.854969709244491298e-17 8.618477942018924813e-17
1.805569306626328398e+03 -8.154718302954914014e-17 8.104909583193788345e-17
1.808665914076715580e+03 -1.547907613014558761e-16 7.240625316112259299e-17
1.811762521527102763e+03 9.825906396184398782e-17 8.942113479918149058e-17
1.814859128977489945e+03 -5.351042519178893877e-17 7.511408988567507776e-17
1.817955736427877127e+03 5.204058076586092366e-17 8.120808750176022373e-17
1.821052343878264310e+03 8.398434638330215194e-17 8.275582226665335471e-17
1.824148951328651492e+03 -3.975096316213067004e-17 7.555860298258419868e-17
1.827245558779038674e+03 8.652078143521167827e-17 8.203964144173676079e-17
1.830342166229425857e+03 1.048459145390321880e-16 8.240113348230485731e-17
1.833438773679813039e+03 1.890898985784997538e-17 7.634096500280696215e-17
1.836535381130200221e+03 4.403511134877984548e-17 7.788969226324654810e-17
1.839631988580587404e+03 2.944078079081766727e-17 7.594541692374861452e-17
1.842728596030974586e+03 1.494460056155600315e-17 7.216241529374704534e-17
