# obs_wvl flux error
2.977000000000000000e+03 3.977665873273247138e-15 3.794934449710452061e-16
2.979747390455672303e+03 4.750930483382783063e-15 3.842370139425035603e-16
2.982494780911344606e+03 4.623545242753712290e-15 3.628630317283318644e-16
2.985242171367016908e+03 2.822895652481672170e-15 3.259750087202426235e-16
2.987989561822689211e+03 4.609268317063927119e-15 3.459169237632460790e-16
2.990736952278361514e+03 4.358694314383524770e-15 4.072806145444582396e-16
2.993484342734033817e+03 4.615055591854397122e-15 3.323084749456434392e-16
2.996231733189706119e+03 3.630921186194958635e-15 3.206539172534421933e-16
2.998979123645378422e+03 3.927574166504224507e-15 3.238467713340775508e-16
3.001726514101050725e+03 4.099780197614084369e-15 4.654945004298262224e-16
3.004473904556723028e+03 3.008559908300140175e-15 6.300376975620346398e-16
3.007221295012395331e+03 3.786202447398340900e-15 3.191264443372052994e-16
3.009968685468067633e+03 3.950954604909128742e-15 3.066471415981103499e-16
3.012716075923739936e+03 4.543751580788846151e-15 3.131169095601103649e-16
3.015463466379412239e+03 4.166939526865315952e-15 3.146413873565121844e-16
3.018210856835084542e+03 4.510578241506967636e-15 3.024812438223579307e-16
3.020958247290756844e+03 4.242040121682566728e-15 3.015278068867754167e-16
3.023705637746429147e+03 4.240254073648484330e-15 2.907456522220280820e-16
3.026453028202101450e+03 4.530131978610224055e-15 2.957755498698118774e-16
3.029200418657773753e+03 4.257714826908399912e-15 2.806437206681628511e-16
3.031947809113446056e+03 5.860061524956604498e-15 3.087717000857459025e-16
3.034695199569118358e+03 3.866453438175480409e-15 2.934058457914323725e-16
3.037442590024790661e+03 4.718363328973865323e-15 2.745282126465951287e-16
3.040189980480462964e+03 4.853029784245678515e-15 2.754428277379675131e-16
3.042937370936135267e+03 4.682724733863694410e-15 3.089888657382287309e-16
3.045684761391807569e+03 3.728949270310236227e-15 2.543888718955855561e-16
3.048432151847479872e+03 3.314512882584853988e-15 2.730138753997055313e-16
3.051179542303152175e+03 3.308365845437836454e-15 2.468038480924575987e-16
3.053926932758824478e+03 3.672326119882806988e-15 2.486586177132003428e-16
3.056674323214496781e+03 4.128234202799122707e-15 2.508544474676546929e-16
3.059421713670169083e+03 4.233737672912956129e-15 2.409489423712581405e-16
3.062169104125841386e+03 4.258321887770390945e-15 3.180898236954989706e-16
3.064916494581513689e+03 4.140142559542002143e-15 2.342454399791066666e-16
3.067663885037185992e+03 4.316546184506417816e-15 2.542055177389512550e-16
3.070411275492858294e+03 5.113741040559039646e-15 2.455870610457244189e-16
3.073158665948530597e+03 4.006316128550963387e-15 2.338283496574682099e-16
3.075906056404202900e+03 4.070210070939541536e-15 2.259624434505811690e-16
3.078653446859875203e+03 4.273018253892423197e-15 2.225687468362600906e-16
3.081400837315547506e+03 4.232353487431051188e-15 2.308055381611043021e-16
3.084148227771219808e+03 4.081200010784805501e-15 2.226496917697544529e-16
3.086895618226892111e+03 4.973891572581036686e-15 2.279399742168679671e-16
3.089643008682564414e+03 4.463250223979135949e-15 2.301344408476480955e-16
3.092390399138236717e+03 4.376736438305516569e-15 2.212455624646089202e-16
3.095137789593909019e+03 3.349877103634929494e-15 4.714359928142053264e-16
3.097885180049581322e+03 4.292309932165571233e-15 2.225524092368905196e-16
3.100632570505253625e+03 4.509316359490259718e-15 2.164923756405804069e-16
3.103379960960925928e+03 4.483050109785511999e-15 2.183199894397990243e-16
3.106127351416598231e+03 3.901565614516223173e-15 2.048887526856046878e-16
3.108874741872270533e+03 4.925538907958174124e-15 2.170979036183066980e-16
3.111622132327942836e+03 4.285521841977560627e-15 2.150652260972427642e-16
3.114369522783615139e+03 4.417120825345125982e-15 2.268515306002013674e-16
3.117116913239287442e+03 3.645849068187320741e-15 2.046244899006180115e-16
3.119864303694959744e+03 4.701662155221873804e-15 2.185297039883711126e-16
3.122611694150632047e+03 4.294717749604136296e-15 2.506492060237777521e-16
3.125359084606304350e+03 4.407039615608935133e-15 2.058465510937946563e-16
3.128106475061976653e+03 3.794303687530217191e-15 1.965608101646424300e-16
3.130853865517648956e+03 3.746577265206687011e-15 2.042886296186649960e-16
3.133601255973321258e+03 4.094440049721839281e-15 2.956617277041430922e-16
3.136348646428993561e+03 4.111671488724749294e-15 2.093358778209304266e-16
3.139096036884665864e+03 4.422855089940723753e-15 2.070584503093029825e-16
3.141843427340338167e+03 3.989985990806561276e-15 1.980739580951601375e-16
3.144590817796010469e+03 3.646941423184330715e-15 1.963443450368658200e-16
3.147338208251682772e+03 4.470433219569067140e-15 2.230790968514248258e-16
3.150085598707355075e+03 4.198311827137954105e-15 1.505844556720982352e-16
3.152832989163027378e+03 3.945090246172386472e-15 1.978702703331312018e-16
3.155580379618699681e+03 3.591214885540964660e-15 2.573446800956508167e-16
3.158327770074371983e+03 4.258415542032568256e-15 2.047630164179390426e-16
3.161075160530044286e+03 4.231462668054622313e-15 1.954458773429474114e-16
3.163822550985716589e+03 4.523838926796716658e-15 1.995033509644323283e-16
3.166569941441388892e+03 4.220211892598762282e-15 1.928607619874163797e-16
3.169317331897061194e+03 3.780726372635879384e-15 1.835823365881956309e-16
3.172064722352733497e+03 3.985435197932517454e-15 1.915521132409804412e-16
3.174812112808405800e+03 4.261478894777460936e-15 1.873577187259064801e-16
3.177559503264078103e+03 3.699203081395214971e-15 1.855887580519029909e-16
3.180306893719750406e+03 4.191562522485533627e-15 1.832755960220451039e-16
3.183054284175422708e+03 3.915320650051323063e-15 1.803353464076048069e-16
3.185801674631095011e+03 3.959672945795590846e-15 1.817390402336061649e-16
3.188549065086767314e+03 4.209749892358022235e-15 1.802226010991571217e-16
3.191296455542439617e+03 3.725987597823635378e-15 2.085970844812686948e-16
3.194043845998111919e+03 3.924774849678709563e-15 1.730734057001531250e-16
3.196791236453784222e+03 4.266296851631619646e-15 1.844922193669015154e-16
3.199538626909456525e+03 4.185529834451680164e-15 1.747494093466271015e-16
3.202286017365128828e+03 4.092925356260605324e-15 1.749449499604004250e-16
3.205033407820801131e+03 3.920651279624790226e-15 1.689723447397129129e-16
3.207780798276473433e+03 3.886121317993555052e-15 1.757024790532493217e-16
3.210528188732145736e+03 4.320700559022268516e-15 1.749979656748783983e-16
3.213275579187818039e+03 4.174389946945146778e-15 2.045884915664785340e-16
3.216022969643490342e+03 3.659734175090347498e-15 1.706066974430218374e-16
3.218770360099162644e+03 3.583461418812987384e-15 1.694301241302201355e-16
3.221517750554834947e+03 4.260922483757405402e-15 1.815133152544965710e-16
3.224265141010507250e+03 3.691407501886398567e-15 1.949512121587188992e-16
3.227012531466179553e+03 4.120046443175358625e-15 1.980709475186544492e-16
3.229759921921851856e+03 4.235985438170500277e-15 1.648561493854368603e-16
3.232507312377524158e+03 4.910611856804649479e-15 1.763755349728306530e-16
3.235254702833196461e+03 4.046082025413902002e-15 2.164513559909876283e-16
3.238002093288868764e+03 4.391176146904052659e-15 1.654097669743182559e-16
3.240749483744541067e+03 4.296968804623284509e-15 1.674661324988145332e-16
3.243496874200213369e+03 5.004013069977381853e-15 1.784467702978068842e-16
3.246244264655885672e+03 3.846939593579908595e-15 3.033026628068314248e-16
3.248991655111557975e+03 4.055955966294381589e-15 1.583173069022012243e-16
3.251739045567230278e+03 4.318327658345243289e-15 1.609044791525148902e-16
