# SN2010AL ob7s02020 G230LB CCD z=0.017 a2center=519.9 extrsize=15 exptime=1800.0 mode=fixed flags=extended_host
# rest_wvl obs_wvl flux error net dq mask
1638.5130 1666.3677 -1.115655e-14 8.068262e-15 -2.983940e-02 16896 0
1639.8609 1667.7385 -1.282138e-14 7.574872e-15 -3.555904e-02 16384 0
1641.2088 1669.1093 -3.555836e-14 1.415840e-14 -1.022843e-01 16400 0
1642.5567 1670.4801 1.951113e-14 8.810728e-15 5.202771e-02 0 0
1643.9046 1671.8510 8.195054e-15 7.136675e-15 2.535790e-02 16384 0
1645.2525 1673.2218 7.103716e-15 8.159639e-15 2.278819e-02 16400 0
1646.6005 1674.5927 3.876755e-15 6.719404e-15 1.289486e-02 16384 0
1647.9484 1675.9636 5.152979e-15 5.912375e-15 1.775689e-02 16384 0
1649.2964 1677.3345 7.657460e-16 6.248919e-15 2.733544e-03 16400 0
1650.6444 1678.7054 -5.350759e-16 5.891723e-15 -1.976747e-03 16384 0
1651.9924 1680.0763 -7.854410e-15 5.494490e-15 -3.001694e-02 16384 0
1653.3405 1681.4472 -2.062655e-14 7.731204e-15 -8.146048e-02 16400 0
1654.6885 1682.8182 8.533039e-15 1.010151e-14 3.158220e-02 16 0
1656.0365 1684.1892 3.003481e-15 4.842680e-15 1.263286e-02 16384 0
1657.3846 1685.5601 -1.050951e-14 4.880408e-15 -4.553081e-02 16384 0
1658.7327 1686.9311 1.797556e-14 5.530304e-15 7.077768e-02 16 0
1660.0808 1688.3022 1.113747e-14 6.424863e-15 4.552690e-02 16 0
1661.4289 1689.6732 3.365952e-15 4.467787e-15 1.545114e-02 16 0
1662.7770 1691.0442 4.400873e-15 4.558284e-15 2.003029e-02 16 0
1664.1252 1692.4153 3.065213e-15 4.673185e-15 1.487744e-02 0 0
1665.4733 1693.7864 -1.732001e-15 5.871731e-15 -8.770321e-03 16400 0
1666.8215 1695.1574 2.257889e-15 4.360044e-15 1.169719e-02 16384 0
1668.1697 1696.5285 1.201225e-14 5.892629e-15 5.640006e-02 16 0
1669.5178 1697.8997 -1.779702e-15 4.329317e-15 -9.628365e-03 16400 0
1670.8661 1699.2708 -3.885631e-15 4.802220e-15 -2.146215e-02 16400 0
1672.2143 1700.6419 -7.628018e-15 7.326836e-15 -4.298826e-02 16400 0
1673.5625 1702.0131 1.140321e-14 7.889051e-15 5.806223e-02 16 0
1674.9108 1703.3843 8.657024e-15 4.341182e-15 4.524381e-02 0 0
1676.2590 1704.7554 -1.644329e-14 1.191547e-14 -9.811632e-02 16400 0
1677.6073 1706.1266 1.804956e-14 4.188342e-15 9.666454e-02 0 0
1678.9556 1707.4979 3.730885e-15 3.611545e-15 2.158917e-02 16 0
1680.3039 1708.8691 -3.329346e-15 4.250383e-15 -2.094528e-02 16400 0
1681.6522 1710.2403 1.013918e-14 4.504622e-15 5.748995e-02 16 0
1683.0006 1711.6116 2.412029e-15 3.111620e-15 1.532473e-02 0 0
1684.3489 1712.9829 3.052073e-15 3.550577e-15 1.912657e-02 16 0
1685.6973 1714.3541 3.126466e-15 3.371029e-15 1.982067e-02 16 0
1687.0457 1715.7254 -3.984929e-15 5.525929e-15 -2.716912e-02 16400 0
1688.3941 1717.0968 3.367457e-15 6.467556e-15 2.178931e-02 16 0
1689.7425 1718.4681 3.270461e-14 4.193973e-15 2.042718e-01 0 0
1691.0909 1719.8394 2.354989e-14 4.557177e-15 1.484002e-01 16 0
1692.4393 1721.2108 7.995318e-14 1.737505e-14 5.279803e-01 16 0
1693.7878 1722.5822 6.925718e-15 3.073963e-15 4.530534e-02 0 0
1695.1362 1723.9535 -5.085654e-16 2.921168e-15 -3.780429e-03 16384 0
1696.4847 1725.3249 2.619393e-15 3.068287e-15 1.875940e-02 0 0
1697.8332 1726.6963 -2.173104e-15 3.033153e-15 -1.659716e-02 16384 0
1699.1817 1728.0678 -7.192636e-15 6.094186e-15 -5.566808e-02 16400 0
1700.5302 1729.4392 -5.295654e-17 3.102506e-15 -4.152721e-04 16384 0
1701.8787 1730.8107 -8.369305e-15 3.843370e-15 -6.648562e-02 16400 0
1703.2273 1732.1821 -1.046568e-15 4.174399e-15 -8.421017e-03 16400 0
1704.5758 1733.5536 4.844569e-15 3.391156e-15 3.559528e-02 16 0
1705.9244 1734.9251 2.736801e-13 2.887030e-14 2.153300e+00 272 0
1707.2730 1736.2966 3.498482e-15 3.156188e-15 2.683111e-02 16 0
1708.6216 1737.6681 -1.541759e-15 2.789000e-15 -1.303856e-02 16400 0
1709.9702 1739.0397 5.098359e-16 2.843977e-15 4.364200e-03 16384 0
1711.3188 1740.4112 -1.504144e-14 6.628549e-15 -1.303084e-01 16400 0
1712.6674 1741.7828 1.839864e-15 2.353527e-15 1.570158e-02 0 0
1714.0161 1743.1544 -7.911706e-15 3.596975e-15 -7.018168e-02 16400 0
1715.3647 1744.5259 2.875395e-15 2.569009e-15 2.391692e-02 16 0
1716.7134 1745.8975 -8.766618e-16 2.635551e-15 -7.959332e-03 16400 0
1718.0621 1747.2692 -1.226016e-15 2.802579e-15 -1.125950e-02 16400 0
1719.4108 1748.6408 -8.195684e-15 3.074054e-15 -7.613055e-02 16400 0
1720.7595 1750.0124 -6.626894e-15 2.461830e-15 -6.225873e-02 16640 0
1722.1082 1751.3841 7.861534e-16 2.272310e-15 7.470882e-03 16384 0
1723.4570 1752.7557 -1.461627e-15 2.877253e-15 -1.404857e-02 16400 0
1724.8057 1754.1274 -1.694552e-14 5.929835e-15 -1.647225e-01 16400 0
1726.1545 1755.4991 -1.899096e-15 2.441354e-15 -1.866839e-02 16400 0
1727.5033 1756.8708 6.202719e-15 2.135501e-15 5.470496e-02 0 0
1728.8521 1758.2425 -2.309433e-15 2.258127e-15 -2.321060e-02 16384 0
1730.2009 1759.6143 -3.606842e-16 2.361757e-15 -3.664912e-03 16384 0
