# SN2010AL ob7s03050 G430L CCD z=0.017 a2center=890.6 extrsize=17 exptime=900.0 mode=fixed flags=extended_host,center_mismatch(891vs508)
# rest_wvl obs_wvl flux error net dq mask
2840.9661 2889.2625 -6.166176e-16 5.816482e-15 -5.777307e-03 528 0
2843.6648 2892.0071 -3.546095e-15 4.386856e-15 -3.442840e-02 16912 0
2846.3635 2894.7516 3.224890e-15 3.659387e-15 3.474991e-02 512 0
2849.0622 2897.4962 1.568263e-15 3.053180e-15 1.897278e-02 512 0
2851.7609 2900.2409 -4.741784e-16 2.712087e-15 -7.951989e-03 512 0
2854.4597 2902.9855 -2.805859e-15 2.413129e-15 -4.764588e-02 16896 0
2857.1585 2905.7302 -8.365327e-16 2.152126e-15 -1.629175e-02 512 0
2859.8573 2908.4749 6.559879e-16 2.035590e-15 1.164919e-02 512 0
2862.5561 2911.2196 -3.828626e-15 2.908938e-15 -8.949900e-02 16912 0
2865.2550 2913.9643 4.401379e-16 1.920060e-15 9.520037e-03 528 0
2867.9539 2916.7091 9.748042e-16 1.554152e-15 2.537678e-02 528 0
2870.6528 2919.4539 2.187016e-15 1.480744e-15 6.622008e-02 528 0
2873.3517 2922.1987 -2.385852e-15 1.234834e-15 -8.658105e-02 16912 0
2876.0507 2924.9435 -1.321298e-15 1.053527e-15 -5.432102e-02 16896 0
2878.7496 2927.6884 -2.795950e-15 1.089374e-15 -1.286745e-01 16912 0
2881.4486 2930.4332 -7.138155e-16 8.779440e-16 -3.759519e-02 16896 0
2884.1476 2933.1781 -1.200227e-16 9.203827e-16 -7.975293e-03 528 0
2886.8466 2935.9230 2.123370e-13 5.376241e-15 1.438868e+01 528 0
2889.5457 2938.6680 5.756453e-15 1.788353e-15 4.261942e-01 528 0
2892.2448 2941.4129 6.265174e-17 5.073663e-16 3.893342e-03 512 0
2894.9439 2944.1579 -2.988817e-16 4.876526e-16 -2.923821e-02 16896 0
2897.6430 2946.9029 6.700957e-16 4.296140e-16 6.785614e-02 512 0
2900.3421 2949.6479 -5.686148e-16 7.756732e-16 -6.867331e-02 16912 0
2903.0413 2952.3930 -3.122138e-18 3.154372e-16 -1.640376e-03 528 0
2905.7404 2955.1380 1.587951e-16 2.868039e-16 2.060021e-02 512 0
2908.4396 2957.8831 -1.745365e-16 2.610148e-16 -2.773304e-02 16896 0
2911.1389 2960.6282 -4.497762e-16 3.409637e-16 -7.718705e-02 16912 0
