# SN2010AL ob7s03070 G750L CCD z=0.017 a2center=510.0 extrsize=15 exptime=700.0 mode=fixed flags=extended_host,no_defringe(no_flat)
# rest_wvl obs_wvl flux error net dq mask
5168.9542 5256.8265 -4.249997e-17 8.758798e-17 -4.503591e-02 528 0
5173.7410 5261.6946 3.106010e-17 5.008601e-17 1.220394e-02 512 0
5178.5279 5266.5629 -1.845970e-16 6.236716e-17 -2.264410e-01 16912 0
5183.3148 5271.4312 6.608696e-17 3.813495e-17 6.030697e-02 512 0
5188.1018 5276.2995 1.456106e-16 3.297145e-17 1.746985e-01 528 0
5192.8888 5281.1679 8.964353e-17 3.013959e-17 1.129146e-01 512 0
5197.6759 5286.0364 -8.483780e-17 3.032824e-17 -1.682659e-01 16912 0
5202.4631 5290.9050 -4.047710e-17 3.248388e-17 -8.797190e-02 16912 0
5207.2503 5295.7735 -2.122402e-17 2.418375e-17 -5.494778e-02 528 0
5212.0376 5300.6422 5.255509e-17 2.773327e-17 8.922017e-02 528 0
5216.8249 5305.5109 5.692272e-17 2.091393e-17 1.013490e-01 0 0
5221.6123 5310.3797 8.756631e-17 2.073502e-17 1.765582e-01 16 0
5226.3997 5315.2485 8.306083e-17 2.125370e-17 1.679274e-01 16 0
5231.1872 5320.1174 -1.824023e-17 1.910801e-17 -5.897336e-02 0 0
5235.9748 5324.9864 6.315323e-17 1.974735e-17 1.210688e-01 0 0
5240.7624 5329.8554 8.496064e-18 1.991614e-17 -1.777209e-03 16 0
5245.5501 5334.7244 3.009041e-17 2.221800e-17 4.390030e-02 16 0
5250.3378 5339.5936 -6.559885e-17 2.123165e-17 -1.711051e-01 16400 0
5255.1256 5344.4627 7.897897e-18 1.994223e-17 -4.008092e-03 0 0
5259.9135 5349.3320 1.059055e-16 2.190250e-17 1.966054e-01 0 0
5264.7014 5354.2013 6.816289e-17 2.297574e-17 1.147142e-01 16 0
5269.4893 5359.0707 3.276125e-17 2.082755e-17 4.260714e-02 0 0
5274.2774 5363.9401 7.281470e-17 2.361754e-17 1.196615e-01 16 0
5279.0654 5368.8095 2.451811e-17 2.173538e-17 2.571212e-02 16 0
5283.8536 5373.6791 -8.480426e-17 2.528124e-17 -1.973023e-01 16400 0
5288.6418 5378.5487 6.006013e-17 2.460749e-17 9.254324e-02 16 0
5293.4300 5383.4183 1.075039e-16 2.312434e-17 1.855029e-01 0 0
5298.2183 5388.2880 8.676738e-17 2.447855e-17 1.455274e-01 16 0
5303.0067 5393.1578 1.702283e-17 5.075961e-17 1.224796e-02 16 0
5307.7951 5398.0276 8.525445e-17 2.211164e-17 1.460573e-01 0 0
5312.5836 5402.8975 4.671182e-17 2.325527e-17 7.112677e-02 16 0
5317.3721 5407.7674 9.751415e-17 2.302331e-17 1.770328e-01 16 0
5322.1607 5412.6374 2.209146e-17 2.227387e-17 2.456237e-02 16 0
5326.9493 5417.5075 4.051475e-17 2.051935e-17 6.361728e-02 0 0
5331.7380 5422.3776 2.186133e-17 2.227293e-17 2.608269e-02 16 0
5336.5268 5427.2477 5.406894e-17 2.878278e-17 9.732878e-02 16 0
5341.3156 5432.1179 8.134990e-17 2.005813e-17 1.625583e-01 0 0
5346.1044 5436.9882 7.428532e-17 1.874402e-17 1.501841e-01 0 0
5350.8934 5441.8585 1.737369e-17 1.782976e-17 2.028062e-02 0 0
5355.6823 5446.7289 -7.798041e-17 3.328582e-17 -2.281225e-01 16400 0
5360.4714 5451.5994 -2.687355e-15 3.816702e-17 -8.026240e+00 16400 0
5365.2604 5456.4699 3.721233e-17 1.852971e-17 7.170950e-02 16 0
