# obs_wvl flux error
1.138000000000000000e+03 -8.058708652432330918e-15 3.734279725183164804e-14
1.139166236632528580e+03 -4.920437488288438862e-15 4.109322058797177638e-16
1.140332473265057160e+03 -5.461855563270782362e-16 1.300396101580781507e-15
1.141498709897585741e+03 3.024328848486384369e-16 1.060869650515366067e-15
1.142664946530114321e+03 -1.028014038095054324e-15 6.953397049551391105e-17
1.143831183162642901e+03 -5.398668349661410174e-16 2.263658494507156350e-16
1.144997419795171481e+03 -3.540402933568383084e-16 1.797584181300141232e-16
1.146163656427700062e+03 6.019091381129034443e-17 2.479881298349610335e-16
1.147329893060228642e+03 1.526162724776971111e-16 2.347925613227697536e-16
1.148496129692757222e+03 -3.064278422298782247e-16 1.611607265799036775e-17
1.149662366325285802e+03 -8.862436110769019731e-17 1.150826976740072795e-16
1.150828602957814383e+03 -1.075530064112197432e-16 8.581762065177524976e-17
1.151994839590342963e+03 -1.207871674113399265e-16 7.132678222513182551e-17
1.153161076222871543e+03 -1.277824999300104818e-16 5.287901847806145909e-17
1.154327312855400123e+03 4.675796963964208419e-18 8.752906179737697260e-17
1.155493549487928703e+03 -8.772781413762317155e-17 4.797790600568134664e-17
1.156659786120457284e+03 1.259124145722156139e-16 9.970989626182333981e-17
1.157826022752985864e+03 4.035176058329817081e-17 8.213907349463059728e-17
1.158992259385514444e+03 6.240648635898397759e-18 6.974025456417442014e-17
1.160158496018043024e+03 -1.509098544564782664e-17 6.045738569264480058e-17
1.161324732650571605e+03 -4.862516840147816612e-17 5.194325079414256294e-17
1.162490969283100185e+03 7.470555606293601725e-17 8.088616357977924323e-17
1.163657205915628765e+03 -3.176084231769729142e-18 6.028096696559543772e-17
1.164823442548157345e+03 4.638749320632410402e-17 6.720136981536584763e-17
1.165989679180685926e+03 3.467950653962286718e-17 6.416780824214196485e-17
1.167155915813214506e+03 -5.469357611926767004e-17 4.057443712669597714e-17
1.168322152445743086e+03 -4.779909027446708555e-17 4.249063606069324357e-17
1.169488389078271666e+03 -8.896748048000055343e-17 2.553649737507346343e-17
1.170654625710800246e+03 -7.391721479525554340e-18 4.850037831114942960e-17
1.171820862343328827e+03 6.504077473512496398e-17 6.243482318163557119e-17
1.172987098975857407e+03 8.754646063092292441e-17 6.676412891632934506e-17
1.174153335608385987e+03 3.915945189760790122e-18 4.800680585972451305e-17
1.175319572240914567e+03 -4.914428034696026255e-17 3.332217781995015098e-17
1.176485808873443148e+03 -1.983641088412990030e-17 4.014073559030999024e-17
1.177652045505971728e+03 3.177012008984536493e-17 4.904777172475195958e-17
1.178818282138500308e+03 8.255346241204412421e-18 4.276234408003499189e-17
1.179984518771028888e+03 6.202113233967546023e-17 5.280983657851259481e-17
1.181150755403557469e+03 2.551845360249967934e-17 4.673480536901715161e-17
1.182316992036086049e+03 -4.693636652870250478e-17 3.037009974910348078e-17
1.183483228668614629e+03 1.797719521802012101e-17 4.309875593088447921e-17
1.184649465301143209e+03 -6.211595188987531667e-17 2.346656695928570570e-17
1.185815701933671789e+03 1.720022377369541630e-17 4.123266235613027366e-17
1.186981938566200370e+03 3.183936541087087508e-17 4.223300946147984894e-17
1.188148175198728950e+03 5.620957047076835851e-17 4.562049935777167087e-17
1.189314411831257530e+03 -2.575399286950580534e-17 2.996690072710241514e-17
1.190480648463786110e+03 -6.277816671352182383e-19 3.490396210295056530e-17
1.191646885096314691e+03 4.301199539222377422e-17 4.158362859946649501e-17
1.192813121728843271e+03 3.425697296921814334e-17 3.932187636133025546e-17
1.193979358361371851e+03 -6.327910253321442656e-18 3.628456067451033372e-17
1.195145594993900431e+03 6.935538877315873643e-17 4.667966633654078966e-17
1.196311831626429012e+03 -2.080868450281621641e-17 2.722293556928794034e-17
1.197478068258957592e+03 8.431287500701097260e-17 4.499386473528154465e-17
1.198644304891486172e+03 2.979625699380554072e-17 3.572312578453669248e-17
1.199810541524014752e+03 -4.253473223007847716e-18 3.120213500163605248e-17
1.200976778156543332e+03 -9.930872630114365264e-19 3.142290695198133781e-17
1.202143014789071913e+03 5.148728640581144999e-17 3.821817481953166557e-17
1.203309251421600493e+03 7.850725490765222635e-17 4.084726888159827476e-17
1.204475488054129073e+03 8.753791661285516731e-17 4.126913243505599575e-17
1.205641724686657653e+03 4.239448813010995383e-17 3.523826093154096246e-17
1.206807961319186234e+03 6.259350890330060363e-17 3.817644507086334824e-17
1.207974197951714814e+03 5.584823628865642262e-17 3.828716327454882497e-17
1.209140434584243394e+03 2.421207101868714851e-19 3.916618250733896453e-17
1.210306671216771974e+03 -1.730098768027223181e-17 4.507384591115577658e-17
1.211472907849300555e+03 1.079425141377456337e-16 6.231303013212091924e-17
