# SN2010AL ob7s02040 G140L MAMA z=0.017 a2center=414.3 extrsize=11 exptime=2400.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1100.1789 1118.8819 0.000000e+00 0.000000e+00 -7.009083e-05 2564 0
1100.7530 1119.4658 0.000000e+00 0.000000e+00 -7.009083e-05 2564 0
1101.3271 1120.0496 0.000000e+00 0.000000e+00 -7.009083e-05 2564 0
1101.9012 1120.6335 0.000000e+00 0.000000e+00 3.501068e-04 2564 0
1102.4753 1121.2173 0.000000e+00 0.000000e+00 -1.272820e-06 2560 0
1103.0494 1121.8012 0.000000e+00 0.000000e+00 4.336029e-04 512 0
1103.6234 1122.3850 0.000000e+00 0.000000e+00 3.970393e-04 512 0
1104.1975 1122.9689 0.000000e+00 0.000000e+00 -1.702265e-05 512 0
1104.7716 1123.5527 0.000000e+00 0.000000e+00 -2.512395e-06 512 0
1105.3457 1124.1366 0.000000e+00 0.000000e+00 -9.291907e-07 512 0
1105.9198 1124.7204 0.000000e+00 0.000000e+00 6.351836e-04 512 0
1106.4939 1125.3043 0.000000e+00 0.000000e+00 -1.939006e-04 512 0
1107.0680 1125.8881 0.000000e+00 0.000000e+00 -2.080399e-04 512 0
1107.6421 1126.4720 0.000000e+00 0.000000e+00 -2.253958e-04 512 0
1108.2161 1127.0558 0.000000e+00 0.000000e+00 -2.335067e-04 512 0
1108.7902 1127.6396 0.000000e+00 0.000000e+00 1.779535e-04 512 0
1109.3643 1128.2235 0.000000e+00 0.000000e+00 1.509672e-04 512 0
1109.9384 1128.8073 0.000000e+00 0.000000e+00 1.349130e-04 512 0
1110.5124 1129.3912 0.000000e+00 0.000000e+00 1.465830e-04 512 0
1111.0865 1129.9750 0.000000e+00 0.000000e+00 -3.023985e-04 512 0
1111.6606 1130.5588 0.000000e+00 0.000000e+00 -4.284192e-05 512 0
1112.2347 1131.1427 0.000000e+00 0.000000e+00 -3.283402e-04 512 0
1112.8087 1131.7265 0.000000e+00 0.000000e+00 -3.134280e-04 528 0
1113.3828 1132.3103 0.000000e+00 0.000000e+00 3.395729e-04 512 0
1113.9569 1132.8941 0.000000e+00 0.000000e+00 -3.668184e-04 512 0
1114.5309 1133.4780 0.000000e+00 0.000000e+00 -2.249841e-04 512 0
1115.1050 1134.0618 0.000000e+00 0.000000e+00 -3.926625e-04 512 0
1115.6791 1134.6456 0.000000e+00 0.000000e+00 -1.042208e-07 512 0
1116.2531 1135.2294 0.000000e+00 0.000000e+00 1.672643e-04 512 0
1116.8272 1135.8133 0.000000e+00 0.000000e+00 4.069461e-04 512 0
1117.4012 1136.3971 0.000000e+00 0.000000e+00 4.062954e-04 512 0
1117.9753 1136.9809 0.000000e+00 0.000000e+00 -4.561548e-04 512 0
1118.5494 1137.5647 0.000000e+00 0.000000e+00 -4.709878e-04 512 0
1119.1234 1138.1485 -8.086978e-15 4.254894e-14 -7.788400e-05 1024 0
