# obs_wvl flux error
1.153857324956775301e+03 9.949571929760152485e-16 2.489235226160757021e-15
1.153867293851621525e+03 1.520289542737061855e-16 1.603653295468322595e-15
1.153877262746467750e+03 2.426355118212442706e-15 2.466074090181317223e-15
1.153887231641313974e+03 1.537724655223538152e-15 2.038322403303843266e-15
1.153897200536160199e+03 1.849367143726769067e-15 2.260341974632453536e-15
1.153907169431006423e+03 2.967858394088425434e-15 2.516251925574752877e-15
1.153917138325852648e+03 3.237940799362696006e-15 2.537700800400783990e-15
1.153927107220698872e+03 7.012985573474552451e-16 1.672766199484063922e-15
1.153937076115545096e+03 3.281920837114504716e-15 2.668783203963135983e-15
1.153947045010391321e+03 3.509963117123517094e-15 2.557132607250525622e-15
1.153957013905237545e+03 2.396866164630207385e-15 2.309279530090655118e-15
1.153966982800083770e+03 1.282270857487645128e-15 2.008927554989078352e-15
1.153976951694929994e+03 1.013926086633087821e-15 1.978145144124898547e-15
1.153986920589776219e+03 1.727624458358337506e-16 1.601187943928948232e-15
1.153996889484622443e+03 7.488460246472943294e-16 1.942769144726028971e-15
1.154006858379468667e+03 1.017959681140218702e-15 1.977532954837778121e-15
1.154016827274314892e+03 1.018844150267847512e-15 1.976891908386289679e-15
1.154026796169161116e+03 1.020660972288401400e-15 1.977213341820681726e-15
1.154036765064007341e+03 5.247498943158859750e-15 3.039210748607314389e-15
1.154046733958853565e+03 5.745191778569315014e-15 2.963748667108434623e-15
1.154056702853699790e+03 3.786211306263705677e-15 2.572117936448512360e-15
1.154066671748546014e+03 4.093683009262128048e-15 2.729729995673160536e-15
1.154076640643392238e+03 2.674976292222269497e-15 2.327088806736659466e-15
1.154086609538238463e+03 1.294615369209611236e-15 2.004744371291590831e-15
1.154096578433084687e+03 2.714992056101416658e-15 2.483894679593844869e-15
1.154106547327930912e+03 4.095134202739698914e-15 2.727955691713034968e-15
1.154116516222777136e+03 6.050419320316905478e-15 3.088924021470960310e-15
1.154126485117623361e+03 4.057002187645022863e-15 2.588698662361621454e-15
1.154136454012469585e+03 1.566374380076626842e-15 2.030473778085221342e-15
1.154146422907315809e+03 1.909239967390637347e-16 1.598066164722910884e-15
1.154156391802162034e+03 3.292723075696222037e-15 2.657694435553383945e-15
1.154166360697008258e+03 2.678159408722230543e-15 2.322894763064026569e-15
1.154176329591854483e+03 2.985811030395273852e-15 2.504120011287890913e-15
1.154186298486700707e+03 1.570034879666593365e-15 2.029506689487179987e-15
1.154196267381546932e+03 3.560193372927874761e-15 2.681048501860260158e-15
1.154206236276393156e+03 2.678940942637271983e-15 2.321048850095251728e-15
1.154216205171239380e+03 1.303699448792873371e-15 2.001030663303005946e-15
1.154226174066085605e+03 1.036402348275353447e-15 1.970494179919619249e-15
1.154236142960931829e+03 1.878269333678743744e-15 2.247360007329200862e-15
1.154246111855778054e+03 2.145684773171768032e-15 2.272867873431152264e-15
1.154256080750624278e+03 2.146916548873139429e-15 2.273104935302943588e-15
1.154266049645470503e+03 1.306245529008968926e-15 1.999261320425338643e-15
1.154276018540316727e+03 2.720252996993449367e-15 2.476080598090592240e-15
1.154285987435162951e+03 2.413693849206890761e-15 2.295234274541863945e-15
1.154295956330009176e+03 1.306672375521580786e-15 1.997876090700505672e-15
1.154305925224855400e+03 1.874873293647246955e-15 2.244396499828375997e-15
1.154315894119701625e+03 4.640444388305682697e-16 1.631292601443922770e-15
1.154325863014547849e+03 7.689920417455724050e-16 1.933357745097938595e-15
1.154335831909394074e+03 1.034683675511031994e-15 1.967089168653375320e-15
1.154345800804240298e+03 3.551636723628453358e-15 2.673874262440117788e-15
1.154355769699086522e+03 2.673990367968234921e-15 2.315726542764254296e-15
1.154365738593932747e+03 1.301476738984041220e-15 1.996388582762946216e-15
1.154375707488778971e+03 5.227129957262198478e-15 3.019599891927431363e-15
