# SN2010JL lboo23040 G160M FUV z=0.011  cos default calcos x1dsum
# segment rest_wvl obs_wvl flux error gross dq mask
FUVA 1592.0672 1609.5799 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.0793 1609.5922 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.0914 1609.6044 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.1035 1609.6167 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.1156 1609.6289 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.1277 1609.6411 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.1399 1609.6534 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.1520 1609.6656 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.1641 1609.6779 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.1762 1609.6901 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.1883 1609.7024 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.2004 1609.7146 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.2125 1609.7269 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.2246 1609.7391 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.2367 1609.7513 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.2488 1609.7636 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.2610 1609.7758 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.2731 1609.7881 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.2852 1609.8003 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.2973 1609.8126 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.3094 1609.8248 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.3215 1609.8370 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.3336 1609.8493 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.3457 1609.8615 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.3578 1609.8738 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.3700 1609.8860 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.3821 1609.8983 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.3942 1609.9105 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.4063 1609.9228 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.4184 1609.9350 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.4305 1609.9472 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.4426 1609.9595 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.4547 1609.9717 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.4668 1609.9840 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.4789 1609.9962 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.4911 1610.0085 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.5032 1610.0207 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.5153 1610.0329 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.5274 1610.0452 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.5395 1610.0574 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.5516 1610.0697 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.5637 1610.0819 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.5758 1610.0942 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.5879 1610.1064 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.6001 1610.1187 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.6122 1610.1309 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.6243 1610.1431 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1592.6364 1610.1554 0.000000e+00 0.000000e+00 0.0000e+00 128 0
