# obs_wvl flux error
2.974000000000000000e+03 1.228316977970472898e-14 4.226647117822000682e-16
2.979493926486884448e+03 1.281536642479089001e-14 2.837483035155703942e-16
2.984987852973768895e+03 1.280515925669681391e-14 3.013748372184096125e-16
2.990481779460653343e+03 1.242703254060442191e-14 2.675404068952714873e-16
2.995975705947537790e+03 1.248628227171796335e-14 2.584928592914053600e-16
3.001469632434422238e+03 1.272489372495785599e-14 2.553492851765433022e-16
3.006963558921306685e+03 1.265020105805628158e-14 2.534592155759175911e-16
3.012457485408191133e+03 1.247472801366879666e-14 2.461022769228148609e-16
3.017951411895075580e+03 1.269348153333435121e-14 2.401904207922915502e-16
3.023445338381960028e+03 1.246458217676655371e-14 2.351504544999261843e-16
3.028939264868844475e+03 1.303754306045470996e-14 2.340641858898153667e-16
3.034433191355728923e+03 1.268750188732832299e-14 2.350723263422027203e-16
3.039927117842613370e+03 1.250268579840797575e-14 2.181556818893385749e-16
3.045421044329497818e+03 1.240081525025325382e-14 2.112482203835090492e-16
3.050914970816382265e+03 1.242546499392247482e-14 2.240470253255482082e-16
3.056408897303266713e+03 1.280636462046565597e-14 2.033338553827607482e-16
3.061902823790151160e+03 1.254114970651688636e-14 2.001148476127211251e-16
3.067396750277035608e+03 1.233734837989714702e-14 2.056651068336710009e-16
3.072890676763920055e+03 1.228630202361160610e-14 1.903473592718163367e-16
3.078384603250804503e+03 1.221574285694120156e-14 1.971580458215160636e-16
3.083878529737688950e+03 1.246424551107897295e-14 1.843946575448812050e-16
3.089372456224573398e+03 1.239068039539998358e-14 1.987109597250352624e-16
3.094866382711457845e+03 1.212093836530627563e-14 1.800896493408341361e-16
3.100360309198342293e+03 1.238493145179457850e-14 1.788010337320578790e-16
3.105854235685226740e+03 1.207432842473876733e-14 1.764067220214977460e-16
3.111348162172111188e+03 1.196314109530507339e-14 1.793412083387553476e-16
3.116842088658995635e+03 1.218562946736795066e-14 1.792410515606038374e-16
3.122336015145880083e+03 1.226779960740452096e-14 1.808570355919603217e-16
3.127829941632764530e+03 1.229075635982607671e-14 1.987179996872216237e-16
3.133323868119648978e+03 1.664629742545728729e-14 1.820087107449105886e-16
3.138817794606533425e+03 2.095304232332699538e-14 2.275094900214012207e-16
3.144311721093417873e+03 1.177996625617127097e-14 1.673682168623575146e-16
3.149805647580302320e+03 1.198489726879153299e-14 1.655253213991842754e-16
3.155299574067186768e+03 1.228497017968955374e-14 1.643127043612948561e-16
3.160793500554071215e+03 1.231009624275243518e-14 1.630175368900625684e-16
3.166287427040955663e+03 1.226405062299313318e-14 1.714926121110480384e-16
3.171781353527840110e+03 1.233635634897688588e-14 1.610270452727100187e-16
3.177275280014724558e+03 1.242422062432097895e-14 1.624520255977478259e-16
3.182769206501609005e+03 1.235909866037979733e-14 1.730996609355326838e-16
3.188263132988493453e+03 1.256779981703335806e-14 1.572906603396842625e-16
3.193757059475377901e+03 1.246828128659262073e-14 1.612419200928164694e-16
3.199250985962262348e+03 1.250344206101454841e-14 1.581904364208780037e-16
3.204744912449146796e+03 1.214342142591912172e-14 1.523948732826775497e-16
3.210238838936031243e+03 1.211780377452041824e-14 1.502526097920024497e-16
3.215732765422915691e+03 1.237321036134226861e-14 1.525760523737371935e-16
3.221226691909800138e+03 1.235467534017395475e-14 1.532063780370931273e-16
3.226720618396684586e+03 1.226531239677349192e-14 1.486890466623808645e-16
3.232214544883569033e+03 1.224119560081783202e-14 1.956345952634609763e-16
3.237708471370453481e+03 1.278421911354039617e-14 1.475394698111230818e-16
3.243202397857337928e+03 1.275281858999296797e-14 1.472295289902860843e-16
3.248696324344222376e+03 1.244477914946140167e-14 1.497008330658275630e-16
3.254190250831106823e+03 1.282260967523720769e-14 1.569893394365401817e-16
3.259684177317991271e+03 1.266268862887680734e-14 1.516971535324555072e-16
3.265178103804875718e+03 1.234821826391676187e-14 1.494600919616562227e-16
3.270672030291760166e+03 1.240023919446134355e-14 1.415149007612479743e-16
3.276165956778644613e+03 1.260521268227400504e-14 1.414930275217006315e-16
3.281659883265529061e+03 1.269562737973583775e-14 1.421261046636400542e-16
3.287153809752413508e+03 1.249215851047028743e-14 1.373167867572001825e-16
3.292647736239297956e+03 1.273128557327131018e-14 1.412557688698359827e-16
3.298141662726182403e+03 1.256418971800881765e-14 1.363092368062597499e-16
3.303635589213066851e+03 1.287334546774858787e-14 1.546254241820533450e-16
3.309129515699951298e+03 1.278421627213893006e-14 1.375054790553897654e-16
3.314623442186835746e+03 1.294177932149902461e-14 1.365303740933101248e-16
3.320117368673720193e+03 1.306539445190407739e-14 1.378559231881016052e-16
3.325611295160604641e+03 1.299933396281606445e-14 1.356580033504190095e-16
3.331105221647489088e+03 1.266789346455620047e-14 1.338746019330975633e-16
3.336599148134373536e+03 1.281595816930656250e-14 1.353076688111573532e-16
3.342093074621257983e+03 1.241801389116265170e-14 1.370977863779805072e-16
3.347587001108142431e+03 1.282518386516104987e-14 1.307601965536675365e-16
3.353080927595026878e+03 1.253509385004682760e-14 1.330257620693663666e-16
3.358574854081911326e+03 1.246907484319378740e-14 1.411958588726825760e-16
3.364068780568795773e+03 1.258380769505810915e-14 1.332792556394670722e-16
3.369562707055680221e+03 1.254987955392703833e-14 1.280291561118046456e-16
3.375056633542564668e+03 1.246888208766817332e-14 1.374845485372414400e-16
