# SN2010JL obk002020 G230LB CCD z=0.011 a2center=902.6 extrsize=13 exptime=1000.0 mode=adaptive_es11@0.98 flags=none
# rest_wvl obs_wvl flux error net dq mask
1644.6165 1662.7073 1.436616e-14 1.461026e-14 2.868860e-02 512 0
1645.9721 1664.0778 -3.603267e-14 1.426589e-14 -8.711657e-02 16384 0
1647.3277 1665.4483 -2.222703e-14 1.308588e-14 -5.571387e-02 16384 0
1648.6833 1666.8188 -1.876429e-15 1.303221e-14 -6.837100e-03 0 0
1650.0389 1668.1893 2.035130e-14 1.260073e-14 4.996066e-02 0 0
1651.3945 1669.5599 -1.095071e-16 1.241493e-14 -1.402237e-03 16 0
1652.7502 1670.9304 1.448224e-14 1.232039e-14 3.897645e-02 0 0
1654.1058 1672.3010 -3.362061e-15 1.145196e-14 -1.011061e-02 16384 0
1655.4615 1673.6716 7.289865e-16 1.296012e-14 1.838581e-03 16 0
1656.8172 1675.0422 -6.829368e-15 1.031308e-14 -2.207941e-02 16400 0
1658.1729 1676.4128 -1.590213e-15 1.067068e-14 -5.326552e-03 16400 0
1659.5286 1677.7834 -6.595793e-15 1.040548e-14 -2.288547e-02 16400 0
1660.8844 1679.1541 -1.307479e-14 1.073172e-14 -4.695117e-02 16400 0
1662.2401 1680.5248 1.648039e-14 9.877693e-15 5.692710e-02 0 0
1663.5959 1681.8954 4.669533e-15 8.735368e-15 1.639014e-02 0 0
1664.9516 1683.2661 -2.829371e-14 9.862424e-15 -1.121300e-01 16400 0
1666.3074 1684.6368 3.388788e-14 3.008478e-14 1.302081e-01 16 0
1667.6632 1686.0075 2.507688e-12 7.543098e-14 1.047742e+01 16 0
1669.0191 1687.3783 1.997351e-14 7.957673e-15 8.081435e-02 0 0
1670.3749 1688.7490 -3.356759e-15 8.021445e-15 -1.494349e-02 16400 0
1671.7307 1690.1198 1.898086e-15 7.580492e-15 7.792041e-03 0 0
1673.0866 1691.4906 5.048122e-15 1.274602e-14 2.173139e-02 16 0
1674.4425 1692.8614 -1.257607e-15 7.811503e-15 -6.041700e-03 16400 0
1675.7984 1694.2322 7.242699e-15 6.699135e-15 3.289456e-02 0 0
1677.1543 1695.6030 2.280877e-14 7.502258e-15 1.075802e-01 0 0
1678.5102 1696.9738 -1.230352e-14 9.883335e-15 -6.327584e-02 16400 0
1679.8661 1698.3447 1.086366e-14 6.503514e-15 5.301515e-02 0 0
1681.2221 1699.7155 1.599282e-14 6.682239e-15 8.008545e-02 0 0
1682.5780 1701.0864 -2.081535e-14 1.446101e-14 -1.138965e-01 16400 0
1683.9340 1702.4573 -1.503690e-15 6.151329e-15 -8.389840e-03 16400 0
1685.2900 1703.8282 -1.579105e-15 6.049403e-15 -8.979239e-03 16400 0
1686.6460 1705.1991 -3.841953e-15 5.833125e-15 -2.225432e-02 16384 0
1688.0020 1706.5700 -5.683809e-16 5.538878e-15 -3.354595e-03 0 0
1689.3581 1707.9410 -3.063254e-15 5.279102e-15 -1.838868e-02 16384 0
1690.7141 1709.3120 1.626993e-14 6.103312e-15 9.295131e-02 0 0
1692.0702 1710.6829 1.582160e-14 1.693705e-14 9.191061e-02 16 0
1693.4262 1712.0539 -3.443610e-15 6.935771e-15 -2.174015e-02 16400 0
1694.7823 1713.4249 2.204168e-14 5.764357e-15 1.329549e-01 0 0
1696.1384 1714.7959 8.922171e-15 5.159905e-15 5.401766e-02 0 0
1697.4945 1716.1670 -6.652763e-15 4.838498e-15 -4.403414e-02 16384 0
1698.8507 1717.5380 4.016000e-15 5.795056e-15 2.481379e-02 16 0
1700.2068 1718.9091 9.086811e-15 5.864887e-15 5.761610e-02 16 0
1701.5630 1720.2801 5.426711e-15 5.364355e-15 3.469060e-02 0 0
1702.9191 1721.6512 -2.401296e-14 1.659312e-14 -1.685894e-01 16400 0
1704.2753 1723.0223 -1.202186e-15 4.601862e-15 -8.560335e-03 16384 0
1705.6315 1724.3934 6.762520e-15 4.590594e-15 4.525623e-02 0 0
1706.9877 1725.7646 2.278123e-15 4.472606e-15 1.520383e-02 0 0
1708.3439 1727.1357 3.919672e-16 4.429933e-15 2.423257e-03 0 0
1709.7002 1728.5069 7.384493e-15 4.529560e-15 5.155369e-02 0 0
1711.0564 1729.8780 6.377614e-15 4.307175e-15 4.504006e-02 0 0
1712.4127 1731.2492 3.044927e-15 4.649301e-15 2.156530e-02 16 0
1713.7689 1732.6204 3.250731e-15 5.326177e-15 2.335207e-02 16 0
1715.1252 1733.9916 1.082927e-14 4.301726e-15 8.010239e-02 0 0
1716.4815 1735.3628 5.420358e-16 4.574258e-15 3.753003e-03 16 0
1717.8379 1736.7341 2.240880e-15 5.449959e-15 1.662409e-02 16 0
1719.1942 1738.1053 3.885501e-15 4.051876e-15 2.945687e-02 0 0
1720.5505 1739.4766 -4.931565e-15 4.658549e-15 -4.108142e-02 16400 0
1721.9069 1740.8479 6.573537e-16 4.605720e-15 4.855235e-03 0 0
1723.2632 1742.2191 5.501441e-15 4.251854e-15 4.348594e-02 0 0
1724.6196 1743.5904 -3.764409e-15 4.840952e-15 -3.251539e-02 16400 0
1725.9760 1744.9618 6.754032e-15 3.997210e-15 5.483312e-02 0 0
1727.3324 1746.3331 6.121170e-15 4.492119e-15 5.022541e-02 16 0
1728.6888 1747.7044 7.378446e-15 5.327888e-15 6.140792e-02 16 0
1730.0453 1749.0758 1.689298e-14 4.235057e-15 1.439115e-01 0 0
1731.4017 1750.4471 -6.793357e-15 8.275390e-15 -6.220262e-02 16400 0
1732.7582 1751.8185 2.409703e-15 4.288058e-15 2.044428e-02 16 0
1734.1147 1753.1899 3.068140e-16 4.386687e-15 2.375131e-03 16 0
1735.4711 1754.5613 7.905852e-15 3.752198e-15 6.981569e-02 0 0
1736.8276 1755.9327 -2.598586e-14 8.130872e-15 -2.491168e-01 16400 0
1738.1841 1757.3042 1.720771e-14 3.708905e-15 1.572236e-01 0 0
1739.5407 1758.6756 3.676936e-15 3.617026e-15 3.325653e-02 16 0
1740.8972 1760.0471 1.333678e-14 4.070723e-15 1.241461e-01 16 0
1742.2538 1761.4185 1.651511e-14 8.566027e-15 1.559561e-01 16 0
1743.6103 1762.7900 1.381161e-14 6.275309e-15 1.315125e-01 16 0
1744.9669 1764.1615 1.342422e-14 4.191208e-15 1.291679e-01 16 0
1746.3235 1765.5330 2.081907e-14 3.665035e-15 2.038940e-01 0 0
1747.6801 1766.9046 3.079931e-14 3.747516e-15 3.068750e-01 0 0
1749.0367 1768.2761 1.569672e-14 4.626898e-15 1.563186e-01 16 0
1750.3933 1769.6476 2.250228e-14 3.814447e-15 2.277701e-01 0 0
1751.7499 1771.0192 2.086282e-14 3.421923e-15 2.131119e-01 0 0
1753.1066 1772.3908 8.043025e-15 3.424685e-15 8.181680e-02 0 0
1754.4632 1773.7623 3.970801e-15 3.298441e-15 4.041678e-02 16 0
1755.8199 1775.1339 1.161210e-14 3.217757e-15 1.211535e-01 0 0
1757.1766 1776.5055 -1.567428e-15 7.589955e-15 -1.759329e-02 16400 0
1758.5333 1777.8772 -1.346136e-15 4.108379e-15 -1.525539e-02 16400 0
1759.8900 1779.2488 4.107807e-15 3.240487e-15 4.350442e-02 0 0
1761.2467 1780.6205 4.639576e-15 3.251899e-15 4.968948e-02 16 0
