# SN2010JL obk004080 G430L CCD z=0.011 a2center=903.2 extrsize=15 exptime=600.0 mode=adaptive_es15@0.98 flags=none
# rest_wvl obs_wvl flux error net dq mask
2856.2272 2887.6457 -8.808126e-15 9.333391e-15 -5.651277e-02 16912 0
2858.9422 2890.3905 3.609651e-15 7.021067e-15 2.837217e-02 512 0
2861.6572 2893.1354 -5.281579e-15 5.624043e-15 -5.250835e-02 16896 0
2864.3723 2895.8804 -1.860632e-15 4.813853e-15 -2.178872e-02 16896 0
2867.0873 2898.6253 7.453397e-15 4.240780e-15 9.345949e-02 512 0
2869.8024 2901.3703 5.798998e-15 4.431302e-15 8.187100e-02 528 0
2872.5176 2904.1153 3.569042e-15 3.413516e-15 5.694316e-02 512 0
2875.2327 2906.8603 7.274301e-15 3.130501e-15 1.286133e-01 528 0
2877.9479 2909.6053 4.223162e-15 3.222134e-15 8.363405e-02 528 0
2880.6631 2912.3504 2.407760e-15 2.529921e-15 5.361348e-02 528 0
2883.3783 2915.0955 4.938732e-15 2.344854e-15 1.191622e-01 528 0
2886.0935 2917.8406 5.092412e-15 2.069339e-15 1.371453e-01 528 0
2888.8088 2920.5857 1.760822e-15 1.890086e-15 5.201324e-02 528 0
2891.5241 2923.3308 4.884485e-15 1.604274e-15 1.652996e-01 512 0
2894.2394 2926.0760 2.223286e-15 1.412978e-15 8.385993e-02 512 0
2896.9547 2928.8212 4.186406e-15 1.443479e-15 1.801612e-01 528 0
2899.6700 2931.5664 4.025452e-15 1.338379e-15 1.987239e-01 528 0
2902.3854 2934.3116 2.446504e-13 5.732255e-15 1.458292e+01 528 0
2905.1008 2937.0569 5.986399e-15 9.063372e-16 3.885193e-01 512 0
2907.8162 2939.8022 6.869171e-15 8.568576e-16 5.060946e-01 528 0
2910.5316 2942.5474 4.285465e-15 7.183782e-16 3.543323e-01 768 0
2913.2470 2945.2928 3.987843e-15 9.062272e-16 3.682173e-01 528 0
2915.9625 2948.0381 4.920698e-15 6.288064e-16 5.101627e-01 528 0
2918.6780 2950.7835 6.400692e-15 5.558202e-16 7.381210e-01 528 0
2921.3935 2953.5288 7.617971e-15 5.338032e-16 9.741102e-01 528 0
2924.1091 2956.2743 4.387445e-15 8.198742e-16 6.080768e-01 528 0
2926.8246 2959.0197 6.724114e-15 4.492686e-16 1.021662e+00 512 0
2929.5402 2961.7651 5.905726e-15 4.155581e-16 9.664381e-01 512 0
2932.2558 2964.5106 5.213751e-15 7.788043e-16 9.076247e-01 528 0
2934.9714 2967.2561 6.027699e-15 3.831344e-16 1.115786e+00 528 0
2937.6870 2970.0016 6.278301e-15 3.768098e-16 1.220464e+00 16 0
2940.4027 2972.7471 6.004617e-15 3.521579e-16 1.217810e+00 0 0
2943.1184 2975.4927 5.643801e-15 3.349472e-16 1.184727e+00 0 0
2945.8341 2978.2382 5.411462e-15 3.234714e-16 1.171098e+00 0 0
2948.5498 2980.9838 6.267345e-15 3.394181e-16 1.395070e+00 0 0
2951.2655 2983.7294 7.767638e-15 6.436566e-16 1.773756e+00 16 0
2953.9813 2986.4751 5.819742e-15 3.592693e-16 1.347238e+00 16 0
2956.6970 2989.2207 6.313981e-15 3.198498e-16 1.487079e+00 0 0
2959.4128 2991.9664 6.080275e-15 3.218024e-16 1.451168e+00 16 0
2962.1287 2994.7121 6.061837e-15 3.060055e-16 1.464312e+00 0 0
2964.8445 2997.4578 5.923031e-15 3.167908e-16 1.446820e+00 16 0
2967.5604 3000.2035 5.928086e-15 3.054241e-16 1.464370e+00 16 0
