# obs_wvl flux error
1.138000000000000000e+03 -9.239499260693940912e-15 1.634863065380649518e-18
1.138583323959214340e+03 -8.913715494818252007e-15 1.238543955496608371e-18
1.139166647918428680e+03 -3.129916597756573072e-15 3.430622722625957702e-19
1.139749971877643020e+03 -2.035265457675248671e-15 2.077556012092065778e-19
1.140333295836857360e+03 -1.554552656671886857e-15 1.581807610224829683e-19
1.140916619796071700e+03 -1.674047774514466430e-15 1.262423085214172187e-19
1.141499943755286040e+03 -1.428760220203987526e-15 9.803305997737075283e-20
1.142083267714500380e+03 -6.298684720540732956e-16 9.880771985188908117e-20
1.142666591673714720e+03 -8.158908804686331452e-16 7.245798486783172631e-20
1.143249915632929060e+03 -5.304103683670692729e-16 5.697635508013978785e-20
1.143833239592143400e+03 -4.346892824134173882e-16 5.038727767154457649e-20
1.144416563551357740e+03 -5.174121294082918743e-16 3.603467748623334830e-20
1.144999887510572080e+03 -5.252105159025819246e-16 3.220321759208977791e-20
1.145583211469786420e+03 -5.192432480813783974e-16 2.768703557232329154e-20
1.146166535429000760e+03 -3.992820877122090272e-16 2.607611715335721149e-20
1.146749859388215100e+03 -2.722198722377105896e-16 2.949045584879295377e-20
1.147333183347429440e+03 -2.792987057519859562e-16 2.389813129568383595e-20
1.147916507306643780e+03 -3.149051548942720869e-16 2.284984141910241424e-20
1.148499831265858120e+03 -3.106810967100570254e-16 2.344725505620067333e-20
1.149083155225072460e+03 -1.816157403931903718e-16 2.348671641058913711e-20
1.149666479184286800e+03 -2.184884642725282324e-16 1.721500062613705090e-20
1.150249803143501140e+03 -2.424696099533427674e-16 2.057376108498413649e-20
1.150833127102715480e+03 -2.139193130245548917e-16 2.216905932147923912e-20
1.151416451061929820e+03 -2.690473677239468966e-16 1.452244049365500005e-20
1.151999775021144160e+03 -1.686720922992040654e-16 1.564745439047439313e-20
1.152583098980358500e+03 -1.496689220268429509e-16 2.628100241869199576e-20
1.153166422939572840e+03 -1.518237628290950034e-16 1.847328656706589764e-20
1.153749746898787180e+03 -1.620794060640542890e-16 1.532860254139721196e-20
1.154333070858001520e+03 -1.585733757290994801e-16 1.489489857023838389e-20
1.154916394817215860e+03 -2.309809077720930579e-16 1.139183388685621744e-20
1.155499718776430200e+03 -1.353541251020293883e-16 1.964657975455673705e-20
1.156083042735644540e+03 -6.560538941296300304e-18 4.704828434966190711e-17
1.156666366694858880e+03 -2.113034823900870769e-17 4.421352314586540350e-17
1.157249690654073220e+03 -9.727198222931697570e-17 2.158783015174995759e-17
1.157833014613287560e+03 2.152916452764487789e-16 7.624859556608520561e-17
1.158416338572501900e+03 -1.693803623891299503e-16 1.776237124603692752e-20
1.158999662531716240e+03 -6.082532551195459083e-17 3.660477144745035317e-17
1.159582986490930580e+03 -4.123585039860816832e-17 4.009265483775333642e-17
1.160166310450144920e+03 -1.199677576004098294e-16 1.672165409256169409e-17
1.160749634409359260e+03 -1.621340160442575328e-16 1.384301460437384642e-20
1.161332958368573600e+03 -1.538737297908047056e-16 1.518863716430036339e-20
1.161916282327787940e+03 6.168944305569360138e-17 5.307209711112096206e-17
1.162499606287002280e+03 -1.332416620586237625e-16 1.262333015886389587e-20
1.163082930246216620e+03 -1.153825982685167633e-16 1.414690043735025421e-17
