# SN2010JL ocdd030d0 G230L MAMA z=0.011 a2center=588.4 extrsize=11 exptime=680.0 mode=fixed flags=low_detect,center_mismatch(588vs581)
# rest_wvl obs_wvl flux error net dq mask
1552.7631 1569.8435 0.000000e+00 0.000000e+00 3.231400e-03 2564 0
1554.2902 1571.3874 0.000000e+00 0.000000e+00 -4.065664e-03 2564 0
1555.8174 1572.9314 0.000000e+00 0.000000e+00 1.272163e-03 2564 0
1557.3445 1574.4753 0.000000e+00 0.000000e+00 4.851714e-04 2564 0
1558.8717 1576.0193 0.000000e+00 0.000000e+00 1.110828e-03 2560 0
1560.3989 1577.5633 0.000000e+00 0.000000e+00 -3.671441e-04 512 0
1561.9261 1579.1073 0.000000e+00 0.000000e+00 -7.977055e-03 512 0
1563.4533 1580.6513 2.113016e-13 1.021008e-13 1.286700e-02 0 0
1564.9805 1582.1953 3.406527e-14 4.253458e-14 4.762769e-03 0 0
1566.5077 1583.7393 8.742621e-14 3.319626e-14 1.913809e-02 0 0
1568.0349 1585.2833 -1.507841e-14 1.812271e-14 -4.495958e-03 0 0
1569.5622 1586.8273 1.130772e-15 1.583694e-14 4.269929e-04 0 0
1571.0894 1588.3714 -8.389745e-15 1.180167e-14 -3.836005e-03 0 0
1572.6166 1589.9154 -2.524472e-15 1.068841e-14 -1.355674e-03 0 0
1574.1439 1591.4595 3.122688e-15 1.008875e-14 1.926933e-03 0 0
1575.6712 1593.0036 -9.160154e-15 7.269375e-15 -6.387729e-03 0 0
1577.1985 1594.5476 7.078200e-15 8.172338e-15 5.633224e-03 0 0
1578.7258 1596.0917 2.939367e-16 6.722062e-15 2.631573e-04 0 0
1580.2530 1597.6358 5.899158e-16 6.067354e-15 5.975466e-04 0 0
1581.7804 1599.1799 -4.423126e-15 4.617144e-15 -5.007121e-03 0 0
1583.3077 1600.7241 6.166992e-16 4.855815e-15 7.816143e-04 0 0
1584.8350 1602.2682 8.733867e-16 4.346665e-15 1.226777e-03 0 0
1586.3623 1603.8123 2.656866e-15 4.137147e-15 4.136143e-03 0 0
1587.8897 1605.3565 -4.684671e-15 2.825325e-15 -8.015960e-03 0 0
1589.4170 1606.9006 1.621905e-15 3.361232e-15 3.049121e-03 0 0
1590.9444 1608.4448 1.038085e-15 2.988114e-15 2.129558e-03 0 0
1592.4718 1609.9890 2.335221e-16 2.729345e-15 5.224621e-04 0 0
1593.9992 1611.5331 -1.881302e-16 2.398563e-15 -4.564589e-04 0 0
1595.5265 1613.0773 -6.515171e-16 2.203597e-15 -1.712781e-03 0 0
1597.0539 1614.6215 -5.073355e-16 1.999647e-15 -1.438287e-03 0 0
1598.5814 1616.1657 -8.921802e-16 1.825364e-15 -2.723795e-03 0 0
1600.1088 1617.7100 5.284040e-15 2.378504e-15 1.730245e-02 0 0
1601.6362 1619.2542 -1.383015e-15 1.542084e-15 -4.848663e-03 0 0
1603.1636 1620.7984 -6.202440e-16 1.482648e-15 -2.320112e-03 0 0
1604.6911 1622.3427 5.986964e-16 1.566692e-15 2.384666e-03 0 0
1606.2185 1623.8869 -2.269909e-15 1.082909e-15 -9.598523e-03 0 0
1607.7460 1625.4312 -1.262775e-15 1.131983e-15 -5.656593e-03 0 0
1609.2735 1626.9755 -8.661278e-16 1.133001e-15 -4.099283e-03 0 0
1610.8010 1628.5198 2.684038e-16 1.236201e-15 1.339248e-03 0 0
1612.3284 1630.0641 -7.813425e-16 1.013828e-15 -4.100734e-03 0 0
1613.8560 1631.6084 -9.543024e-16 9.399042e-16 -5.256917e-03 0 0
1615.3835 1633.1527 7.121612e-16 1.113923e-15 4.109267e-03 0 0
1616.9110 1634.6970 -1.881594e-16 9.443204e-16 -1.134964e-03 0 0
1618.4385 1636.2413 -1.853894e-16 9.117173e-16 -1.166874e-03 0 0
1619.9660 1637.7857 -7.622953e-16 7.971712e-16 -4.997343e-03 0 0
1621.4936 1639.3300 2.011660e-15 1.081597e-15 1.371330e-02 0 0
