# SN2010JL ocdd05050 G140L MAMA z=0.011 a2center=223.5 extrsize=11 exptime=669.0 mode=fixed flags=low_detect,center_mismatch(224vs428)
# rest_wvl obs_wvl flux error net dq mask
1109.3395 1121.5423 0.000000e+00 0.000000e+00 -6.891892e-05 2564 0
1109.9161 1122.1252 0.000000e+00 0.000000e+00 -6.891890e-05 2564 0
1110.4927 1122.7081 0.000000e+00 0.000000e+00 -6.891889e-05 2564 0
1111.0693 1123.2910 0.000000e+00 0.000000e+00 -6.891888e-05 2564 0
1111.6458 1123.8739 0.000000e+00 0.000000e+00 5.641195e-07 2560 0
1112.2224 1124.4569 0.000000e+00 0.000000e+00 3.012310e-04 512 0
1112.7990 1125.0398 0.000000e+00 0.000000e+00 2.944143e-07 512 0
1113.3755 1125.6227 0.000000e+00 0.000000e+00 -8.876668e-09 512 0
1113.9521 1126.2056 0.000000e+00 0.000000e+00 4.696849e-07 512 0
1114.5287 1126.7885 0.000000e+00 0.000000e+00 5.886177e-07 512 0
1115.1052 1127.3714 0.000000e+00 0.000000e+00 -1.144351e-04 512 0
1115.6818 1127.9543 0.000000e+00 0.000000e+00 -1.213564e-04 512 0
1116.2584 1128.5372 0.000000e+00 0.000000e+00 -1.291225e-04 512 0
1116.8349 1129.1201 0.000000e+00 0.000000e+00 -1.380848e-04 512 0
1117.4115 1129.7030 0.000000e+00 0.000000e+00 -1.403749e-04 512 0
1117.9880 1130.2859 0.000000e+00 0.000000e+00 -1.500136e-04 512 0
1118.5646 1130.8688 0.000000e+00 0.000000e+00 -1.547873e-04 512 0
1119.1411 1131.4517 0.000000e+00 0.000000e+00 -1.616407e-04 512 0
1119.7177 1132.0346 0.000000e+00 0.000000e+00 -1.685793e-04 512 0
1120.2942 1132.6175 0.000000e+00 0.000000e+00 -1.745923e-04 512 0
1120.8708 1133.2003 0.000000e+00 0.000000e+00 -1.804627e-04 512 0
1121.4473 1133.7832 0.000000e+00 0.000000e+00 -1.860021e-04 512 0
1122.0239 1134.3661 0.000000e+00 0.000000e+00 -1.926396e-04 512 0
1122.6004 1134.9490 0.000000e+00 0.000000e+00 1.502587e-04 512 0
1123.1769 1135.5319 0.000000e+00 0.000000e+00 -2.046712e-04 512 0
1123.7535 1136.1148 0.000000e+00 0.000000e+00 -2.116429e-04 512 0
1124.3300 1136.6976 0.000000e+00 0.000000e+00 -2.158747e-04 512 0
1124.9065 1137.2805 0.000000e+00 0.000000e+00 1.215049e-03 512 0
1125.4831 1137.8634 0.000000e+00 0.000000e+00 -2.295086e-04 512 0
1126.0596 1138.4463 -6.890340e-15 3.887312e-18 -2.358164e-04 0 0
1126.6361 1139.0291 -2.811525e-15 1.573128e-18 -2.430237e-04 0 0
1127.2127 1139.6120 -1.788511e-15 9.664902e-19 -2.481243e-04 0 0
1127.7892 1140.1949 -1.324968e-15 6.929557e-19 -2.533775e-04 0 0
1128.3657 1140.7777 -1.068035e-15 5.578647e-19 -2.606564e-04 0 0
