# SN2010JL ocdd050b0 G140L MAMA z=0.011 a2center=512.8 extrsize=11 exptime=669.0 mode=fixed flags=low_detect,center_mismatch(513vs434)
# rest_wvl obs_wvl flux error net dq mask
1107.6444 1119.8285 0.000000e+00 0.000000e+00 -6.947074e-05 2564 0
1108.2222 1120.4127 0.000000e+00 0.000000e+00 -6.947076e-05 2564 0
1108.8001 1120.9969 0.000000e+00 0.000000e+00 1.423765e-03 2564 0
1109.3779 1121.5810 0.000000e+00 0.000000e+00 -6.947079e-05 2564 0
1109.9557 1122.1652 0.000000e+00 0.000000e+00 -1.150758e-06 2560 0
1110.5335 1122.7494 0.000000e+00 0.000000e+00 1.436280e-03 512 0
1111.1113 1123.3336 0.000000e+00 0.000000e+00 -6.725531e-07 512 0
1111.6892 1123.9177 0.000000e+00 0.000000e+00 -2.778543e-07 512 0
1112.2670 1124.5019 0.000000e+00 0.000000e+00 -1.145656e-04 512 0
1112.8448 1125.0861 0.000000e+00 0.000000e+00 1.379005e-06 512 0
1113.4226 1125.6703 0.000000e+00 0.000000e+00 -6.245145e-04 512 0
1114.0004 1126.2544 0.000000e+00 0.000000e+00 -6.450539e-04 512 0
1114.5782 1126.8386 0.000000e+00 0.000000e+00 -6.676121e-04 512 0
1115.1561 1127.4228 0.000000e+00 0.000000e+00 -6.885598e-04 512 0
1115.7339 1128.0069 0.000000e+00 0.000000e+00 -7.052534e-04 512 0
1116.3117 1128.5911 0.000000e+00 0.000000e+00 -7.279861e-04 512 0
1116.8895 1129.1753 0.000000e+00 0.000000e+00 -7.465518e-04 512 0
1117.4673 1129.7594 0.000000e+00 0.000000e+00 -7.651720e-04 512 0
1118.0451 1130.3436 0.000000e+00 0.000000e+00 -7.868867e-04 512 0
1118.6229 1130.9278 0.000000e+00 0.000000e+00 3.620467e-03 512 0
1119.2007 1131.5119 0.000000e+00 0.000000e+00 -8.240213e-04 512 0
1119.7785 1132.0961 0.000000e+00 0.000000e+00 -3.828964e-04 512 0
1120.3563 1132.6802 0.000000e+00 0.000000e+00 -8.620978e-04 512 0
1120.9341 1133.2644 0.000000e+00 0.000000e+00 -8.800609e-04 512 0
1121.5119 1133.8485 0.000000e+00 0.000000e+00 5.562280e-04 512 0
1122.0897 1134.4327 0.000000e+00 0.000000e+00 -9.187357e-04 512 0
1122.6675 1135.0168 0.000000e+00 0.000000e+00 -9.378546e-04 512 0
1123.2453 1135.6010 0.000000e+00 0.000000e+00 -9.555488e-04 512 0
1123.8231 1136.1852 0.000000e+00 0.000000e+00 4.584666e-04 512 0
1124.4009 1136.7693 0.000000e+00 0.000000e+00 -9.923824e-04 512 0
1124.9787 1137.3535 0.000000e+00 0.000000e+00 -1.012022e-03 512 0
1125.5565 1137.9376 0.000000e+00 0.000000e+00 4.118749e-04 512 0
1126.1343 1138.5217 1.177523e-14 3.737110e-14 4.822124e-04 0 0
1126.7121 1139.1059 4.885851e-15 1.632749e-14 4.555581e-04 0 0
1127.2899 1139.6900 -7.456218e-15 9.500157e-19 -1.085695e-03 0 0
1127.8676 1140.2742 2.061127e-15 7.614928e-15 4.085704e-04 0 0
1128.4454 1140.8583 -3.792400e-16 4.881045e-15 -9.524322e-05 0 0
1129.0232 1141.4425 9.941164e-16 4.533624e-15 3.187010e-04 0 0
1129.6010 1142.0266 -2.889402e-15 3.500518e-19 -1.157057e-03 0 0
1130.1788 1142.6107 5.321812e-16 2.873778e-15 2.660637e-04 0 0
1130.7566 1143.1949 -1.943265e-15 2.201712e-19 -1.189678e-03 0 0
1131.3343 1143.7790 -1.625952e-15 1.866963e-19 -1.208575e-03 0 0
1131.9121 1144.3632 -1.378374e-15 1.480494e-19 -1.222667e-03 0 0
1132.4899 1144.9473 -1.188826e-15 1.249860e-19 -1.239287e-03 0 0
1133.0677 1145.5314 -1.043602e-15 1.127434e-19 -1.258587e-03 0 0
1133.6455 1146.1156 1.625810e-16 1.088997e-15 2.233601e-04 0 0
