# SN2010JL ocdd050d0 G230L MAMA z=0.011 a2center=465.0 extrsize=11 exptime=695.0 mode=fixed flags=low_detect
# rest_wvl obs_wvl flux error net dq mask
1551.1517 1568.2144 0.000000e+00 0.000000e+00 -6.276624e-03 2564 0
1552.6780 1569.7575 0.000000e+00 0.000000e+00 -3.487946e-03 2564 0
1554.2043 1571.3005 0.000000e+00 0.000000e+00 8.293692e-03 2564 0
1555.7306 1572.8436 0.000000e+00 0.000000e+00 7.040086e-03 2564 0
1557.2569 1574.3867 0.000000e+00 0.000000e+00 2.467604e-04 2560 0
1558.7832 1575.9298 0.000000e+00 0.000000e+00 3.791708e-03 512 0
1560.3095 1577.4729 0.000000e+00 0.000000e+00 1.343944e-02 512 0
1561.8359 1579.0161 0.000000e+00 0.000000e+00 -7.705152e-03 512 0
1563.3622 1580.5592 -1.460214e-13 9.508900e-14 -7.819716e-03 0 0
1564.8885 1582.1023 -2.062130e-14 3.628262e-14 -2.576736e-03 0 0
1566.4149 1583.6455 2.430296e-14 3.106233e-14 4.776603e-03 0 0
1567.9413 1585.1886 -1.266506e-14 1.855450e-14 -3.398275e-03 0 0
1569.4676 1586.7318 -2.684349e-14 1.156755e-14 -9.134300e-03 0 0
1570.9940 1588.2750 -5.036493e-15 1.243080e-14 -2.077186e-03 0 0
1572.5204 1589.8181 8.132680e-15 1.215258e-14 3.942403e-03 0 0
1574.0468 1591.3613 5.495055e-15 1.040130e-14 3.062549e-03 0 0
1575.5732 1592.9045 1.848993e-15 8.578402e-15 1.165045e-03 0 0
1577.0996 1594.4477 3.590852e-15 8.033698e-15 2.581738e-03 0 0
1578.6261 1595.9909 1.107643e-14 8.053216e-15 8.962462e-03 0 0
1580.1525 1597.5342 -2.157007e-15 5.534788e-15 -1.974476e-03 0 0
1581.6789 1599.0774 -1.972076e-15 5.001727e-15 -2.018252e-03 0 0
1583.2054 1600.6206 -2.345146e-15 4.403919e-15 -2.687053e-03 0 0
1584.7318 1602.1639 -9.659268e-15 2.572189e-15 -1.227014e-02 0 0
