# obs_wvl flux error
2.969000000000000000e+03 1.375781236709946315e-14 2.187142434299948348e-16
2.971746682696314565e+03 1.351331248714882538e-14 1.665927643333940771e-16
2.974493365392629130e+03 1.362341944434568732e-14 1.649023598133878743e-16
2.977240048088943695e+03 1.414742824407383306e-14 1.787512928827594129e-16
2.979986730785258260e+03 1.398839100675906113e-14 1.817114618553081400e-16
2.982733413481572825e+03 1.410123958668643594e-14 1.969037435251818119e-16
2.985480096177887390e+03 1.303469341028125867e-14 1.751974414145391623e-16
2.988226778874201955e+03 1.243634418719766047e-14 1.550682510815974180e-16
2.990973461570516520e+03 1.226946270042874265e-14 1.528340923843849779e-16
2.993720144266831085e+03 1.189303300033595550e-14 1.565657547814390586e-16
2.996466826963145650e+03 1.158872962870998300e-14 1.639511013050231523e-16
2.999213509659460215e+03 1.159734220305260419e-14 1.430797092772071597e-16
3.001960192355774780e+03 1.168205015944956811e-14 1.539083026000262120e-16
3.004706875052089345e+03 1.147943633815680213e-14 3.093243192673745003e-16
3.007453557748403909e+03 1.154853909308289669e-14 1.606671961628889425e-16
3.010200240444718474e+03 1.186061235804355359e-14 1.406244918833905564e-16
3.012946923141033039e+03 1.213821007102794696e-14 1.537702445821475889e-16
3.015693605837347604e+03 1.206614646577770453e-14 2.272536265984073043e-16
3.018440288533662169e+03 1.276646023321187591e-14 1.700037998314530218e-16
3.021186971229976734e+03 1.280467885905724954e-14 1.890123776705848151e-16
3.023933653926291299e+03 1.349421398530387602e-14 1.594562354531967632e-16
3.026680336622605864e+03 1.375361933561842174e-14 1.439112414209869855e-16
3.029427019318920429e+03 1.404941853821885906e-14 1.501183243781545736e-16
3.032173702015234994e+03 1.438946846487366489e-14 1.383309636037257334e-16
3.034920384711549559e+03 1.474982623218167529e-14 1.368063867869198916e-16
3.037667067407864124e+03 1.475783776707908592e-14 1.411029936560851908e-16
3.040413750104178689e+03 1.450547074412685411e-14 1.441668794483564995e-16
3.043160432800493254e+03 1.468870262390894320e-14 1.406903769310583596e-16
3.045907115496807819e+03 1.456387480894436020e-14 1.493182509061626218e-16
3.048653798193122384e+03 1.478098372355547572e-14 1.394927824626916780e-16
3.051400480889436949e+03 1.473024509191511997e-14 1.346655515992936701e-16
3.054147163585751514e+03 1.449499819388971317e-14 1.433448716278965578e-16
3.056893846282066079e+03 1.438380540749643530e-14 1.513241515057936741e-16
3.059640528978380644e+03 1.452179338526582308e-14 1.436422373095672464e-16
3.062387211674695209e+03 1.466521038047260326e-14 1.427321794225334608e-16
3.065133894371009774e+03 1.478604371395540230e-14 1.434910779831453741e-16
3.067880577067324339e+03 1.505631615727910670e-14 1.263879407164782283e-16
