# obs_wvl flux error
2.969000000000000000e+03 1.371629017271163624e-14 1.924675849181573235e-16
2.974493365392629130e+03 1.367031686263921444e-14 1.325277292655036860e-16
2.979986730785258260e+03 1.407664383026524817e-14 1.452984231682669521e-16
2.985480096177887390e+03 1.318735264258450901e-14 1.444244096377281354e-16
2.990973461570516520e+03 1.222545711547652266e-14 1.219835919559733487e-16
2.996466826963145650e+03 1.163421336382087655e-14 1.282254309043518422e-16
3.001960192355774780e+03 1.163294652461717730e-14 1.281936119321419867e-16
3.007453557748403909e+03 1.157116824812891123e-14 1.719570778216706769e-16
3.012946923141033039e+03 1.208180585547193894e-14 1.227918089412618303e-16
3.018440288533662169e+03 1.260531352342055992e-14 1.510156094136843714e-16
3.023933653926291299e+03 1.336980508221896269e-14 1.332830034516429891e-16
3.029427019318920429e+03 1.404357532125727327e-14 1.168074650629333082e-16
3.034920384711549559e+03 1.468688971525945395e-14 1.084554885553518405e-16
3.040413750104178689e+03 1.458938037826377588e-14 1.132422749081462704e-16
3.045907115496807819e+03 1.464752141540295800e-14 1.156496374669813462e-16
3.051400480889436949e+03 1.471964129117268203e-14 1.074859558196251724e-16
3.056893846282066079e+03 1.441998534000449602e-14 1.175282150541641114e-16
3.062387211674695209e+03 1.466422435831811767e-14 1.125806969367099705e-16
3.067880577067324339e+03 1.503355916447946129e-14 1.036293209216000708e-16
3.073373942459953469e+03 1.520495411685606935e-14 1.091833047139743966e-16
3.078867307852582599e+03 1.545032517791529743e-14 1.115394663010511892e-16
3.084360673245211728e+03 1.569879653197702668e-14 1.339617079463909945e-16
3.089854038637840858e+03 1.610433058838490533e-14 1.109383746360425843e-16
3.095347404030469988e+03 1.648107158361856406e-14 1.111773755183259077e-16
3.100840769423099118e+03 1.701248620600528131e-14 1.131969641204602728e-16
3.106334134815728248e+03 1.808475846246693718e-14 1.055657996368456631e-16
3.111827500208357378e+03 1.891122664530183795e-14 1.217202774598345141e-16
3.117320865600986508e+03 1.942246544073860284e-14 1.314145033110902683e-16
3.122814230993615638e+03 1.949163063872521403e-14 1.188703262995728942e-16
3.128307596386244768e+03 1.952872501166376506e-14 1.199771243119499511e-16
3.133800961778873898e+03 1.947428832008065222e-14 1.222081166019263182e-16
3.139294327171503028e+03 1.910365652995055570e-14 1.188221027268776705e-16
3.144787692564132158e+03 1.891338174232870651e-14 1.187905495736894379e-16
3.150281057956761288e+03 1.845050992913848277e-14 1.205951068377080756e-16
3.155774423349390418e+03 1.838789652490894366e-14 1.123152417980372388e-16
3.161267788742019547e+03 1.803057858114717087e-14 1.129146539776305177e-16
3.166761154134648677e+03 1.745834100871248062e-14 1.080838557012025401e-16
3.172254519527277807e+03 1.717947755380940941e-14 1.080433386230295751e-16
3.177747884919906937e+03 1.691364765353547761e-14 1.058106321016270889e-16
3.183241250312536067e+03 1.654465734337680017e-14 1.042830258549556044e-16
3.188734615705165197e+03 1.622687118781929887e-14 1.468053223139317158e-16
3.194227981097794327e+03 1.577110349217176286e-14 1.369737801368022564e-16
3.199721346490423457e+03 1.531709889917639110e-14 9.888965690778930254e-17
3.205214711883052587e+03 1.542929705385550937e-14 1.200812020663804426e-16
3.210708077275681717e+03 1.435660897713227267e-14 9.379980105728341522e-17
3.216201442668310847e+03 1.369931614095521532e-14 9.403214523118647828e-17
3.221694808060939977e+03 1.332030968113773124e-14 8.987978088959826610e-17
3.227188173453569107e+03 1.293711250453912818e-14 9.007841107874211013e-17
3.232681538846198237e+03 1.237990348551104227e-14 9.519125947105455819e-17
3.238174904238827366e+03 1.218744283229699826e-14 9.173087814968333769e-17
3.243668269631456496e+03 1.223245005339064664e-14 8.442732304620158354e-17
3.249161635024085626e+03 1.198321304921940198e-14 8.324456863854308863e-17
3.254655000416714756e+03 1.209895229461595755e-14 8.780657760892253983e-17
3.260148365809343886e+03 1.204243492761249849e-14 8.310726477645923585e-17
3.265641731201973016e+03 1.222280611833514872e-14 8.155570830498804156e-17
3.271135096594602146e+03 1.218093384624453044e-14 8.447340430066625160e-17
3.276628461987231276e+03 1.235038058867972297e-14 8.340925372159037726e-17
3.282121827379860406e+03 1.238038676639386731e-14 8.557201700573392159e-17
3.287615192772489536e+03 1.252257158501425628e-14 8.319305833668031580e-17
3.293108558165118666e+03 1.291042501703798935e-14 8.394999896287052953e-17
3.298601923557747796e+03 1.318993280559119802e-14 8.768472655488737036e-17
3.304095288950376926e+03 1.342849442574279755e-14 9.121742187149252909e-17
3.309588654343006056e+03 1.424753084719384550e-14 8.683205292093283682e-17
3.315082019735635185e+03 1.483819334002993255e-14 8.930978665706049016e-17
3.320575385128264315e+03 1.524113118507501495e-14 8.667906883802460571e-17
3.326068750520893445e+03 1.567170171166885331e-14 1.028263113645783586e-16
3.331562115913522575e+03 1.663931599843263977e-14 9.761400740558354645e-17
3.337055481306151705e+03 1.763945277382522459e-14 9.981563522256528125e-17
3.342548846698780835e+03 1.761874838576372669e-14 1.115335525286042554e-16
3.348042212091409965e+03 1.831309602318204169e-14 1.298182068579739014e-16
3.353535577484039095e+03 1.703345138237673818e-14 1.017803094260094892e-16
3.359028942876668225e+03 1.658925607058334530e-14 9.643333398181480106e-17
3.364522308269297355e+03 1.616636167794522004e-14 9.381977549277826441e-17
3.370015673661926485e+03 1.585779450017241111e-14 9.508561605262268336e-17
3.375509039054555615e+03 1.566919344589623778e-14 9.156165631383366342e-17
3.381002404447184745e+03 1.570160440586804300e-14 9.107404162210812298e-17
3.386495769839813875e+03 1.620511818211466438e-14 9.600821051195715213e-17
3.391989135232443004e+03 1.641986971861756146e-14 1.138186186885605010e-16
3.397482500625072134e+03 1.715837119748738589e-14 1.048508939311428185e-16
3.402975866017701264e+03 1.768195986432338444e-14 9.940730448228045036e-17
3.408469231410330394e+03 1.810641174909857376e-14 9.858264883646401939e-17
3.413962596802959524e+03 1.837247309319857811e-14 1.014295861123609707e-16
3.419455962195588654e+03 1.820346817766278291e-14 1.089911484790602615e-16
3.424949327588217784e+03 1.864141398823607171e-14 9.690729020373699901e-17
3.430442692980846914e+03 1.854034333213624680e-14 1.048515882782857347e-16
3.435936058373476044e+03 1.937212885501520579e-14 1.039664099316910519e-16
3.441429423766105174e+03 2.041721402879373817e-14 9.998694814611445963e-17
3.446922789158734304e+03 2.081454471736071826e-14 1.041929311187041112e-16
3.452416154551363434e+03 2.119678234280557675e-14 1.072371514252517741e-16
3.457909519943992564e+03 2.119167430364206419e-14 1.076219554642869498e-16
3.463402885336621694e+03 2.096350202117442810e-14 1.025062574019630504e-16
3.468896250729250823e+03 2.028802843449407227e-14 1.025507223629409673e-16
3.474389616121879953e+03 2.019490510199637100e-14 1.041697085803188570e-16
3.479882981514509083e+03 2.063853307628769627e-14 9.960514200365248264e-17
3.485376346907138213e+03 2.076313077093171817e-14 1.062880973854503781e-16
3.490869712299767343e+03 2.128337486047489118e-14 1.167312633823133814e-16
3.496363077692396473e+03 2.197284326931803695e-14 1.118539713083105107e-16
3.501856443085025603e+03 2.219462054244329395e-14 1.070340529264640561e-16
3.507349808477654733e+03 2.213326227776859554e-14 1.179121050467831915e-16
3.512843173870283863e+03 2.191494108097257250e-14 1.169048879494687790e-16
3.518336539262912993e+03 2.237278896171628662e-14 1.138790625966924411e-16
3.523829904655542123e+03 2.274503774834953862e-14 1.119746281375402291e-16
3.529323270048171253e+03 2.280132293161800556e-14 1.150877048193107752e-16
3.534816635440800383e+03 2.339272053434276716e-14 1.208233709018684530e-16
3.540310000833429513e+03 2.360233947423133803e-14 1.139710700843437613e-16
3.545803366226058642e+03 2.401249133397523219e-14 1.140744309328408531e-16
3.551296731618687772e+03 2.386264421740359291e-14 1.211360336506783261e-16
3.556790097011316902e+03 2.456801953640760917e-14 1.147466934268183250e-16
3.562283462403946032e+03 2.489733116703936006e-14 1.118046220577695743e-16
3.567776827796575162e+03 2.516289607767186580e-14 1.156496554089380275e-16
3.573270193189204292e+03 2.515536642873344577e-14 1.129482899454146005e-16
3.578763558581833422e+03 2.506906579381427194e-14 1.313381513229955852e-16
3.584256923974462552e+03 2.504757893880924763e-14 1.461238195413237030e-16
3.589750289367091682e+03 2.477935073080043635e-14 1.174526483351144155e-16
3.595243654759720812e+03 2.446773588864982455e-14 1.160429731243379883e-16
3.600737020152349942e+03 2.403527083122099459e-14 1.157101187775302981e-16
3.606230385544979072e+03 2.428530658247283835e-14 1.135127955031705248e-16
3.611723750937608202e+03 2.414370359216624280e-14 1.153575095376231774e-16
3.617217116330237332e+03 2.340652234256812044e-14 1.135527402578647666e-16
3.622710481722866461e+03 2.317852656162100405e-14 1.111172308453761329e-16
