# obs_wvl flux error
2.969000000000000000e+03 1.867708342889222821e-15 2.649425002542515120e-16
2.974493209426465910e+03 1.495546185668786327e-15 1.889102699504299013e-16
2.979986418852931820e+03 1.735301705183995993e-15 1.884316573825365005e-16
2.985479628279397730e+03 1.708262742045012614e-15 1.979565883870906680e-16
2.990972837705863640e+03 1.540128272067212918e-15 1.584104900862885196e-16
2.996466047132329550e+03 1.742416401554882787e-15 1.635372984552839168e-16
3.001959256558795460e+03 1.595562088816918928e-15 1.682424347623543002e-16
3.007452465985261369e+03 1.465923664139724992e-15 1.715534364632481286e-16
3.012945675411727279e+03 1.726520047062659942e-15 1.435694517907890332e-16
3.018438884838193189e+03 1.677096984549686569e-15 1.410303448777039618e-16
3.023932094264659099e+03 1.786924600173106271e-15 1.401460564814766284e-16
3.029425303691125009e+03 1.670825451184529875e-15 1.428994111118115595e-16
3.034918513117590919e+03 1.645316336650533228e-15 1.341982039342505876e-16
3.040411722544056829e+03 1.689119003092243739e-15 1.270190409956167794e-16
3.045904931970522739e+03 1.912137378440285147e-15 1.289196646059845066e-16
3.051398141396988649e+03 1.701784632213239170e-15 1.186467909940337918e-16
3.056891350823454559e+03 1.391024262925584041e-15 1.241283343657578157e-16
3.062384560249920469e+03 1.653267271440096782e-15 1.449140200293663461e-16
3.067877769676386379e+03 1.667583611596286974e-15 1.180458191420266985e-16
3.073370979102852289e+03 1.319840890584457187e-15 1.404726987908849351e-16
3.078864188529318199e+03 1.720120309519568106e-15 1.043537413779824158e-16
3.084357397955784108e+03 1.536878699030278213e-15 1.183767950859428437e-16
3.089850607382250018e+03 1.580828185546608450e-15 1.096472863411794769e-16
3.095343816808715928e+03 1.415205463900201486e-15 9.860837404608725420e-17
3.100837026235181838e+03 1.561063047173380043e-15 1.056458684852351250e-16
3.106330235661647748e+03 1.409673937662213437e-15 9.924742283035780775e-17
3.111823445088113658e+03 1.629611481590793628e-15 1.005917774074506405e-16
3.117316654514579568e+03 1.537835316802801195e-15 1.120057100452977028e-16
3.122809863941045478e+03 1.540423868354361393e-15 1.036681709468268507e-16
3.128303073367511388e+03 1.692648101247121594e-15 1.007531288119092260e-16
3.133796282793977298e+03 1.804916904062178407e-15 9.946416424337250112e-17
3.139289492220443208e+03 1.568781302801895477e-15 9.101851435364363133e-17
3.144782701646909118e+03 1.709621410488227102e-15 9.148137109647967729e-17
3.150275911073375028e+03 1.841856989941108048e-15 9.002157067073352778e-17
3.155769120499840938e+03 2.088262800803829960e-15 9.068725879805495444e-17
3.161262329926306847e+03 1.991399960079575144e-15 1.107781859473972005e-16
3.166755539352772757e+03 1.741602247244734599e-15 9.448849359393542730e-17
3.172248748779238667e+03 1.985915910799159564e-15 9.356918619072785958e-17
3.177741958205704577e+03 1.843946144506875771e-15 1.003886200955696406e-16
3.183235167632170487e+03 1.927803812219363908e-15 8.837990526754089237e-17
3.188728377058636397e+03 2.095719680199599678e-15 9.021094604230500830e-17
3.194221586485102307e+03 2.059289681869976671e-15 8.658143694296953146e-17
3.199714795911568217e+03 1.964056659904505251e-15 8.340138960089980444e-17
3.205208005338034127e+03 1.798700136143332591e-15 9.843330000260477087e-17
3.210701214764500037e+03 1.948079168569362139e-15 8.576853433742426639e-17
3.216194424190965947e+03 1.771643300207335452e-15 8.974847814162829483e-17
3.221687633617431857e+03 1.824899037127193712e-15 7.977777215042900371e-17
3.227180843043897767e+03 1.790177996613317776e-15 1.008681213039517067e-16
3.232674052470363677e+03 1.568361551165563509e-15 8.111144752666844013e-17
3.238167261896829586e+03 1.708965709043891928e-15 8.269944403946330845e-17
3.243660471323295496e+03 1.643517815086498135e-15 8.320553605723872201e-17
3.249153680749761406e+03 1.656852895625339668e-15 7.462945685409615087e-17
3.254646890176227316e+03 1.625351621324293715e-15 9.251166686262335823e-17
3.260140099602693226e+03 1.814847746769533249e-15 7.223804953568406147e-17
3.265633309029159136e+03 1.946946938183989709e-15 7.630731830435718163e-17
3.271126518455625046e+03 2.048674218844335978e-15 8.180099249037541551e-17
3.276619727882090956e+03 2.177576265041323747e-15 7.642678726741056503e-17
3.282112937308556866e+03 2.124434902453655995e-15 7.583079431894248064e-17
3.287606146735022776e+03 2.363323621785388706e-15 7.892358221625116175e-17
3.293099356161488686e+03 2.616385717111514682e-15 7.847266489996598779e-17
3.298592565587954596e+03 2.761673194665047277e-15 7.973941297757477465e-17
3.304085775014420506e+03 2.853265268299080579e-15 7.457802361421923394e-17
3.309578984440886416e+03 2.961932624498271756e-15 7.703212178716392894e-17
3.315072193867352325e+03 3.093057959929920936e-15 7.867447471268546897e-17
3.320565403293818235e+03 3.307372974391554144e-15 7.625439882982498623e-17
3.326058612720284145e+03 3.454307163867361829e-15 8.726296763283226476e-17
3.331551822146750055e+03 3.570489682027159753e-15 7.846119759503813173e-17
3.337045031573215965e+03 3.612093621145738451e-15 7.861108548417062705e-17
3.342538240999681875e+03 3.978242270631320766e-15 7.882339569559286670e-17
3.348031450426147785e+03 4.030695393031065345e-15 1.003563889712393464e-16
3.353524659852613695e+03 4.158632135363081812e-15 8.582079522196558886e-17
3.359017869279079605e+03 4.360182632333031773e-15 8.226274637613945347e-17
3.364511078705545515e+03 4.325479620449796951e-15 7.823961155825828133e-17
3.370004288132011425e+03 4.459799003690870925e-15 1.016182442529816533e-16
3.375497497558477335e+03 4.603255059415737943e-15 7.768986747603407086e-17
3.380990706984943245e+03 4.895048040719006574e-15 7.882293709451565172e-17
3.386483916411409155e+03 4.122528786195781963e-15 8.234544980937969059e-17
3.391977125837875064e+03 4.276177834705090261e-15 9.426125283349263496e-17
3.397470335264340974e+03 5.266417596174275991e-15 7.985298209141013388e-17
3.402963544690806884e+03 5.525754461870353997e-15 7.810757966616661816e-17
3.408456754117272794e+03 5.758321163079925815e-15 8.383171849473943633e-17
3.413949963543738704e+03 5.987540068824457081e-15 8.114905550005610005e-17
3.419443172970204614e+03 6.088001543695533337e-15 7.929969539163928519e-17
3.424936382396670524e+03 6.928875463170039836e-15 1.015258928571191019e-16
3.430429591823136434e+03 6.713208808500850606e-15 8.667888920796876195e-17
3.435922801249602344e+03 7.075552530381588492e-15 8.323777659394332136e-17
