# SN2011DH oboo01040 G430L CCD z=0.002 a2center=911.9 extrsize=15 exptime=400.0 mode=adaptive_es15@0.98 flags=none
# rest_wvl obs_wvl flux error net dq mask
2881.1782 2886.9406 1.220734e-14 1.375986e-14 6.941703e-02 512 0
2883.9173 2889.6852 3.591761e-15 1.050240e-14 2.830883e-02 16896 0
2886.6565 2892.4298 -9.495587e-15 8.447500e-15 -9.153877e-02 16896 0
2889.3956 2895.1744 -1.548175e-14 7.160500e-15 -1.765299e-01 16896 0
2892.1348 2897.9191 4.673069e-15 6.387510e-15 5.530392e-02 512 0
2894.8740 2900.6637 -1.261145e-14 6.871022e-15 -1.883936e-01 16912 0
2897.6132 2903.4084 -3.772966e-15 5.023939e-15 -6.305224e-02 16896 0
2900.3524 2906.1531 4.907238e-15 4.751136e-15 8.055208e-02 528 0
2903.0917 2908.8979 -3.108769e-15 4.373584e-15 -6.455038e-02 16912 0
2905.8310 2911.6427 4.013483e-16 3.806565e-15 8.535065e-03 528 0
2908.5703 2914.3874 -6.567352e-15 3.300235e-15 -1.693369e-01 16912 0
2911.3096 2917.1322 2.557561e-15 3.045040e-15 6.881986e-02 528 0
2914.0490 2919.8771 2.974486e-15 2.594313e-15 8.892132e-02 512 0
2916.7883 2922.6219 1.802648e-15 2.340562e-15 6.096257e-02 512 0
2919.5277 2925.3668 4.858465e-16 2.077976e-15 1.969919e-02 16912 0
2922.2672 2928.1117 3.873062e-15 1.931202e-15 1.614262e-01 528 0
2925.0066 2930.8566 3.139032e-15 1.847052e-15 1.501832e-01 528 0
2927.7461 2933.6015 2.708249e-15 1.460073e-15 1.463099e-01 528 0
2930.4855 2936.3465 2.683524e-15 1.283018e-15 1.662689e-01 512 0
2933.2250 2939.0915 1.634780e-15 1.325187e-15 1.148682e-01 528 0
2935.9646 2941.8365 1.465758e-15 1.008306e-15 1.164124e-01 528 0
2938.7041 2944.5815 3.040338e-15 8.999041e-16 2.701030e-01 512 0
2941.4437 2947.3266 3.065961e-15 8.179716e-16 3.042238e-01 512 0
2944.1833 2950.0716 3.350743e-15 7.444447e-16 3.687250e-01 512 0
2946.9229 2952.8167 5.115355e-16 8.523119e-16 6.276298e-02 528 0
2949.6625 2955.5618 -3.475364e-16 1.053331e-15 -4.989177e-02 16912 0
2952.4021 2958.3069 2.376378e-15 5.588985e-16 3.427096e-01 512 0
2955.1418 2961.0521 -2.080842e-16 5.384399e-16 -3.501738e-02 16896 0
2957.8815 2963.7973 3.483756e-18 8.119528e-16 6.257277e-04 16912 0
2960.6212 2966.5425 1.305211e-15 4.728774e-16 2.283639e-01 512 0
2963.3609 2969.2877 2.091454e-15 4.572354e-16 3.875304e-01 16 0
2966.1007 2972.0329 1.662330e-15 4.209042e-16 3.203192e-01 0 0
2968.8405 2974.7781 5.399761e-16 4.070973e-16 1.073555e-01 0 0
2971.5803 2977.5234 2.044249e-15 5.273007e-16 4.236152e-01 16 0
2974.3201 2980.2687 1.884898e-15 3.883448e-16 4.005198e-01 0 0
2977.0599 2983.0140 2.414692e-15 4.201812e-16 5.273541e-01 16 0
2979.7998 2985.7594 7.941333e-16 4.140817e-16 1.737219e-01 16 0
2982.5396 2988.5047 1.970352e-15 3.748462e-16 4.438636e-01 16 0
2985.2795 2991.2501 1.762604e-15 3.613600e-16 4.018909e-01 0 0
2988.0194 2993.9955 1.364959e-15 3.495862e-16 3.134559e-01 0 0
2990.7594 2996.7409 1.522502e-15 3.541946e-16 3.544525e-01 16 0
2993.4993 2999.4863 1.575064e-15 3.538693e-16 3.710721e-01 0 0
2996.2393 3002.2318 1.399510e-15 3.517755e-16 3.326907e-01 0 0
2998.9793 3004.9773 1.534945e-15 3.372412e-16 3.700640e-01 0 0
3001.7193 3007.7228 1.387782e-15 3.334078e-16 3.382127e-01 0 0
3004.4594 3010.4683 2.080636e-15 3.370912e-16 5.187445e-01 0 0
3007.1994 3013.2138 1.189809e-15 3.225527e-16 2.975160e-01 0 0
3009.9395 3015.9594 1.996225e-15 3.358029e-16 5.127780e-01 0 0
3012.6796 3018.7049 1.225718e-15 3.238808e-16 3.168125e-01 16 0
3015.4197 3021.4505 1.529560e-15 3.114680e-16 4.043465e-01 0 0
3018.1598 3024.1961 2.082483e-15 3.257210e-16 5.647781e-01 16 0
3020.9000 3026.9418 1.263057e-15 3.526943e-16 3.453470e-01 16 0
3023.6401 3029.6874 1.309111e-15 3.564130e-16 3.651809e-01 16 0
3026.3803 3032.4331 1.463791e-15 2.966256e-16 4.175922e-01 16 0
