# SN2011EK obnd36010 G430L CCD z=0.005 a2center=893.3 extrsize=15 exptime=2100.0 mode=adaptive_es15@0.98 flags=none
# rest_wvl obs_wvl flux error net dq mask
2872.5905 2886.9535 9.134159e-15 4.812436e-15 5.058523e-02 528 0
2875.3219 2889.6985 3.374847e-15 3.223615e-15 2.475950e-02 528 0
2878.0533 2892.4436 -1.175318e-15 2.350937e-15 -1.102634e-02 16896 0
2880.7848 2895.1887 -1.220109e-15 1.819673e-15 -1.360175e-02 16896 0
2883.5162 2897.9338 -4.794580e-16 1.618659e-15 -6.193726e-03 16896 0
2886.2477 2900.6789 -1.020520e-15 1.478113e-15 -1.499361e-02 16896 0
2888.9792 2903.4241 -6.701406e-17 1.241949e-15 -1.103691e-03 16896 0
2891.7107 2906.1693 1.478595e-15 1.214986e-15 2.586380e-02 512 0
2894.4423 2908.9145 2.132438e-16 1.867743e-15 4.364527e-03 16912 0
2897.1739 2911.6597 6.267568e-16 9.446983e-16 1.374760e-02 512 0
2899.9055 2914.4050 -7.664829e-16 8.528336e-16 -1.947715e-02 16896 0
2902.6371 2917.1503 3.487032e-16 8.391166e-16 9.273886e-03 528 0
2905.3687 2919.8956 7.450051e-16 8.238555e-16 2.229805e-02 528 0
2908.1004 2922.6409 -3.131775e-16 6.297299e-16 -1.103329e-02 16896 0
2910.8321 2925.3862 7.698674e-16 6.784715e-16 2.902734e-02 528 0
2913.5638 2928.1316 1.035635e-15 7.800940e-16 4.379990e-02 528 0
2916.2955 2930.8770 1.167282e-15 6.346635e-16 5.651098e-02 528 0
2919.0273 2933.6224 1.298821e-13 2.917633e-15 7.449810e+00 528 0
2921.7590 2936.3678 6.640888e-16 1.103709e-15 4.158773e-02 528 0
2924.4908 2939.1133 8.219513e-16 2.843483e-16 5.845352e-02 512 0
2927.2226 2941.8588 3.478994e-16 2.567551e-16 2.787962e-02 512 0
2929.9545 2944.6043 6.135067e-16 2.445286e-16 5.523054e-02 528 0
2932.6863 2947.3498 8.345728e-16 3.379908e-16 8.399989e-02 528 0
2935.4182 2950.0953 2.856626e-16 1.879011e-16 3.166975e-02 528 0
