# obs_wvl flux error
1.597000000000000000e+03 7.010192902242359109e-15 4.364092891722499631e-15
1.598548194387714375e+03 1.407290363203015257e-15 2.767388925448017760e-15
1.600096388775428750e+03 -4.846690625348727953e-16 2.476134227718590886e-15
1.601644583163143125e+03 -7.310114426520604897e-16 2.101791987184118615e-15
1.603192777550857500e+03 -2.251713292361409621e-15 1.941160253881593364e-15
1.604740971938571874e+03 -4.886451360263154832e-16 1.764337194324521976e-15
1.606289166326286249e+03 -1.781999009975163056e-15 1.539387633016907602e-15
1.607837360714000624e+03 -1.341531869488342635e-15 1.467723747427106521e-15
1.609385555101714999e+03 -5.617634732892732794e-17 1.369131846319613116e-15
1.610933749489429374e+03 1.336806539652461564e-15 1.339176840902652490e-15
1.612481943877143749e+03 -3.347869200652973454e-16 1.146977256649716268e-15
1.614030138264858124e+03 5.834992771183183751e-16 1.132091236743650612e-15
1.615578332652572499e+03 -4.413008301794382858e-16 9.648775591316785731e-16
1.617126527040286874e+03 -4.986914895156227906e-16 9.243317318913780911e-16
1.618674721428001249e+03 -1.183522395251267496e-15 8.159894213823099975e-16
1.620222915815715623e+03 -1.057891324449245988e-15 7.684677867022159394e-16
1.621771110203429998e+03 3.934548193741654183e-16 8.025760505074518746e-16
1.623319304591144373e+03 7.250203251001168383e-16 7.706222388799034786e-16
1.624867498978858748e+03 -8.812670945274988932e-16 6.285068636501081250e-16
1.626415693366573123e+03 -3.477098970842759045e-18 6.607361647921639098e-16
1.627963887754287498e+03 1.688075481907938576e-16 6.210917160265164820e-16
1.629512082142001873e+03 8.679232078382827103e-17 5.853348664497987448e-16
1.631060276529716248e+03 4.552582676624734395e-16 5.828223401709877163e-16
1.632608470917430623e+03 4.043792307490709744e-16 5.547184379622407925e-16
1.634156665305144998e+03 7.924607464651562914e-17 5.132276051911459245e-16
1.635704859692859372e+03 -7.096488976685967386e-16 4.448096302841234322e-16
1.637253054080573747e+03 -7.886312236362886925e-16 4.315355089845247749e-16
1.638801248468288122e+03 -1.019110142422498490e-16 4.543191383968447338e-16
1.640349442856002497e+03 -1.646691346823301799e-16 4.293737976468220720e-16
1.641897637243716872e+03 -3.964819730896469276e-16 3.948111865331159995e-16
1.643445831631431247e+03 3.747187616950074601e-16 4.415255719040586345e-16
1.644994026019145622e+03 -1.256027545712094107e-16 3.817975139726890887e-16
1.646542220406859997e+03 2.201722048693316829e-16 3.979798082055271631e-16
1.648090414794574372e+03 2.322370010940122229e-16 3.767397830765412842e-16
1.649638609182288747e+03 -1.648087413602959332e-16 3.605301203474961290e-16
1.651186803570003121e+03 2.420867335777035355e-17 3.599586881688515207e-16
1.652734997957717496e+03 5.849092736454096709e-16 3.744061274724564392e-16
1.654283192345431871e+03 -5.529357567914150028e-17 3.242536964017232137e-16
1.655831386733146246e+03 -4.604857801899210213e-17 3.253464243908112912e-16
1.657379581120860621e+03 5.930744989386065053e-17 3.183013618754965056e-16
1.658927775508574996e+03 5.524803313877983173e-16 3.438335273124902417e-16
1.660475969896289371e+03 1.644919481877864313e-16 3.109872412539484504e-16
