# obs_wvl flux error
2.756173309231592157e+03 -2.718489510835020917e-16 2.360334175764071223e-15
2.756346618463184313e+03 -1.584403615717182054e-15 1.291857624641284521e-15
2.756519927694776470e+03 -5.497020733064493085e-16 1.408173819636603006e-15
2.756693236926368627e+03 2.932501636856164393e-15 1.657739981291483825e-15
2.756866546157960784e+03 4.054490898843038428e-15 1.715279106219260557e-15
2.757039855389552940e+03 2.766255443250738158e-15 1.642708861185791487e-15
2.757213164621145097e+03 1.709016967840932200e-17 1.412803275852487076e-15
2.757386473852737254e+03 9.699260572404409831e-16 1.516739301436190893e-15
2.757559783084329410e+03 1.032778392467611624e-15 1.513848793068641269e-15
2.757733092315921567e+03 -1.930409479584709146e-15 1.213256388283162940e-15
2.757906401547513724e+03 -1.029746892323800606e-15 1.335550517284602599e-15
2.758079710779105881e+03 2.433943907769024003e-15 1.639601532074785413e-15
2.758253020010698037e+03 7.762878301183758112e-16 1.467068505916827620e-15
2.758426329242290194e+03 1.552184785374195417e-15 1.517341150856806590e-15
2.758599638473882351e+03 7.722988956332520257e-16 1.451257590870975881e-15
2.758772947705474508e+03 1.054842246630842312e-16 1.366753163932975099e-15
2.758946256937066664e+03 1.709577728960781148e-15 1.572039091538064755e-15
2.759119566168658821e+03 3.946283405316333992e-16 1.455429152904769678e-15
2.759292875400250978e+03 2.681172276711154206e-15 1.675994458832255542e-15
2.759466184631843134e+03 4.834920133891274198e-16 1.442776834443334509e-15
2.759639493863435291e+03 1.147804336860509357e-15 1.510763783550643833e-15
2.759812803095027448e+03 1.890518000382508168e-15 1.537279806398460112e-15
2.759986112326619605e+03 4.126688201960774066e-15 1.768044411202171586e-15
2.760159421558211761e+03 7.340562465761318870e-16 1.410206408049509412e-15
2.760332730789803918e+03 -4.628808486609092884e-16 1.355004850361663580e-15
2.760506040021396075e+03 6.372499808706734279e-16 1.521115687227694624e-15
2.760679349252988231e+03 1.526725749482142434e-16 1.397719366078624777e-15
2.760852658484580388e+03 -4.468510134104087598e-16 1.358186260049910608e-15
2.761025967716172545e+03 -1.915198018764118443e-15 1.230077715900370614e-15
2.761199276947764702e+03 -1.189042637285707324e-15 1.267354718162327728e-15
2.761372586179356858e+03 -1.076419935564523318e-15 1.308944529228482496e-15
2.761545895410949015e+03 2.406691687784310358e-15 1.623681227163927667e-15
2.761719204642541172e+03 5.252250423252185602e-16 1.404481778031078883e-15
2.761892513874133328e+03 6.478401286399749990e-17 1.425848711402262896e-15
2.762065823105725485e+03 1.163876779834948979e-16 1.403266464950761538e-15
2.762239132337317642e+03 3.610460736954672452e-15 1.709143906266326549e-15
