# obs_wvl flux error
1.668000000000000000e+03 9.327125168054774561e-15 8.909199298952532169e-15
1.670746084599421010e+03 3.043348852117760456e-14 6.424608400474208327e-15
1.673492169198842021e+03 2.137723272045378985e-14 7.156338100607606890e-15
1.676238253798263031e+03 1.529769722456635899e-14 6.286506463773842250e-15
1.678984338397684041e+03 -6.442722741593928362e-15 5.676880553612623975e-15
1.681730422997105052e+03 1.892803647923179271e-14 4.721180607554687211e-15
1.684476507596526062e+03 -6.064372945451763911e-15 4.552745956304169710e-15
1.687222592195947072e+03 1.176866134681535706e-14 4.230417526149146571e-15
1.689968676795368083e+03 3.605762548021050100e-15 3.902013067911200368e-15
1.692714761394789093e+03 5.280941810265108391e-15 4.060917152604041925e-15
1.695460845994210104e+03 -3.767456581355000060e-15 3.432194921792136735e-15
1.698206930593631114e+03 3.160381695510908114e-14 3.714223659302985347e-15
1.700953015193052124e+03 1.667936727615659866e-14 3.352231332780138904e-15
1.703699099792473135e+03 1.502938985680143042e-14 3.273616429791225186e-15
1.706445184391894145e+03 1.965358222898054850e-15 2.918875241022437768e-15
1.709191268991315155e+03 4.817810927037909851e-16 2.829035913540369347e-15
1.711937353590736166e+03 1.603310159224917877e-14 2.767838297904590525e-15
1.714683438190157176e+03 1.931551186927234073e-14 2.961640491370542927e-15
1.717429522789578186e+03 1.483312775038487114e-14 2.931678725220771969e-15
1.720175607388999197e+03 -1.674200213948486505e-15 2.446122393767166166e-15
1.722921691988420207e+03 -1.859473315253461102e-14 2.955335272092909986e-15
1.725667776587841217e+03 6.547537140128378843e-15 2.562196174908645963e-15
1.728413861187262228e+03 -1.100768584088993643e-14 2.489616955579958083e-15
1.731159945786683238e+03 3.461699786711707729e-15 2.321665595445108179e-15
1.733906030386104248e+03 2.966723757600154106e-15 2.226220691284599624e-15
1.736652114985525259e+03 2.178562774017884046e-14 2.140870143368514548e-15
1.739398199584946269e+03 1.676032440635176064e-14 2.143015209830090343e-15
1.742144284184367280e+03 5.281217810110918434e-15 2.053162024988025533e-15
1.744890368783788290e+03 -3.366921052497109316e-15 1.966468456145751898e-15
1.747636453383209300e+03 8.474894897694497056e-15 1.919271277632147506e-15
1.750382537982630311e+03 -4.357483444674607626e-15 2.102914641481429149e-15
1.753128622582051321e+03 5.580631374534621639e-15 1.987547873137227355e-15
1.755874707181472331e+03 3.856198968940181953e-15 2.145203842621669891e-15
1.758620791780893342e+03 2.283579501098094301e-18 1.805790011201889248e-15
1.761366876380314352e+03 4.894417076410611978e-15 1.783195800199580065e-15
1.764112960979735362e+03 1.093734167652726394e-15 1.613945018592665475e-15
1.766859045579156373e+03 1.119034761381937078e-14 1.661129941926157182e-15
1.769605130178577383e+03 1.134531322960530130e-14 1.835640434892702202e-15
1.772351214777998393e+03 9.270703615587556116e-15 1.561439017845486728e-15
1.775097299377419404e+03 -8.366782184197396790e-16 1.627974253100407092e-15
1.777843383976840414e+03 8.416225467636367544e-15 1.490820761124185852e-15
1.780589468576261424e+03 3.679879116340312853e-15 1.551759791419829361e-15
1.783335553175682435e+03 9.100598447844885541e-15 1.435988864063529510e-15
1.786081637775103445e+03 -2.768801106160910333e-15 1.535910716961041565e-15
1.788827722374524456e+03 6.231463772254972508e-16 1.351953118144377914e-15
1.791573806973945466e+03 5.425289043443995947e-15 1.338010775800296510e-15
1.794319891573366476e+03 6.049088472628498861e-15 1.555090550356230151e-15
1.797065976172787487e+03 1.071656370690189637e-14 1.603414357185276212e-15
1.799812060772208497e+03 3.732380605208234831e-15 1.335410182047018424e-15
1.802558145371629507e+03 2.403147964151294512e-15 1.259027280827386669e-15
1.805304229971050518e+03 1.394439468058944251e-14 1.545659562662642642e-15
1.808050314570471528e+03 8.399207490926307218e-15 1.266253466478091620e-15
1.810796399169892538e+03 -7.444120317055886250e-17 1.261477330639544157e-15
1.813542483769313549e+03 -4.451497326255473259e-15 1.484747132232022413e-15
1.816288568368734559e+03 1.635944053607041418e-17 1.275826305926635798e-15
1.819034652968155569e+03 9.019367114436669885e-15 1.301440204382380942e-15
1.821780737567576580e+03 2.020746037520478704e-15 1.112077763586714397e-15
1.824526822166997590e+03 1.311884816018552402e-15 1.080771407891340436e-15
1.827272906766418600e+03 -4.583629579334353618e-15 1.090210082042442733e-15
1.830018991365839611e+03 5.736037541355511199e-15 1.126845734126464084e-15
1.832765075965260621e+03 1.110796166493492336e-14 1.175727375909709225e-15
1.835511160564681632e+03 5.006004008804674333e-15 1.140864195073951172e-15
1.838257245164102642e+03 -3.463184698044536428e-15 1.094727600359497503e-15
1.841003329763523652e+03 3.534867917458959974e-16 9.645337471699033552e-16
1.843749414362944663e+03 1.634796631781744783e-15 1.014501046286103035e-15
1.846495498962365673e+03 -1.330535404837730879e-15 1.003816421492497679e-15
1.849241583561786683e+03 -8.195034183905685252e-16 9.685107114497093126e-16
1.851987668161207694e+03 6.251739687730789496e-16 9.095216861207058238e-16
1.854733752760628704e+03 1.549381673455529898e-15 9.412037837452590436e-16
1.857479837360049714e+03 -2.365091780953902060e-15 1.160529785777970863e-15
1.860225921959470725e+03 7.265001623846281481e-16 8.895852394450485751e-16
1.862972006558891735e+03 5.098331495434044566e-15 9.419919408230258741e-16
1.865718091158312745e+03 -1.691961238649595716e-15 9.386605032831543448e-16
1.868464175757733756e+03 3.761408405414420714e-17 8.448835104145745027e-16
1.871210260357154766e+03 4.479523008532656510e-15 8.983113163697642283e-16
1.873956344956575776e+03 3.283748648153849737e-15 8.660407860554852652e-16
1.876702429555996787e+03 2.483745101505424162e-15 8.300628390259108109e-16
1.879448514155417797e+03 2.367569347333157547e-15 8.477681450975069618e-16
1.882194598754838808e+03 6.361751512981363524e-15 7.995772492653469244e-16
1.884940683354259818e+03 -1.079261068133742170e-15 8.581642237815739154e-16
1.887686767953680828e+03 2.457791423897999760e-15 8.069251347303179081e-16
1.890432852553101839e+03 -9.794392278391731740e-17 7.484918126958069413e-16
1.893178937152522849e+03 3.836639401104062970e-15 7.805576017927102158e-16
1.895925021751943859e+03 2.590460329920853814e-15 7.937514136298970828e-16
1.898671106351364870e+03 4.350810939673940140e-15 8.475166483255159447e-16
1.901417190950785880e+03 -1.766726406080418642e-15 6.951725604201998229e-16
1.904163275550206890e+03 -3.201872851818717615e-15 7.025038369807959857e-16
