# SN2012CG obxb92010 G230LB CCD z=0.001 a2center=893.6 extrsize=9 exptime=856.0 mode=adaptive_es9@0.98 flags=none
# rest_wvl obs_wvl flux error net dq mask
1661.4682 1663.1297 -4.766672e-14 1.749671e-14 -1.118637e-01 16912 0
1662.8371 1664.5000 9.011086e-15 1.295518e-14 2.032036e-02 0 0
1664.2060 1665.8702 1.464840e-14 1.296340e-14 3.357226e-02 0 0
1665.5749 1667.2405 -1.133458e-15 1.159106e-14 -2.961049e-03 16384 0
1666.9439 1668.6108 1.751250e-15 1.184038e-14 4.747632e-03 16384 0
1668.3128 1669.9811 6.933728e-16 1.132763e-14 1.948595e-03 16384 0
1669.6818 1671.3514 1.453534e-14 1.086574e-14 3.844828e-02 0 0
1671.0507 1672.7218 -1.549027e-14 1.016606e-14 -4.683554e-02 16384 0
1672.4197 1674.0921 6.749232e-15 1.976190e-14 2.041181e-02 16 0
1673.7887 1675.4625 9.655487e-16 1.048338e-14 3.137891e-03 16384 0
1675.1577 1676.8329 -5.006063e-15 1.118120e-14 -1.685845e-02 16384 0
1676.5268 1678.2033 2.605884e-15 1.065365e-14 8.900993e-03 0 0
1677.8958 1679.5737 4.268715e-15 1.422894e-14 1.451978e-02 16 0
1679.2649 1680.9441 2.062927e-15 9.615492e-15 7.652300e-03 0 0
1680.6339 1682.3146 -2.011930e-14 1.129373e-14 -7.750802e-02 16400 0
1682.0030 1683.6850 1.756166e-14 1.039651e-14 6.377332e-02 0 0
1683.3721 1685.0555 -2.960219e-15 1.154193e-14 -1.212761e-02 16400 0
1684.7412 1686.4260 2.240064e-12 9.368482e-14 9.345440e+00 16 0
1686.1104 1687.7965 -9.698540e-15 2.808267e-14 -4.206266e-02 16400 0
1687.4795 1689.1670 7.622875e-15 7.100173e-15 3.113817e-02 0 0
1688.8487 1690.5375 -1.239992e-15 6.889371e-15 -5.668441e-03 16384 0
1690.2179 1691.9081 8.292589e-15 7.288839e-15 3.555610e-02 16 0
1691.5870 1693.2786 -1.077289e-14 7.505614e-15 -5.170855e-02 16400 0
1692.9562 1694.6492 1.241271e-15 6.354627e-15 6.096694e-03 16384 0
1694.3255 1696.0198 1.469791e-14 6.592367e-15 6.741951e-02 0 0
1695.6947 1697.3904 -4.843240e-15 6.115804e-15 -2.485614e-02 16384 0
1697.0639 1698.7610 -9.434335e-15 1.070777e-14 -4.944633e-02 16400 0
1698.4332 1700.1316 8.844134e-15 5.864969e-15 4.318273e-02 0 0
1699.8025 1701.5023 1.834905e-14 6.110745e-15 9.163091e-02 0 0
1701.1718 1702.8729 3.750750e-17 5.581196e-15 2.085799e-04 16384 0
1702.5411 1704.2436 7.155721e-15 5.641571e-15 3.704336e-02 0 0
1703.9104 1705.6143 -5.216340e-15 5.303134e-15 -3.010096e-02 16384 0
1705.2797 1706.9850 5.422480e-15 5.356976e-15 2.917928e-02 0 0
1706.6491 1708.3557 6.910996e-15 5.304557e-15 3.772128e-02 0 0
1708.0184 1709.7264 1.174432e-14 5.583747e-15 6.516394e-02 0 0
