# SN2012CG obxb93010 G230LB CCD z=0.001 a2center=893.0 extrsize=9 exptime=856.0 mode=adaptive_clamphi flags=none
# rest_wvl obs_wvl flux error net dq mask
1661.1316 1662.7928 1.598513e-15 1.601513e-14 3.749945e-03 16912 0
1662.5005 1664.1630 3.169528e-15 1.297212e-14 7.690575e-03 0 0
1663.8694 1665.5333 -3.794270e-15 1.274672e-14 -9.558191e-03 16384 0
1665.2383 1666.9035 3.057809e-14 1.244955e-14 7.358218e-02 0 0
1666.6072 1668.2738 9.227236e-15 1.186188e-14 2.327500e-02 0 0
1667.9762 1669.6441 -2.290975e-14 1.105213e-14 -6.434178e-02 16384 0
1669.3451 1671.0145 4.483809e-15 1.080241e-14 1.253786e-02 0 0
1670.7141 1672.3848 2.519860e-14 1.117170e-14 7.024540e-02 0 0
1672.0830 1673.7551 2.178616e-14 2.055442e-14 6.298745e-02 16 0
1673.4520 1675.1255 -2.541319e-15 1.005528e-14 -8.255418e-03 16384 0
1674.8210 1676.4959 3.249840e-15 9.868279e-15 9.484680e-03 0 0
1676.1901 1677.8663 1.766946e-14 9.691191e-15 5.595146e-02 0 0
1677.5591 1679.2367 -1.738897e-14 1.030855e-14 -6.272374e-02 16400 0
1678.9282 1680.6071 -3.083035e-15 8.901303e-15 -1.150032e-02 16384 0
1680.2972 1681.9775 -8.840231e-15 9.928765e-15 -3.406683e-02 16400 0
1681.6663 1683.3480 3.598357e-16 8.278992e-15 8.545583e-04 0 0
1683.0354 1684.7184 -1.312366e-14 1.194675e-14 -5.381399e-02 16400 0
1684.4045 1686.0889 5.044784e-13 5.129122e-14 2.075642e+00 16 0
1685.7736 1687.4594 3.470906e-14 2.781631e-14 1.393118e-01 16 0
1687.1428 1688.8299 6.660971e-15 7.200503e-15 2.659953e-02 0 0
1688.5119 1690.2004 -5.093211e-15 6.940685e-15 -2.332854e-02 16384 0
1689.8811 1691.5710 1.456760e-14 7.594901e-15 6.225048e-02 0 0
1691.2503 1692.9415 9.634582e-15 8.116861e-15 4.187043e-02 16 0
1692.6195 1694.3121 1.195559e-14 6.624433e-15 5.341641e-02 0 0
1693.9887 1695.6826 1.665537e-14 6.762027e-15 7.662924e-02 0 0
1695.3579 1697.0532 4.477504e-15 6.327546e-15 2.048293e-02 0 0
1696.7271 1698.4238 9.149935e-16 9.303160e-15 3.890241e-03 16 0
1698.0964 1699.7945 -5.495095e-15 5.717125e-15 -2.948394e-02 16384 0
1699.4656 1701.1651 3.378797e-15 5.841444e-15 1.632410e-02 0 0
1700.8349 1702.5358 1.105540e-14 5.951340e-15 5.601622e-02 0 0
1702.2042 1703.9064 -4.700791e-15 5.397153e-15 -2.673087e-02 16384 0
1703.5735 1705.2771 -4.167941e-16 5.396738e-15 -2.654747e-03 0 0
1704.9428 1706.6478 7.636931e-15 5.446978e-15 4.063455e-02 0 0
1706.3122 1708.0185 2.907337e-15 5.261297e-15 1.535939e-02 0 0
1707.6815 1709.3892 -7.919307e-15 5.297667e-15 -4.834089e-02 16384 0
1709.0509 1710.7599 1.773397e-14 6.200247e-15 1.010568e-01 0 0
1710.4203 1712.1307 -8.411656e-16 8.477553e-15 -5.306885e-03 16400 0
1711.7897 1713.5015 3.913512e-15 5.359271e-15 2.232710e-02 0 0
1713.1591 1714.8722 1.621710e-14 5.970810e-15 9.686797e-02 0 0
1714.5285 1716.2430 1.629627e-14 7.130173e-15 9.888619e-02 16 0
1715.8979 1717.6138 9.182145e-15 5.835924e-15 5.594853e-02 0 0
1717.2674 1718.9846 1.107216e-15 5.318226e-15 6.338893e-03 0 0
1718.6368 1720.3555 7.545200e-15 5.077591e-15 4.718446e-02 0 0
1720.0063 1721.7263 5.061422e-14 1.408653e-14 3.340982e-01 16 0
1721.3758 1723.0972 -6.907716e-15 4.521622e-15 -4.912557e-02 16384 0
1722.7453 1724.4680 3.663038e-15 4.581556e-15 2.352651e-02 0 0
1724.1148 1725.8389 7.636191e-15 4.627652e-15 5.056604e-02 0 0
1725.4843 1727.2098 -3.424555e-15 1.259635e-14 -2.537690e-02 16400 0
1726.8539 1728.5807 -8.984685e-15 4.473417e-15 -6.747361e-02 16384 0
1728.2234 1729.9517 2.981252e-15 4.088144e-15 2.011178e-02 0 0
1729.5930 1731.3226 -3.967431e-15 4.007964e-15 -3.058879e-02 16384 0
1730.9626 1732.6936 -3.823021e-15 5.548895e-15 -2.985979e-02 16400 0
1732.3322 1734.0645 -3.411179e-15 3.920212e-15 -2.698735e-02 16384 0
1733.7018 1735.4355 2.266718e-16 4.518632e-15 1.126352e-03 16 0
1735.0714 1736.8065 -1.075620e-15 3.865310e-15 -8.726875e-03 16384 0
1736.4411 1738.1775 -2.122575e-15 5.052212e-15 -1.743612e-02 16400 0
1737.8107 1739.5485 5.224360e-15 3.960693e-15 3.913689e-02 16 0
1739.1804 1740.9195 4.947068e-15 3.873936e-15 3.747735e-02 0 0
1740.5500 1742.2906 -1.061854e-16 3.671219e-15 -1.343808e-03 0 0
1741.9197 1743.6616 -1.496114e-16 3.759034e-15 -1.693850e-03 0 0
1743.2894 1745.0327 6.773467e-15 3.815627e-15 5.356982e-02 0 0
1744.6591 1746.4038 2.772695e-15 3.618075e-15 2.172752e-02 0 0
1746.0289 1747.7749 -6.363290e-15 4.358911e-15 -5.683132e-02 16400 0
1747.3986 1749.1460 -3.567049e-16 3.515553e-15 -3.446973e-03 0 0
1748.7684 1750.5171 4.883853e-15 3.531467e-15 4.021919e-02 0 0
1750.1381 1751.8883 -5.087548e-15 3.450902e-15 -4.703654e-02 16384 0
1751.5079 1753.2594 5.804395e-15 3.485432e-15 4.910702e-02 0 0
1752.8777 1754.6306 -1.513417e-15 3.265752e-15 -1.431332e-02 16384 0
