# SN2013DH oc0102060 G750L CCD z=0.013 a2center=511.2 extrsize=15 exptime=450.0 mode=fixed flags=extended_host,no_defringe(no_flat)
# rest_wvl obs_wvl flux error net dq mask
5188.5802 5256.0317 4.200705e-16 1.028931e-16 2.346568e-01 528 0
5193.3860 5260.9000 1.056015e-16 7.835814e-17 6.535544e-02 512 0
5198.1919 5265.7684 -1.254639e-16 8.717835e-17 -1.488826e-01 16912 0
5202.9979 5270.6369 4.524110e-16 5.993061e-17 4.583937e-01 528 0
5207.8039 5275.5054 3.138705e-16 5.163590e-17 3.502433e-01 512 0
5212.6100 5280.3739 3.210326e-16 4.870323e-17 4.059074e-01 528 0
5217.4161 5285.2426 3.477077e-17 5.271413e-17 1.894996e-02 528 0
5222.2223 5290.1112 1.778023e-16 4.621838e-17 2.527264e-01 528 0
5227.0286 5294.9800 2.433656e-16 3.800089e-17 4.037075e-01 528 0
5231.8349 5299.8488 3.378816e-16 3.744980e-17 6.446521e-01 528 0
5236.6413 5304.7176 2.992720e-16 3.333208e-17 5.894065e-01 16 0
5241.4477 5309.5866 2.474330e-16 3.459521e-17 4.961602e-01 16 0
5246.2542 5314.4555 2.999699e-16 3.287974e-17 6.267404e-01 16 0
5251.0608 5319.3246 1.987539e-16 3.352654e-17 3.929497e-01 16 0
5255.8674 5324.1937 3.104479e-16 3.563795e-17 6.520401e-01 16 0
5260.6741 5329.0628 2.994836e-16 3.135635e-17 6.179371e-01 0 0
5265.4808 5333.9320 3.449468e-16 3.341779e-17 7.096120e-01 0 0
5270.2876 5338.8013 3.177536e-16 3.767018e-17 6.302212e-01 16 0
5275.0944 5343.6707 3.357109e-16 3.363722e-17 6.533909e-01 0 0
5279.9013 5348.5400 4.005661e-16 3.611880e-17 7.768618e-01 0 0
5284.7083 5353.4095 3.806678e-16 3.993584e-17 7.166547e-01 16 0
5289.5153 5358.2790 3.368985e-16 3.493736e-17 6.101942e-01 0 0
5294.3224 5363.1486 4.029556e-16 3.876431e-17 7.364742e-01 16 0
5299.1295 5368.0182 3.487236e-16 3.710398e-17 6.167222e-01 0 0
5303.9367 5372.8879 2.717189e-16 4.193754e-17 4.589628e-01 16 0
5308.7439 5377.7576 3.896384e-16 4.433982e-17 6.927084e-01 16 0
5313.5512 5382.6274 6.136710e-16 4.281562e-17 1.155445e+00 16 0
5318.3586 5387.4973 4.123076e-16 4.071942e-17 7.437351e-01 16 0
5323.1660 5392.3672 5.354960e-16 7.112347e-17 1.006865e+00 16 0
5327.9735 5397.2371 4.487990e-16 4.026197e-17 8.363913e-01 16 0
5332.7810 5402.1072 3.702279e-16 3.926336e-17 6.829855e-01 16 0
5337.5886 5406.9772 4.519234e-16 3.910570e-17 8.719733e-01 16 0
5342.3962 5411.8474 4.225221e-16 3.654852e-17 8.249781e-01 16 0
5347.2039 5416.7176 3.011905e-16 3.451770e-17 5.747455e-01 16 0
5352.0117 5421.5878 4.342570e-16 3.431866e-17 8.920708e-01 0 0
5356.8195 5426.4581 3.788688e-16 3.872825e-17 7.848819e-01 16 0
5361.6273 5431.3285 4.130421e-16 3.240663e-17 8.873115e-01 0 0
5366.4353 5436.1989 3.527059e-16 3.187092e-17 7.618018e-01 0 0
5371.2432 5441.0694 3.212826e-16 3.000025e-17 7.027348e-01 0 0
