epoch,detector,grating,scale,slope,intercept,factor
2013-07-21_day11,MAMA,G230L,none,None,None,None
2013-07-21_day12,CCD,G430L,none,None,None,None
2013-07-21_day12,CCD,G750L,none,None,None,None
2013-07-25_day16,MAMA,G230L,none,None,None,None
2013-07-25_day16,CCD,G430L,none,None,None,None
2013-07-25_day16,CCD,G750L,none,None,None,None
2013-07-27_day17,MAMA,G230L,none,None,None,None
2013-07-27_day17,CCD,G430L,none,None,None,None
2013-07-27_day17,CCD,G750L,none,None,None,None
2013-07-29_day19,MAMA,G230L,none,None,None,None
2013-07-29_day19,CCD,G430L,none,None,None,None
2013-07-29_day19,CCD,G750L,none,None,None,None
2013-08-01_day23,MAMA,G230L,none,None,None,None
2013-08-01_day23,CCD,G430L,none,None,None,None
2013-08-01_day23,CCD,G750L,none,None,None,None
2013-08-05_day26,MAMA,G230L,none,None,None,None
2013-08-05_day27,CCD,G430L,none,None,None,None
2013-08-05_day27,CCD,G750L,none,None,None,None
2013-08-09_day30,MAMA,G230L,none,None,None,None
2013-08-09_day30,CCD,G430L,none,None,None,None
2013-08-09_day30,CCD,G750L,none,None,None,None
2013-08-11_day32,MAMA,G230L,none,None,None,None
2013-08-11_day32,CCD,G430L,none,None,None,None
2013-08-11_day32,CCD,G750L,none,None,None,None
2013-08-14_day36,MAMA,G230L,none,None,None,None
2013-08-15_day36,CCD,G430L,none,None,None,None
2013-08-15_day36,CCD,G750L,none,None,None,None
2013-08-17_day39,MAMA,G230L,none,None,None,None
2013-08-17_day39,CCD,G430L,none,None,None,None
2013-08-17_day39,CCD,G750L,none,None,None,None
